round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,maxBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,action,amount,cputime
1,0,4,4,deal,0,♣K ♠4,,20000,0.25812142857145376,0.32268380091728266,1000,0,0,0,20,1000,0,50,20,2,4,30,0,0.6497142857162999,0.03248571428581504,-7.093928571427313,-0.4837571428570925,298.9950425896078,298.9950425896078,call,0,0.09449481964111328
1,1,4,4,flop,0,♣K ♠4,♠7 ♣9 ♠3,465,0.09247311827956989,0.2815356859571043,980,0,20,0,100,980,80,300,100,3,4,100,-20,-75.61290322580646,-0.6301075268817204,-84.86021505376344,-0.8150537634408602,96.52252151356859,76.52252151356859,fold,0,1.2742681503295898
2,0,4,4,deal,0,♦7 ♣Q,,20000,0.2639809523809771,0.3230863141347797,980,0,0,0,20,980,0,30,20,1,4,50,0,1.118476190478166,0.0559238095239083,-12.080571428570687,-0.47203809523804585,304.8896807176875,304.8896807176875,call,0,0.0958099365234375
2,1,4,3,flop,0,♦7 ♣Q,♣5 ♥7 ♥A,315,0.326984126984127,0.4640081927322518,960,0,20,0,20,960,80,20,20,1,3,40,-20,5.777777777777779,-0.01904761904761898,-7.301587301587304,-0.346031746031746,391.26314732530193,371.26314732530193,call,0,1.2639460563659668
2,2,4,2,turn,0,♦7 ♣Q,♣5 ♥7 ♥A ♦K,182,0.2967032967032967,0.456804608589594,940,0,40,0,20,940,120,20,20,1,2,20,-40,-12.527472527472526,-0.4065934065934066,-18.46153846153846,-0.4065934065934066,345.4282925137549,305.4282925137549,call,0,1.2502987384796143
2,3,4,2,river,0,♦7 ♣Q,♣5 ♥7 ♥A ♦K ♠8,348,0.1307471264367816,0.3273939494308447,920,0,60,0,20,920,160,20,20,1,2,20,-60,-53.85057471264368,-0.7385057471264368,-56.46551724137932,-0.7385057471264368,136.57893074705513,76.57893074705513,call,0,1.2637629508972168
3,0,4,3,deal,0,♦10 ♦Q,,20000,0.352651785714328,0.36954070571549813,880,0,0,20,0,900,0,60,20,3,3,0,-20,1.1591071428596784,0.05795535714298383,1.1591071428596784,-0.29469642857134404,418.0708310550741,398.0708310550741,check,0,0.10361027717590332
3,1,4,2,flop,1,♦10 ♦Q,♥10 ♣2 ♣Q,189,0.7671957671957672,0.4131221539159543,880,0,20,0,20,880,60,0,0,4,2,0,-20,6.031746031746032,0.5343915343915344,6.031746031746032,0.5343915343915344,1401.2484676099423,1381.2484676099423,bet,690,1.2465829849243164
4,0,4,3,deal,0,♣10 ♥7,,20000,0.24091250000001532,0.3216954706128596,930,0,0,10,10,940,0,50,20,2,3,10,-10,-5.545249999999081,-0.277262499999954,-7.954374999999233,-0.5181749999999694,269.59017875968186,259.59017875968186,call,0,0.09396815299987793
4,1,4,3,flop,1,♣10 ♥7,♦Q ♣Q ♥10,84,0.7083333333333334,0.435582532773231,920,0,20,0,20,920,60,0,0,4,3,0,-20,2.5,1.125,2.5,0.41666666666666674,1200.995022531223,1180.995022531223,bet,590,1.2463300228118896
4,2,4,3,turn,1,♣10 ♥7,♦Q ♣Q ♥10 ♦A,82,0.4146341463414634,0.4540124504630802,330,0,610,0,20,330,1830,0,0,4,3,0,-610,128.78048780487802,0.24390243902439024,128.78048780487802,-0.1707317073170732,416.5116828781382,-193.48831712186183,bet,-119,1.24761962890625
4,3,4,3,river,1,♣10 ♥7,♦Q ♣Q ♥10 ♦A ♠4,153,0.31699346405228757,0.41911685076814115,310,0,630,0,20,310,1890,0,0,4,3,0,-630,-50.882352941176464,-0.0490196078431373,-50.882352941176464,-0.36601307189542487,293.98136517268915,-336.01863482731085,call,0,1.24916410446167
5,0,4,4,deal,0,♠K ♣A,,20000,0.4061684523810151,0.3663964976961106,290,0,0,0,40,290,0,100,40,2,4,60,0,24.98695238096242,0.6246738095240605,0.6168452381015115,-0.18766309523796976,398.38521985486625,398.38521985486625,bet,79,0.09220290184020996
5,1,4,4,flop,0,♠K ♣A,♦9 ♥8 ♣7,414,0.1751207729468599,0.3685079284145654,211,0,79,0,100,211,316,300,100,3,4,100,-79,-53.61352657004831,-0.2995169082125604,-71.1256038647343,-0.6497584541062802,142.08811434601682,63.08811434601682,call,0,1.2718350887298584
5,2,4,4,turn,0,♠K ♣A,♦9 ♥8 ♣7 ♦10,422,0.10722748815165876,0.2706792819622145,111,0,179,0,100,111,716,300,100,3,4,100,-179,-159.33412322274881,-0.5710900473933649,-170.0568720379147,-0.7855450236966824,79.92602044825642,-99.07397955174358,call,0,1.2690739631652832
5,3,4,4,river,0,♠K ♣A,♦9 ♥8 ♣7 ♦10 ♠J,636,0.2598270440251572,0.2587597848791754,11,0,279,0,11,11,1116,33,100,3,3,11,-279,11.399371069182394,-0.22051886792452835,8.541273584905639,-0.48034591194968557,201.9714452793031,-77.02855472069689,call,0,1.2863881587982178
6,0,4,4,deal,0,♦4 ♠8,,20000,0.2349678571428733,0.31695722251498776,1000,1,0,0,40,1000,0,60,40,1,4,100,0,-2.4051428571402695,-0.060128571428506805,-25.901928571427604,-0.5300642857142535,178.81266066131576,178.81266066131576,fold,0,0.09343600273132324
7,0,4,3,deal,0,♥J ♦K,,20000,0.3457476190476665,0.35319999731235163,960,1,0,40,0,1000,0,120,40,3,3,0,-40,1.4897142857199768,0.037242857142999464,1.4897142857199768,-0.308504761904667,277.5794486528584,237.5794486528584,check,0,0.09129595756530762
7,1,4,2,flop,1,♥J ♦K,♦A ♦2 ♥2,216,0.21412037037037038,0.39181104236402187,960,1,40,0,40,960,120,0,0,4,2,0,-40,-54.30555555555556,-0.5717592592592593,-54.30555555555556,-0.5717592592592593,157.64600228465414,117.64600228465414,fold,0,1.2546780109405518
