round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,util_raise_coeff,limitBet,action,amount,cputime
1,0,4,2,deal,False,♥8 ♠7,,20000,0.2462244047619226,0.4308108021644298,0.03081900367970769,980,0,2980,0,20,20,860,880,880,1,-20,-779.2542103591659,-0.9383619926405846,281.17616480854775,fold,0,0.08952021598815918
2,0,4,4,deal,False,♠J ♦10,,20000,0.3220041666667027,0.4672445647795007,0.08838188427695232,1970,1,2970,0,10,10,860,870,870,1,-10,-626.6718255088459,-0.8232362314460954,385.27607952540313,fold,0,0.09793519973754883
3,0,4,4,deal,False,♥J ♦8,,20000,0.2726065476190726,0.44530014351477915,0.04995647586168303,1970,1,2970,0,0,0,870,870,870,1,0,-738.1149037251569,-0.9000870482766339,315.55376944770353,fold,0,0.08896708488464355
4,0,4,4,deal,False,♠5 ♥K,,20000,0.2613011904762164,0.4393436904428337,0.041629345254799555,1970,1,2970,0,0,0,20,20,20,1,0,-17.085945832164033,-0.9167413094904009,300.2635034694067,fold,0,0.10974001884460449
5,0,4,3,deal,False,♥5 ♥J,,20000,0.2661577380952593,0.4419477305601587,0.04518387281517994,1930,1,2930,0,40,40,850,890,890,1,-40,-729.3590595834696,-0.9096322543696401,302.67098706316557,fold,0,0.09166908264160156
6,0,4,3,deal,False,♠8 ♣Q,,20000,0.2754500000000278,0.4467407497643488,0.052079625117853384,1910,1,2910,0,20,20,850,870,870,1,-20,-713.0305859400456,-0.8958407497642933,312.9836141112383,fold,0,0.09343600273132324
7,0,4,4,deal,False,♠9 ♦8,,20000,0.2664196428571645,0.4420862096435778,0.04537653803537561,1910,1,2910,0,0,0,870,870,870,1,0,-748.8446434455471,-0.9092469239292488,300.9517168783801,fold,0,0.09750890731811523
8,0,4,4,deal,False,♣Q ♠Q,,20000,0.5399553571428549,0.4984010126751218,0.290754850805294,1910,1,2910,0,0,0,40,40,40,1,0,0.7056791127411586,-0.418490298389412,754.2117152774031,call,0,0.09744524955749512
8,1,4,2,deal,False,♣Q ♠Q,,20000,0.5399553571428549,0.4984010126751218,0.290754850805294,1870,1,2870,0,40,40,870,910,910,1,0,-82.05435431765329,-0.418490298389412,743.8445439333838,fold,0,0.07837104797363281
9,0,4,3,deal,False,♠K ♦5,,20000,0.2613011904762164,0.4393436904428337,0.041629345254799555,1790,1,2790,0,80,80,830,910,910,1,-80,-716.3518874543972,-0.9167413094904009,282.0657153803517,fold,0,0.09076714515686035
