round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,bluff_freq,thd_call,bet_limit,action,amount,cputime
13,1,8,3,deal,False,♦7 ♥4,,60000,0.09720462962962963,0.27190097705698546,0.3134570598407321,1575,0,3575,0,40,651,0,1462,691,2,0,0.30809275911026973,393.75,fold,0,0.24447894096374512
14,0,8,5,deal,False,♠K ♦10,,60000,0.18160324074074072,0.34639371808276453,0.4622597549735973,1575,0,3575,0,0,40,0,60,40,1,0,0.4,60,check,0,0.2718968391418457
14,1,8,4,deal,False,♠K ♦10,,60000,0.18160324074074072,0.34639371808276453,0.4622597549735973,1535,0,3535,0,40,1422,0,3064,1462,2,0,0.3169861792242532,767.5,fold,0,0.32431483268737793
15,0,8,6,deal,False,♦5 ♣10,,60000,0.10026064814814814,0.27227210881678426,0.31831272747431166,1535,0,3535,0,0,40,0,60,40,1,0,0.4,52.55944289041592,fold,0,0.22131609916687012
16,0,8,7,deal,False,♠A ♦9,,60000,0.16313935185185185,0.3296157336832882,0.43065211404678366,1535,0,3535,0,0,40,0,60,40,1,0,0.4,60,check,0,0.25482678413391113
16,1,8,5,flop,True,♠A ♦9,♦A ♥3 ♥6,638,0.516980146290491,0.49344262178302634,0.5779449604476916,1495,0,3495,40,0,40,220,0,0,8,0,0.15384615384615385,0,bet,0,1.1971960067749023
16,2,8,3,turn,True,♠A ♦9,♦A ♥3 ♥6 ♥K,170,0.26666666666666666,0.4306098426665457,0.29835955698358796,1455,0,3455,80,0,40,340,0,0,8,0,0.10526315789473684,69.5932256962264,check,0,1.1700689792633057
16,3,8,3,turn,False,♠A ♦9,♦A ♥3 ♥6 ♥K,965,0.21347150259067357,0.40188442619784037,0.2428381218927051,1455,0,3455,80,0,59,340,106,59,1,0,0.11683168316831684,86.85686839962298,check,0,1.2049148082733154
16,4,8,3,river,True,♠A ♦9,♦A ♥3 ♥6 ♥K ♥9,416,0.014423076923076924,0.11922689199651196,0.017234493437958322,1396,0,3396,139,0,40,505,0,0,8,0,0.07339449541284404,9.014127011837836,fold,0,1.185403823852539
17,0,8,8,deal,False,♥3 ♥5,,60000,0.13715416666666666,0.3237344945574305,0.3855294088430054,1396,0,3396,0,0,80,0,120,80,1,0,0.4,120,fold,0,0.22593903541564941
