N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,made_hand,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tightness
9,7,6,0,0,9,0,6,0,9,0,60000.0,bet,0.75,80,0,150,1,,,,,,,,,,,,0,3,0,0,1,0,13,12,25,1,3000,20,0.16992521286010742,False,0,9,20180807133749536,Early,1,13,0,13,12,2,13,QH KH,michael6,,20,20,2990,2981.25,2980,any_called,stt_middle,D,L,0,0,0.21443703703706385,,0.4104312295425736,0.5189770093576536,0,none,,"[0, 0, 1, 80]",Deal,1,0,0,10,"('raise', 200)","('allin', 3000)","('raise', 80)","('fold', 0)",242,,-0.7420000000000001
9,4,4,2,1,8,0,4,2,6,1,347,check,0.75,0,0,80,1,7S AC JH,1,0,0,2,1,14,14,7,1,14,0,3,0,0,1,0,13,12,25,1,2920,20,0.2686338424682617,False,0,9,20180807133749536,Early,3,14,0,14,13,3,13,QH KH,michael6,none,20,20,2920,2904.0,2900,any_raised,call,D,L,80,650,0.207492795389049,0.13846690005900533,0.40014593422910355,0.2934612225719799,-0.006944241648014854,none,0.21443703703706385,"[0, 1, 0, 0]",Flop,1,0,0,10,,,,,242,0.02666666666666667,-0.21199999999999997
9,1,2,1,2,8,1,2,1,5,2,344,fold,0.75,0,0,2920,1,7S AC JH AD,2,0,0,3,2,14,14,7,1,14,0,3,0,0,1,0,13,12,25,1,2900,2900,0.28228211402893066,False,0,9,20180807133749536,Early,3,14,1,14,13,3,13,QH KH,michael6,none,2900,2900,2900,2170.0,0,any_raised,limp,D,L,100,770,0.11482558139534883,0.09400763125763126,0.3107305230424642,0.188710485629915,-0.09266721399370016,none,0.207492795389049,"[1, 0, 0, 0]",Turn,1,0,0,10,,,,,242,0.4400606980273141,-0.23175118369208497
9,6,5,0,0,9,0,5,0,9,0,60000.0,fold,0.75,0,0,130,1,,,,,,,,,,,,0,9,0,0,0,0,12,3,15,0,2900,20,0.17413616180419922,False,0,9,20180807133749536,Early,1,12,0,12,3,1,12,QH 3C,michael6,,20,20,3670,2996.25,2860,any_called,limp,6,L,0,0,0.09321666666667767,,0.29073582462818576,0.30952412019004794,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",242,,-0.7440000000000001
9,1,2,1,1,9,0,2,1,8,1,60000.0,fold,0.75,0,0,528,1,,,,,,,,,,,,0,9,0,0,0,0,11,6,17,0,2900,458,0.16279196739196777,False,0,9,20180807133749536,Early,1,11,0,11,6,1,11,6C JD,michael6,,458,458,4560,2953.1428571428573,1370,any_raised,limp,5,M,0,0,0.09571851851852976,,0.2942048329500174,0.3151953238992428,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",242,,-0.7460000000000001
9,1,2,0,1,9,0,2,0,9,1,60000.0,fold,0.75,0,0,130,1,,,,,,,,,,,,0,9,0,0,0,0,12,4,16,1,2900,60,0.17077207565307617,False,0,9,20180807133749536,Early,1,12,0,12,4,2,12,QH 4H,michael6,,60,60,5538,2996.25,1360,any_raised,limp,4,M,0,0,0.13705185185186647,,0.3439020816392953,0.3942906089180594,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",242,,-0.7480000000000001
9,3,2,0,0,9,0,2,0,9,0,60000.0,fold,0.75,0,0,70,1,,,,,,,,,,,,0,9,0,0,0,0,10,3,13,0,2900,20,0.16982316970825195,False,0,9,20180807133749536,Early,1,10,0,10,3,1,10,3H TC,michael6,,20,20,5458,3003.75,1161,any_called,limp,3,M,0,0,0.08131851851852663,,0.27332364893012584,0.28631125521612105,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",242,,-0.7500000000000001
9,2,1,0,0,9,0,1,0,9,0,60000.0,fold,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,12,6,18,0,2900,20,0.16993093490600586,False,0,9,20180807133749536,Early,1,12,0,12,6,1,12,6C QH,michael6,,20,20,6188,3006.25,1161,any_called,limp,2,E,0,0,0.10402777777779068,,0.3052965758543736,0.33361080282027966,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",242,,-0.7520000000000001
9,1,0,0,0,9,0,0,0,9,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,10,4,14,0,2900,20,0.15702390670776367,False,0,9,20180807133749536,Early,1,10,0,10,4,1,10,4C TH,michael6,,20,20,6158,3008.75,1161,none,limp,1,E,0,0,0.08671481481482342,,0.28141669407917913,0.2989030021505245,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",242,,-0.7540000000000001
8,7,6,1,0,8,0,6,1,7,0,60000.0,check,0.75,0,20,140,1,,,,,,,,,,,,1,7,0,0,0,0,14,2,16,0,2880,0,0.17986512184143066,False,20,9,20180807133749536,Early,1,14,0,14,2,1,14,AD 2C,michael6,,20,0,5928,3803.1666666666665,2440,any_called,limp,BB,B,0,0,0.13719166666666893,,0.34404957965951727,0.35944769512671715,0,none,,"[0, 1, 0, 0]",Deal,8,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",242,,-0.6460000000000001
