tableNumber,game_id,round_id,smallBlind,playerName,isHuman,isOnline,isSurvive,chips,reloadCount,folded,allIn,position,cards,board,rank,message,winMoney
152,20180807125825128,1,10,2d3ee73bcf5c3898d54174aba932622c,False,True,True,3000,0,True,False,3,8C 4C,5D 8S 6H AD 2D,15.206,Pair,0.0
152,20180807125825128,1,10,2248d29d6f988661936a8858d2ae6d15,False,True,True,2980,0,True,False,4,KS TS,5D 8S 6H AD 2D,8.1192,High Card,0.0
152,20180807125825128,1,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2980,0,True,False,5,8H 5C,5D 8S 6H AD 2D,40.2048,Two Pair,0.0
152,20180807125825128,1,10,91034c2bbfb61354da2ada3586c99dc5,False,True,True,2980,0,True,False,D,7S 3H,5D 8S 6H AD 2D,8.006,High Card,0.0
152,20180807125825128,1,10,34e208bd58f20ada1f717895d70a484e,False,True,True,2980,0,True,False,SB,KC 5S,5D 8S 6H AD 2D,12.3104,Pair,0.0
152,20180807125825128,1,10,3cf643579c62a496854f7c2a674b4a5a,False,True,True,1780,0,True,False,BB,6D QC,5D 8S 6H AD 2D,13.2592,Pair,0.0
152,20180807125825128,1,10,1a46ae97bbf8020d10f26335fff0c556,False,True,True,894,0,True,False,1,JH 9D,5D 8S 6H AD 2D,8.036,High Card,0.0
152,20180807125825128,1,10,8ebf4cc1a17d60e4b303b20c7c321d70,False,True,True,6406,0,False,False,2,AH 8D,5D 8S 6H AD 2D,94.0008,Two Pair,5512.0
152,20180807125825128,2,10,2d3ee73bcf5c3898d54174aba932622c,False,True,True,3000,0,True,False,2,4C 3S,3D 2H 6D 9C JC,10.0328,Pair,0.0
152,20180807125825128,2,10,2248d29d6f988661936a8858d2ae6d15,False,True,True,2980,0,True,False,3,3C 4H,3D 2H 6D 9C JC,10.0328,Pair,0.0
152,20180807125825128,2,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2945,0,True,False,4,8H 5C,3D 2H 6D 9C JC,5.0108,High Card,0.0
152,20180807125825128,2,10,91034c2bbfb61354da2ada3586c99dc5,False,True,True,3155,0,False,True,5,TC AD,3D 2H 6D 9C JC,8.0456,High Card,3155.0
152,20180807125825128,2,10,34e208bd58f20ada1f717895d70a484e,False,True,True,2945,0,True,False,D,QD 2S,3D 2H 6D 9C JC,9.0832,Pair,0.0
152,20180807125825128,2,10,3cf643579c62a496854f7c2a674b4a5a,False,True,True,1745,0,True,False,SB,KC 7S,3D 2H 6D 9C JC,7.0344,High Card,0.0
152,20180807125825128,2,10,1a46ae97bbf8020d10f26335fff0c556,False,True,True,859,0,True,False,BB,8C 7D,3D 2H 6D 9C JC,5.012,High Card,0.0
152,20180807125825128,2,10,8ebf4cc1a17d60e4b303b20c7c321d70,False,True,True,6371,0,True,False,1,JD 5H,3D 2H 6D 9C JC,18.0076,Pair,0.0
152,20180807125825128,3,10,2d3ee73bcf5c3898d54174aba932622c,False,True,True,2980,0,True,False,1,6D JD,JC 5S KD QS 5D,61.1024,Two Pair,0.0
152,20180807125825128,3,10,2248d29d6f988661936a8858d2ae6d15,False,True,True,2960,0,True,False,2,2C KH,JC 5S KD QS 5D,80.0512,Two Pair,0.0
152,20180807125825128,3,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2925,0,True,False,3,TC 7C,JC 5S KD QS 5D,12.1792,Pair,0.0
152,20180807125825128,3,10,91034c2bbfb61354da2ada3586c99dc5,False,True,True,3043,0,True,False,4,JS 3D,JC 5S KD QS 5D,61.1024,Two Pair,0.0
152,20180807125825128,3,10,34e208bd58f20ada1f717895d70a484e,False,True,True,1200,0,False,False,5,AD 8D,JC 5S KD QS 5D,12.3584,Pair,0.0
152,20180807125825128,3,10,3cf643579c62a496854f7c2a674b4a5a,False,True,True,4541,0,False,True,D,KS 9C,JC 5S KD QS 5D,80.0512,Two Pair,4541.0
152,20180807125825128,3,10,1a46ae97bbf8020d10f26335fff0c556,False,True,True,0,0,False,True,SB,6S TH,JC 5S KD QS 5D,12.1792,Pair,0.0
152,20180807125825128,3,10,8ebf4cc1a17d60e4b303b20c7c321d70,False,True,True,6351,0,True,False,BB,4H 6C,JC 5S KD QS 5D,12.1792,Pair,0.0
152,20180807125825128,4,10,2d3ee73bcf5c3898d54174aba932622c,False,True,True,2960,0,True,False,BB,5C 8C,KC 7H 5D TS 3D,12.1184,Pair,0.0
152,20180807125825128,4,10,2248d29d6f988661936a8858d2ae6d15,False,True,True,2900,0,True,False,1,5S JD,KC 7H 5D TS 3D,12.1408,Pair,0.0
152,20180807125825128,4,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2865,0,True,False,2,JS 9H,KC 7H 5D TS 3D,7.0464,High Card,0.0
152,20180807125825128,4,10,91034c2bbfb61354da2ada3586c99dc5,False,True,True,3023,0,True,False,3,2C 4H,KC 7H 5D TS 3D,7.015,High Card,0.0
152,20180807125825128,4,10,34e208bd58f20ada1f717895d70a484e,False,True,True,1140,0,True,False,4,AH 5H,KC 7H 5D TS 3D,12.32,Pair,0.0
152,20180807125825128,4,10,3cf643579c62a496854f7c2a674b4a5a,False,True,True,4521,0,True,False,D,6H TD,KC 7H 5D TS 3D,17.1048,Pair,0.0
152,20180807125825128,4,10,1a46ae97bbf8020d10f26335fff0c556,False,True,False,0,0,False,False,,,KC 7H 5D TS 3D,,,0.0
152,20180807125825128,4,10,8ebf4cc1a17d60e4b303b20c7c321d70,False,True,True,6591,0,False,True,SB,3C KS,KC 7H 5D TS 3D,78.0128,Two Pair,6591.0
152,20180807125825128,5,10,2d3ee73bcf5c3898d54174aba932622c,False,True,True,2950,0,True,False,SB,2S TD,KC AD 2D 5C 4H,9.32,Pair,0.0
152,20180807125825128,5,10,2248d29d6f988661936a8858d2ae6d15,False,True,True,2880,0,True,False,BB,6S TH,KC AD 2D 5C 4H,8.1164,High Card,0.0
152,20180807125825128,5,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2845,0,True,False,1,AC 5H,KC AD 2D 5C 4H,91.1024,Two Pair,0.0
152,20180807125825128,5,10,91034c2bbfb61354da2ada3586c99dc5,False,True,True,3003,0,True,False,2,KH QD,KC AD 2D 5C 4H,20.2564,Pair,0.0
152,20180807125825128,5,10,34e208bd58f20ada1f717895d70a484e,False,True,True,1120,0,True,False,3,7C JH,KC AD 2D 5C 4H,8.13,High Card,0.0
152,20180807125825128,5,10,3cf643579c62a496854f7c2a674b4a5a,False,True,True,4611,0,False,False,4,9C TC,KC AD 2D 5C 4H,8.122,High Card,1290.0
152,20180807125825128,5,10,1a46ae97bbf8020d10f26335fff0c556,False,True,False,0,0,False,False,,,KC AD 2D 5C 4H,,,0.0
152,20180807125825128,5,10,8ebf4cc1a17d60e4b303b20c7c321d70,False,True,True,6591,0,True,False,D,9S 3C,KC AD 2D 5C 4H,113.0,Straight,0.0
152,20180807125825128,6,10,2d3ee73bcf5c3898d54174aba932622c,False,True,True,2570,0,False,False,D,9S KD,7S KS 6D 6H 8S,81.0064,Two Pair,0.0
152,20180807125825128,6,10,2248d29d6f988661936a8858d2ae6d15,False,True,True,2840,0,True,False,SB,8C AH,7S KS 6D 6H 8S,41.2048,Two Pair,0.0
152,20180807125825128,6,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2805,0,True,False,BB,4S 5H,7S KS 6D 6H 8S,116.0,Straight,0.0
152,20180807125825128,6,10,91034c2bbfb61354da2ada3586c99dc5,False,True,True,3003,0,True,False,1,3C 2D,7S KS 6D 6H 8S,13.1072,Pair,0.0
152,20180807125825128,6,10,34e208bd58f20ada1f717895d70a484e,False,True,True,1620,0,False,False,2,6S JH,7S KS 6D 6H 8S,104.128,Three of a Kind,880.0
152,20180807125825128,6,10,3cf643579c62a496854f7c2a674b4a5a,False,True,True,4591,0,True,False,3,TC 2S,7S KS 6D 6H 8S,13.1184,Pair,0.0
152,20180807125825128,6,10,1a46ae97bbf8020d10f26335fff0c556,False,True,False,0,0,False,False,,,7S KS 6D 6H 8S,,,0.0
152,20180807125825128,6,10,8ebf4cc1a17d60e4b303b20c7c321d70,False,True,True,6571,0,True,False,4,3S JC,7S KS 6D 6H 8S,13.1312,Pair,0.0
152,20180807125825128,7,10,2d3ee73bcf5c3898d54174aba932622c,False,True,True,2570,0,True,False,4,9S 7C,8D 9C 7S 2H 6H,48.0032,Two Pair,0.0
152,20180807125825128,7,10,2248d29d6f988661936a8858d2ae6d15,False,True,True,2820,0,True,False,D,JH 5D,8D 9C 7S 2H 6H,117.0,Straight,0.0
152,20180807125825128,7,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2765,0,True,False,SB,4S AC,8D 9C 7S 2H 6H,8.012,High Card,0.0
152,20180807125825128,7,10,91034c2bbfb61354da2ada3586c99dc5,False,True,True,3163,0,False,False,BB,TH KS,8D 9C 7S 2H 6H,118.0,Straight,480.0
152,20180807125825128,7,10,34e208bd58f20ada1f717895d70a484e,False,True,True,1600,0,True,False,1,4H 5H,8D 9C 7S 2H 6H,117.0,Straight,0.0
152,20180807125825128,7,10,3cf643579c62a496854f7c2a674b4a5a,False,True,True,4591,0,True,False,2,7D 3C,8D 9C 7S 2H 6H,14.0104,Pair,0.0
152,20180807125825128,7,10,1a46ae97bbf8020d10f26335fff0c556,False,True,False,0,0,False,False,,,8D 9C 7S 2H 6H,,,0.0
152,20180807125825128,7,10,8ebf4cc1a17d60e4b303b20c7c321d70,False,True,True,6491,0,True,False,3,KC QD,8D 9C 7S 2H 6H,7.0624,High Card,0.0
152,20180807125825128,8,10,2d3ee73bcf5c3898d54174aba932622c,False,True,True,2570,0,True,False,3,6S TC,3C 5D 6H 6D JS,104.0384,Three of a Kind,0.0
152,20180807125825128,8,10,2248d29d6f988661936a8858d2ae6d15,False,True,True,2700,0,True,False,4,4D AH,3C 5D 6H 6D JS,13.2308,Pair,0.0
152,20180807125825128,8,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2685,0,True,False,D,JC AD,3C 5D 6H 6D JS,62.2048,Two Pair,0.0
