N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,made_hand,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tightness
6,1,1,2,2,6,0,1,2,4,2,60000.0,fold,0.75,0,20,521,1,,,,,,,,,,,,0,9,0,0,0,0,13,6,19,0,2980,294,0.19653010368347168,False,20,6,20180807131136156,Early,1,13,0,13,6,1,13,KD 6C,michael6,,314,294,2980,2836.3333333333335,2686,any_raised,limp,BB,B,0,0,0.17651111111110615,,0.3812544278633743,0.28936242175866494,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",183,,-0.29600000000000004
6,2,2,1,1,6,0,2,1,5,1,60000.0,fold,0.75,0,10,130,1,,,,,,,,,,,,0,9,0,0,0,0,12,8,20,0,2970,30,0.16183114051818848,False,10,6,20180807131136156,Early,1,12,0,12,8,1,12,8D QS,michael6,,40,30,2980,2694.0,1886,any_raised,limp,SB,B,0,0,0.18477182539682066,,0.388112352207898,0.2996530816503585,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",183,,-0.29600000000000004
5,1,0,1,1,5,0,0,1,4,1,60000.0,fold,0.75,0,0,247,1,,,,,,,,,,,,0,9,0,0,0,0,12,7,19,0,2970,217,0.14839601516723633,False,0,6,20180807131136156,Early,1,12,0,12,7,1,12,7C QH,michael6,,217,217,4976,3951.0,2970,any_raised,limp,D,L,0,0,0.2022005291004691,,0.4016409779043461,0.2769057509906775,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",183,,-0.186
5,2,1,0,0,5,0,1,0,5,0,60000.0,bet,0.75,80,0,50,1,,,,,,,,,,,,0,4,0,0,0,1,7,7,14,0,2970,20,0.15681099891662598,False,0,6,20180807131136156,Early,1,7,1,7,0,1,7,7C 7H,michael6,,20,20,5233,3745.0,2910,any_called,stt_middle,2,E,0,0,0.27266097883586193,,0.4453279347358883,0.35638263056620895,0,none,,"[0, 0, 1, 80]",Deal,4,0,0,10,"('fold', 0)","('fold', 0)","('raise', 80)","('raise', 80)",183,,-0.188
5,1,1,0,1,3,0,1,0,3,1,323,fold,0.75,0,0,1425,1,6D 4D AS,1,0,0,1,1,14,14,4,2,6,0,4,0,0,0,1,7,7,14,0,2890,1425,0.25978779792785645,False,0,6,20180807131136156,Early,1,7,1,7,14,2,6,7C 7H,michael6,marginal,1425,1425,5163,3294.0,1425,any_raised,limp,2,E,80,260,0.46439628482972134,0.40007614689232335,0.49405304636018227,0.5880815144275411,0.1917353059938594,none,0.27266097883586193,"[1, 0, 0, 0]",Flop,4,0,0,10,,,,,183,0.45819935691318325,-0.248
5,1,0,0,0,5,0,0,0,5,0,60000.0,bet,0.75,80,0,30,1,,,,,,,,,,,,0,5,0,0,0,1,6,6,12,0,2890,20,0.17176413536071777,False,0,6,20180807131136156,Early,1,6,1,6,0,1,6,6S 6D,michael6,,20,20,5163,3770.0,2970,none,stt_middle,1,E,0,0,0.2512167989417015,,0.4337129452428025,0.333622258537834,0,none,,"[0, 0, 1, 80]",Deal,5,0,0,10,"('fold', 0)","('fold', 0)","('raise', 80)","('raise', 80)",183,,-0.19
5,2,2,1,1,5,0,2,1,4,2,60000.0,check,0.75,0,80,586,1,,,,,,,,,,,,0,5,0,0,0,1,6,6,12,0,2810,133,0.14667677879333496,False,0,6,20180807131136156,Early,1,6,1,6,0,1,6,6S 6D,michael6,,213,133,5083,3878.0,2897,any_reraised,stt_middle,1,E,0,0,0.2512167989417015,,0.4337129452428025,0.333622258537834,0,bet/raise/allin,,"[0, 1, 0, 0]",Deal,5,0,1,10,"('fold', 0)","('fold', 0)","('call', 0)","('call', 0)",183,,-0.19
5,1,0,1,1,4,0,0,1,3,1,344,fold,0.75,0,0,2677,1,QS AD KD,1,3,14,3,1,14,14,12,2,14,0,5,0,0,0,1,6,6,12,0,2677,2677,0.2628171443939209,False,0,6,20180807131136156,Early,2,14,1,6,14,3,14,6S 6D,michael6,marginal,2816,2816,4950,2894.0,838,any_raised,limp,1,E,213,852,0.2311046511627907,0.11793155528681844,0.41764212256010075,0.33564637106756845,-0.02011214777891082,none,0.2512167989417015,"[1, 0, 0, 0]",Flop,5,0,0,10,,,,,183,0.4313567515307767,-0.248
4,1,1,1,1,4,0,1,1,3,1,60000.0,fold,0.75,0,40,140,2,,,,,,,,,,,,0,9,0,0,0,0,4,2,6,1,2637,20,0.1608867645263672,False,40,6,20180807131136156,Late,1,4,0,4,2,2,4,4D 2D,michael6,,60,20,9416,6126.5,2837,any_raised,limp,BB,B,0,0,0.20520297619045416,,0.403849866600243,0.23831866525167408,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,20,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",183,,-0.082
4,2,1,1,0,4,0,1,1,3,0,60000.0,fold,0.75,0,20,100,2,,,,,,,,,,,,0,9,0,0,0,0,12,6,18,0,2617,20,0.15698885917663574,False,20,6,20180807131136156,Late,1,12,0,12,6,1,12,QD 6S,michael6,,40,20,2937,2933.5,2930,any_called,limp,SB,B,0,0,0.25132976190469763,,0.4337777226709846,0.28776709060906036,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,20,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",183,,-0.084
