N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,made_hand,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tightness
7,4,3,3,0,7,0,3,3,4,0,60000.0,check,0.75,0,20,90,1,,,,,,,,,,,,0,9,0,0,0,0,8,2,10,0,2980,0,0.149367094039917,False,20,7,20180807123204378,Early,1,8,0,8,2,1,8,8D 2C,michael5,,20,0,2980,2980.0,2980,any_called,limp,BB,B,0,0,0.0872230158730052,,0.28216158734849556,0.2023449435111914,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",89,,-0.40800000000000003
7,0,0,0,0,4,0,0,0,4,0,93,check,0.75,0,0,0,1,6C JH TH,0,2,11,2,1,11,11,6,2,11,0,9,0,0,0,0,8,2,10,0,2980,0,0.2603590488433838,True,0,7,20180807123204378,Early,1,11,0,11,10,2,6,8D 2C,michael5,none,0,20,2980,2980.0,2980,none,limp,BB,B,20,90,0.13440860215053763,0.017956349206349205,0.31797791575529566,0.22377439020424122,0.04718558627753243,none,0.0872230158730052,"[0, 1, 0, 0]",Flop,1,0,0,10,,,,,89,0.0,-0.262
7,2,1,1,1,4,0,2,1,3,1,446,check,0.75,0,0,40,1,6C JH TH,0,2,11,2,1,11,11,6,2,11,0,9,0,0,0,0,8,2,10,0,2980,20,0.27060604095458984,False,0,7,20180807123204378,Early,1,11,0,11,10,2,6,8D 2C,michael5,none,20,20,2960,2960.0,2960,any_raised,limp,BB,B,20,90,0.07623318385650224,0.008749999999999999,0.256054073439849,0.14576034532528315,-0.010989832016502957,check/call,0.0872230158730052,"[0, 1, 0, 0]",Flop,1,1,0,10,,,,,89,0.13333333333333333,-0.262
7,0,0,0,0,4,0,0,0,3,0,98,check,0.75,0,0,0,1,6C JH TH JD,0,2,11,3,2,11,11,6,2,11,0,9,0,0,0,0,8,2,10,0,2960,0,0.33545708656311035,True,0,7,20180807123204378,Early,1,11,1,11,10,2,6,8D 2C,michael5,none,0,20,2960,2960.0,2960,none,limp,BB,B,40,150,0.0,0.02519787157287157,0.0,0.0,-0.07623318385650224,none,0.07623318385650224,"[0, 1, 0, 0]",Turn,1,0,0,10,,,,,89,0.0,-0.3042291914174131
7,2,1,0,1,4,0,2,0,3,1,468,fold,0.75,0,0,40,1,6C JH TH JD,0,2,11,3,2,11,11,6,2,11,0,9,0,0,0,0,8,2,10,0,2960,20,0.32163405418395996,False,0,7,20180807123204378,Early,1,11,1,11,10,2,6,8D 2C,michael5,none,20,20,2940,2940.0,2940,any_raised,limp,BB,B,40,150,0.02564102564102564,0.028284826284826287,0.15806189751202504,0.07372806891501105,-0.0505921582154766,check/call,0.07623318385650224,"[1, 0, 0, 0]",Turn,1,1,0,10,,,,,89,0.09523809523809523,-0.3042291914174131
7,2,1,4,0,7,0,1,4,3,0,60000.0,check,0.75,0,10,50,1,,,,,,,,,,,,1,7,0,0,0,0,14,6,20,0,2950,10,0.14946579933166504,False,10,7,20180807123204378,Early,1,14,0,14,6,1,14,AS 6C,michael5,,20,10,2980,2970.0,2960,any_called,limp,SB,B,0,0,0.16698392857141628,,0.3729615210316909,0.31840630611028276,0,none,,"[0, 1, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",89,,-0.406
7,0,0,0,0,3,0,0,0,3,0,105,check,0.75,0,0,0,1,5S 6H 9D,0,2,6,0,1,9,9,5,1,9,1,7,0,0,0,0,14,6,20,0,2940,0,0.4462618827819824,True,0,7,20180807123204378,Early,1,6,1,6,14,2,14,AS 6C,michael5,marginal,0,20,2980,2970.0,2960,none,limp,SB,B,20,60,0.37142857142857144,0.7494110978890387,0.4831867007225075,0.4989898604193134,0.20444464285715516,none,0.16698392857141628,"[0, 1, 0, 0]",Flop,2,0,0,10,,,,,89,0.0,-0.264
7,1,0,0,2,3,0,1,0,3,2,484,fold,0.75,0,0,60,1,5S 6H 9D,0,2,6,0,1,9,9,5,1,9,1,7,0,0,0,0,14,6,20,0,2940,40,0.43187689781188965,False,0,7,20180807123204378,Early,1,6,1,6,14,2,14,AS 6C,michael5,marginal,40,40,2960,2940.0,2920,any_raised,limp,SB,B,20,60,0.4896694214876033,0.5440934784599644,0.4971302225885689,0.6216412441751417,0.322685492916187,check/call,0.16698392857141628,"[1, 0, 0, 0]",Flop,2,1,0,10,,,,,89,0.25,-0.264
7,3,2,2,0,7,0,2,2,5,0,60000.0,check,0.75,0,0,70,1,,,,,,,,,,,,0,9,0,1,0,0,8,6,14,0,2940,20,0.1791238784790039,False,0,7,20180807123204378,Early,1,8,0,8,6,1,8,6H 8C,michael5,,20,20,3316,2991.25,2654,any_called,limp,D,L,0,0,0.131514484126952,,0.3379621644382307,0.2680511985599972,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",89,,-0.404
7,1,0,2,1,4,0,0,2,2,1,332,check,0.75,0,0,20,1,TD KH JD,0,2,11,3,1,13,13,10,2,11,0,9,0,1,0,0,8,6,14,0,2920,20,0.2947359085083008,False,0,7,20180807123204378,Early,1,11,0,13,11,2,11,6H 8C,michael5,none,20,20,2995,2995.0,2995,any_raised,limp,D,L,20,90,0.04969879518072289,0.057875242404654165,0.2093806837352481,0.10750643081248769,-0.08181568894622909,none,0.131514484126952,"[0, 1, 0, 0]",Flop,3,0,0,10,,,,,89,0.15384615384615385,-0.266
