tableNumber,game_id,round_id,smallBlind,roundName,playerName,isHuman,isOnline,chips,reloadCount,position,cards,board,roundBet,bet,action,amount
140,20180807175938836,1,10,Deal,a161f12e3ece9ba85a84d03387ff6754,False,True,2980,0,1,,,0,20,call,20
140,20180807175938836,1,10,Deal,cf133fc811c034231ca97235d1992fc6,False,True,2980,0,2,,,0,20,call,20
140,20180807175938836,1,10,Deal,2457b5121ed104049a3f89109143918d,False,True,2980,0,3,,,0,20,call,20
140,20180807175938836,1,10,Deal,626219d330da0cd2d1726c9e273767d7,False,True,2394,0,4,,,0,606,bet,606
140,20180807175938836,1,10,Deal,2248d29d6f988661936a8858d2ae6d15,False,True,3000,0,5,,,0,0,fold,0
140,20180807175938836,1,10,Deal,6a17a747a9a2f816d6f63e07e8720042,False,True,3000,0,6,,,0,0,fold,0
140,20180807175938836,1,10,Deal,84ae7a5d656533982b0b73cf09855508,False,True,2369,0,D,,,0,631,bet,631
140,20180807175938836,1,10,Deal,d9877415dddb7a4f28a444ad025fe94f,False,True,2369,0,SB,,,0,631,call,621
140,20180807175938836,1,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2980,0,BB,9C AH,,0,20,fold,0
140,20180807175938836,1,10,Deal,a161f12e3ece9ba85a84d03387ff6754,False,True,2369,0,1,,,0,631,call,611
140,20180807175938836,1,10,Deal,cf133fc811c034231ca97235d1992fc6,False,True,2980,0,2,,,0,20,fold,0
140,20180807175938836,1,10,Deal,2457b5121ed104049a3f89109143918d,False,True,2980,0,3,,,0,20,fold,0
140,20180807175938836,1,10,Deal,626219d330da0cd2d1726c9e273767d7,False,True,1609,0,4,,,0,1391,bet,785
140,20180807175938836,1,10,Deal,84ae7a5d656533982b0b73cf09855508,False,True,1609,0,D,,,0,1391,call,760
140,20180807175938836,1,10,Deal,d9877415dddb7a4f28a444ad025fe94f,False,True,1609,0,SB,,,0,1391,call,760
140,20180807175938836,1,10,Deal,a161f12e3ece9ba85a84d03387ff6754,False,True,2369,0,1,,,0,631,fold,0
140,20180807175938836,1,10,Flop,d9877415dddb7a4f28a444ad025fe94f,False,True,1589,0,SB,,5S QH 8D,1391,20,bet,20
140,20180807175938836,1,10,Flop,626219d330da0cd2d1726c9e273767d7,False,True,1589,0,4,,5S QH 8D,1391,20,call,20
140,20180807175938836,1,10,Flop,84ae7a5d656533982b0b73cf09855508,False,True,538,0,D,,5S QH 8D,1391,1071,bet,1071
140,20180807175938836,1,10,Flop,d9877415dddb7a4f28a444ad025fe94f,False,True,538,0,SB,,5S QH 8D,1391,1071,call,1051
140,20180807175938836,1,10,Flop,626219d330da0cd2d1726c9e273767d7,False,True,538,0,4,,5S QH 8D,1391,1071,call,1051
140,20180807175938836,1,10,Turn,d9877415dddb7a4f28a444ad025fe94f,False,True,518,0,SB,,5S QH 8D 5D,2462,20,bet,20
140,20180807175938836,1,10,Turn,626219d330da0cd2d1726c9e273767d7,False,True,518,0,4,,5S QH 8D 5D,2462,20,call,20
140,20180807175938836,1,10,Turn,84ae7a5d656533982b0b73cf09855508,False,True,518,0,D,,5S QH 8D 5D,2462,20,call,20
140,20180807175938836,1,10,River,d9877415dddb7a4f28a444ad025fe94f,False,True,498,0,SB,,5S QH 8D 5D 3H,2482,20,bet,20
140,20180807175938836,1,10,River,626219d330da0cd2d1726c9e273767d7,False,True,498,0,4,,5S QH 8D 5D 3H,2482,20,call,20
140,20180807175938836,1,10,River,84ae7a5d656533982b0b73cf09855508,False,True,498,0,D,,5S QH 8D 5D 3H,2482,20,call,20
140,20180807175938836,2,10,Deal,cf133fc811c034231ca97235d1992fc6,False,True,2980,0,1,,,0,0,fold,0
140,20180807175938836,2,10,Deal,2457b5121ed104049a3f89109143918d,False,True,2960,0,2,,,0,20,call,20
140,20180807175938836,2,10,Deal,626219d330da0cd2d1726c9e273767d7,False,True,478,0,3,,,0,20,call,20
140,20180807175938836,2,10,Deal,2248d29d6f988661936a8858d2ae6d15,False,True,2980,0,4,,,0,20,call,20
140,20180807175938836,2,10,Deal,6a17a747a9a2f816d6f63e07e8720042,False,True,3000,0,5,,,0,0,fold,0
140,20180807175938836,2,10,Deal,84ae7a5d656533982b0b73cf09855508,False,True,8695,0,6,,,0,0,fold,0
140,20180807175938836,2,10,Deal,d9877415dddb7a4f28a444ad025fe94f,False,True,478,0,D,,,0,20,call,20
140,20180807175938836,2,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2970,0,SB,2H TH,,0,10,fold,0
140,20180807175938836,2,10,Deal,a161f12e3ece9ba85a84d03387ff6754,False,True,2349,0,BB,,,0,20,call,0
140,20180807175938836,2,10,Flop,a161f12e3ece9ba85a84d03387ff6754,False,True,2329,0,BB,,KD 6C QS,20,20,bet,20
140,20180807175938836,2,10,Flop,2457b5121ed104049a3f89109143918d,False,True,2960,0,2,,KD 6C QS,20,0,fold,0
140,20180807175938836,2,10,Flop,626219d330da0cd2d1726c9e273767d7,False,True,478,0,3,,KD 6C QS,20,0,fold,0
140,20180807175938836,2,10,Flop,2248d29d6f988661936a8858d2ae6d15,False,True,2960,0,4,,KD 6C QS,20,20,call,20
140,20180807175938836,2,10,Flop,d9877415dddb7a4f28a444ad025fe94f,False,True,458,0,D,,KD 6C QS,20,20,call,20
140,20180807175938836,2,10,Turn,a161f12e3ece9ba85a84d03387ff6754,False,True,2309,0,BB,,KD 6C QS JH,40,20,bet,20
140,20180807175938836,2,10,Turn,2248d29d6f988661936a8858d2ae6d15,False,True,2940,0,4,,KD 6C QS JH,40,20,call,20
140,20180807175938836,2,10,Turn,d9877415dddb7a4f28a444ad025fe94f,False,True,438,0,D,,KD 6C QS JH,40,20,call,20
140,20180807175938836,2,10,River,a161f12e3ece9ba85a84d03387ff6754,False,True,2289,0,BB,,KD 6C QS JH KC,60,20,bet,20
140,20180807175938836,2,10,River,2248d29d6f988661936a8858d2ae6d15,False,True,2920,0,4,,KD 6C QS JH KC,60,20,call,20
