tableNumber,game_id,round_id,smallBlind,roundName,forced_bet,N_effective,blind_level,game_N,N,game_phase,Nnf,Nallin,first,hole,board,cards_rank1,cards_rank2,cards_rank_sum,cards_aces,cards_faces,cards_pair,cards_suit,cards_conn,cards_conn2,cards_category,hand_score0,hand_score1,hand_score2,chips,position,position_feature,pot,bet,minBet,cost_to_call,pot_sum,bet_sum,maxBet,NMaxBet,op_chips_max,op_chips_min,Nfold,Ncall,Nraise,self_Ncall,self_Nraise,prev_action,NRfold,NRcall,NRraise,op_resp,Nsim,prWin,prWinStd,prev_prWin,prWin_delta,tightness,aggresiveness,prWin_adj,logic,bet_minimum,bet_limit,thd_call,play,resp,action,amount,cputime
3,20180801095306141,1,10,Deal,0,5,1,5,5,Early,5,0,False,KH KD,,13,13,26,0,1,1,0,0,0,1,1,13,0,3000,1,E,0,0,20,20,0,30,20,1,3000,2980,0,0,0,0,0,none,0,0,0,none,60000.0,0.5015292328038736,0.4999976614415627,,0,-0.186,0.75,0.5945287978320043,michael4,40,3000,0.4,allin,"[0, 0, 0.2, 'raise']",raise,0,0.13261103630065918
3,20180801095306141,1,10,Deal,0,5,1,5,5,Early,5,0,False,KH KD,,13,13,26,0,1,1,0,0,0,1,1,13,0,2960,1,E,0,40,330,330,0,860,370,2,2960,2630,0,3,2,0,1,bet/raise/allin,0,3,1,any_reraised,60000.0,0.5015292328038736,0.4999976614415627,,0,-0.186,0.75,0.5945287978320043,michael4,350,2960,0.2773109243697479,allin,"[0, 0, 0.2, 'raise']",allin,0,0.12422800064086914
