N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
6,2,1,2,2,6,2,1,2,4,2,60000.0,fold,0.75,0,20,0,3000,6040,1,,,,,,,,,,,,0,9,0,0,0,0,11,3,14,0,2980,2980,0.1530461311340332,False,20,6,20180801095344361,Early,0,11,3,JC 3S,michael4,3000,2980,2980,0,any_raised,trash,BB,B,0,0,0.1345534391534501,0.34124596871674384,0.2355622458936063,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,2,0.328159645232816,-0.29600000000000004
5,1,0,2,1,5,0,0,2,3,1,60000.0,fold,0.75,0,10,0,1030,1050,1,,,,,,,,,,,,0,9,0,0,0,0,12,6,18,0,2970,1010,0.1453409194946289,False,10,6,20180801095344361,Early,0,12,6,QD 6C,michael4,1020,1010,2980,1980,any_raised,trash,SB,B,0,0,0.197485582010527,0.39810177958468157,0.27153251301327774,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,2,0.4854368932038835,-0.186
4,1,0,1,0,4,0,0,1,3,0,60000.0,check,0.75,0,0,0,40,30,1,,,,,,,,,,,,1,7,0,0,0,0,14,4,18,0,2970,20,0.18916773796081543,False,0,6,20180801095344361,Late,0,14,4,4S AC,michael4,20,20,6000,2960,all_folded,ml_fold,D,L,0,0,0.29443214285706,0.45578707321474116,0.3299835345678098,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,2,0.4,-0.078
4,0,1,0,0,2,0,1,0,2,0,323,bet,0.75,2657,0,2950,20,0,1,QD 6C 6D,0,0,0,1,2,6,12,6,2,12,1,7,0,0,0,0,14,4,18,0,2950,0,0.23448395729064941,True,0,6,20180801095344361,Late,1,6,14,4S AC,michael4,0,20,2960,2960,any_called,ml_raise,D,L,20,50,0.5634674922600619,0.48170529256105055,0.6864644611219902,0.2690353494030019,none,0.29443214285706,"[0, 0, 1, 2657]",Flop,3,0,0,10,2,0.0,-0.248
4,1,0,0,0,4,0,0,0,4,0,60000.0,check,0.75,0,0,0,40,30,1,,,,,,,,,,,,0,9,0,0,0,0,11,4,15,1,3000,20,0.19532322883605957,False,0,6,20180801095344361,Late,0,11,4,JD 4D,michael4,20,20,6020,2950,none,ml_fold,1,E,0,0,0.25853234126977936,0.4378280139362324,0.29180727032893305,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,2,0.4,-0.076
4,2,1,1,0,4,0,1,1,3,0,60000.0,check,0.75,0,20,0,60,100,2,,,,,,,,,,,,0,9,0,0,0,0,4,2,6,0,3020,20,0.1824510097503662,False,20,6,20180801095344361,Late,0,4,2,2C 4H,michael4,40,20,5960,2910,any_called,ml_fold,SB,B,0,0,0.1643946428571491,0.370633301602837,0.19108024057255338,0,none,,"[0, 1, 0, 0]",Deal,6,0,0,20,2,0.0,-0.072
4,2,2,1,1,4,0,3,1,3,1,60000.0,check,0.75,0,40,0,80,200,2,,,,,,,,,,,,0,9,0,0,0,0,4,2,6,0,3000,40,0.1961679458618164,False,0,6,20180801095344361,Late,0,4,2,2C 4H,michael4,80,40,5920,2870,any_raised,ml_fold,SB,B,0,0,0.1643946428571491,0.370633301602837,0.19108024057255338,0,check/call,,"[0, 1, 0, 0]",Deal,6,1,0,20,2,0.16666666666666666,-0.072
4,0,0,0,0,3,0,0,0,3,0,73,check,0.75,0,0,0,40,0,2,QH QC TH,0,0,0,3,2,12,12,10,2,12,0,9,0,0,0,0,4,2,6,0,2960,0,0.2402658462524414,True,0,6,20180801095344361,Late,1,12,10,2C 4H,michael4,0,40,5920,2870,none,ml_fold,SB,B,80,240,0.0958904109589041,0.2239771409759036,0.16891175266480493,-0.068504231898245,none,0.1643946428571491,"[0, 1, 0, 0]",Flop,6,0,0,20,2,0.0,-0.248
4,2,1,0,1,3,0,2,0,3,1,408,fold,0.75,0,0,0,201,322,2,QH QC TH,0,0,0,3,2,12,12,10,2,12,0,9,0,0,0,0,4,2,6,0,2960,161,0.17905879020690918,False,0,6,20180801095344361,Late,1,12,10,2C 4H,michael4,161,161,5759,2709,any_raised,fold,SB,B,80,240,0.07271241830065359,0.21138985573911148,0.1371090566959134,-0.09168222455649552,check/call,0.1643946428571491,"[1, 0, 0, 0]",Flop,6,1,0,20,2,0.22268326417704012,-0.248
