N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tight,tightness
5,4,3,0,0,5,0,3,0,5,0,60000.0,check,0.75,0,10,90,1,,,,,,,,,,,,0,9,0,1,0,0,6,4,10,0,2990,10,0.19531869888305664,False,10,5,20180801173253447,Early,0,6,4,4D 6C,michael4,20,10,2980,2980,any_called,trash,SB,B,0,0,0.16008042328040964,0.3666806258350372,0.22828301968572656,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,85,0.0,True,-0.186
5,0,0,0,0,4,0,0,0,4,0,57,bet,0.75,168,0,0,1,6H 5S 6S,0,2,6,0,2,6,6,5,2,6,0,9,0,1,0,0,6,4,10,0,2980,0,0.2724738121032715,True,0,5,20180801173253447,Early,3,6,5,4D 6C,michael4,0,20,2980,2980,none,ml_raise,SB,B,20,100,0.8157894736842105,0.3702959810386918,0.9119281085773354,0.6557090504038009,none,0.16008042328040964,"[0, 0, 1, 168]",Flop,1,0,0,10,85,0.0,True,-0.248
5,2,1,1,0,5,0,1,1,4,0,60000.0,bet,0.75,485,0,50,1,,,,,,,,,,,,1,6,0,0,0,0,14,6,20,1,3080,20,0.20862722396850586,False,0,5,20180801173253447,Early,0,14,6,6D AD,michael4,20,20,2970,2960,any_called,ml_raise,D,L,0,0,0.2743005291004218,0.446161124298891,0.3572864982200155,0,none,,"[0, 0, 1, 485]",Deal,2,0,0,10,85,0.2857142857142857,True,-0.186
5,3,3,1,1,5,0,3,1,4,2,60000.0,fold,0.75,0,485,3395,1,,,,,,,,,,,,1,6,0,0,0,0,14,6,20,1,2595,485,0.2454218864440918,False,0,5,20180801173253447,Early,0,14,6,6D AD,michael4,970,485,2010,2010,any_reraised,ml_fold,D,L,0,0,0.2743005291004218,0.446161124298891,0.3572864982200155,0,bet/raise/allin,,"[1, 0, 0, 0]",Deal,2,0,1,10,85,0.125,True,-0.186
5,2,1,0,0,5,0,1,0,5,0,60000.0,check,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,9,3,12,1,2595,20,0.20486807823181152,False,0,5,20180801173253447,Early,0,9,3,3S 9S,michael4,20,20,5455,1950,any_called,trash,2,E,0,0,0.18388042328038767,0.3873866456327749,0.2559343393680838,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,85,0.2857142857142857,True,-0.186
5,1,0,0,0,5,0,0,0,5,0,60000.0,check,0.75,0,0,30,1,,,,,,,,,,,,0,8,1,0,0,0,8,7,15,0,2655,20,0.21012091636657715,False,0,5,20180801173253447,Early,0,8,7,8H 7C,michael4,20,20,5445,1940,none,trash,1,E,0,0,0.20041005291000574,0.4003072115296131,0.27406657983145455,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,85,0.4,True,-0.184
5,1,0,0,1,3,0,0,0,3,1,348,check,0.75,0,0,20,1,9C 8D 9S,0,2,9,0,2,9,9,8,1,9,0,8,1,0,0,0,8,7,15,0,2635,20,0.30075597763061523,False,0,5,20180801173253447,Early,2,9,8,8H 7C,michael4,20,20,5425,2920,any_raised,ml_fold,1,E,20,70,0.4985632183908046,0.4757005771563487,0.6225627064330823,0.29815316548079884,none,0.20041005291000574,"[0, 1, 0, 0]",Flop,4,0,0,10,85,0.18181818181818182,True,-0.248
5,1,0,0,1,3,0,0,0,3,1,340,check,0.75,0,0,20,1,9C 8D 9S 5H,0,2,9,0,2,9,9,5,1,9,0,8,1,0,0,0,8,7,15,0,2615,20,0.3180396556854248,False,0,5,20180801173253447,Early,2,9,8,8H 7C,michael4,20,20,5405,2900,any_raised,ml_call,1,E,40,130,0.5441176470588235,0.4845805806058947,0.6906032701793234,0.0455544286680189,none,0.4985632183908046,"[0, 1, 0, 0]",Turn,4,0,0,10,85,0.11764705882352941,True,-0.29411840800000005
5,1,0,0,1,3,0,0,0,3,1,340,check,0.75,0,0,20,1,9C 8D 9S 5H JD,0,2,9,1,2,9,11,5,2,11,0,8,1,0,0,0,8,7,15,0,2595,20,0.32990312576293945,False,0,5,20180801173253447,Early,2,9,8,8H 7C,michael4,20,20,5385,2880,any_raised,ml_call,1,E,60,190,0.38676470588235295,0.4755505823793975,0.5529122997312532,-0.15735294117647053,none,0.5441176470588235,"[0, 1, 0, 0]",River,4,0,0,10,85,0.08695652173913043,True,-0.3411591841599999
5,4,3,1,0,5,0,3,1,4,0,60000.0,check,0.75,0,20,80,1,,,,,,,,,,,,0,9,0,1,0,0,10,8,18,0,2680,0,0.19443988800048828,False,20,5,20180801173253447,Early,0,10,8,8C TS,michael4,20,0,5470,1920,any_called,trash,BB,B,0,0,0.2208716931216271,0.4148341696379565,0.2963715119957352,0,none,,"[0, 1, 0, 0]",Deal,5,0,0,10,85,-0.25,True,-0.182
