tableNumber,game_id,round_id,smallBlind,roundName,playerName,isHuman,isOnline,chips,reloadCount,position,cards,board,roundBet,bet,action,amount
130,20180801175403289,1,10,Deal,0c74a13d636a49338f8f5fdfb9efbeb6,False,True,3000,0,1,,,0,0,fold,0
130,20180801175403289,1,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2980,0,2,6S TC,,0,20,call,20
130,20180801175403289,1,10,Deal,3cf643579c62a496854f7c2a674b4a5a,False,True,2640,0,3,,,0,360,bet,360
130,20180801175403289,1,10,Deal,f74a71042edca15300ce83d4cfc36193,False,True,2280,0,4,,,0,720,raise,720
130,20180801175403289,1,10,Deal,0b71ee9d8b21b7ba5740db9c31423d0c,False,True,3000,0,5,,,0,0,fold,0
130,20180801175403289,1,10,Deal,811adad9abf3310457c50177e1cdcacf,False,True,2280,0,6,,,0,720,call,720
130,20180801175403289,1,10,Deal,dd36f9505732dd364069961a31a25926,False,True,3000,0,D,,,0,0,fold,0
130,20180801175403289,1,10,Deal,03b27bc62e67eabd2148100835a0b085,False,True,2280,0,SB,,,0,720,call,710
130,20180801175403289,1,10,Deal,5f927bdc2bcc83a2454e9a3c24ddcf52,False,False,2980,0,BB,,,0,20,fold,0
130,20180801175403289,1,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2980,0,2,6S TC,,0,20,fold,0
130,20180801175403289,1,10,Deal,3cf643579c62a496854f7c2a674b4a5a,False,True,2280,0,3,,,0,720,call,360
130,20180801175403289,1,10,Flop,03b27bc62e67eabd2148100835a0b085,False,True,2260,0,SB,,8S 3D QH,720,20,bet,20
130,20180801175403289,1,10,Flop,3cf643579c62a496854f7c2a674b4a5a,False,True,1920,0,3,,8S 3D QH,720,360,bet,360
130,20180801175403289,1,10,Flop,f74a71042edca15300ce83d4cfc36193,False,True,1560,0,4,,8S 3D QH,720,720,raise,720
130,20180801175403289,1,10,Flop,811adad9abf3310457c50177e1cdcacf,False,True,2280,0,6,,8S 3D QH,720,0,fold,0
130,20180801175403289,1,10,Flop,03b27bc62e67eabd2148100835a0b085,False,True,840,0,SB,,8S 3D QH,720,1440,raise,1420
130,20180801175403289,1,10,Flop,3cf643579c62a496854f7c2a674b4a5a,False,True,840,0,3,,8S 3D QH,720,1440,call,1080
130,20180801175403289,1,10,Flop,f74a71042edca15300ce83d4cfc36193,False,True,0,0,4,,8S 3D QH,720,2280,allin,1560
130,20180801175403289,1,10,Flop,03b27bc62e67eabd2148100835a0b085,False,True,0,0,SB,,8S 3D QH,720,2280,allin,840
130,20180801175403289,1,10,Flop,3cf643579c62a496854f7c2a674b4a5a,False,True,0,0,3,,8S 3D QH,720,2280,allin,840
130,20180801175403289,2,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2960,0,1,TD KC,,0,20,call,20
130,20180801175403289,2,10,Deal,3cf643579c62a496854f7c2a674b4a5a,False,True,9740,0,2,,,0,20,call,20
130,20180801175403289,2,10,Deal,0b71ee9d8b21b7ba5740db9c31423d0c,False,True,3000,0,3,,,0,0,fold,0
130,20180801175403289,2,10,Deal,811adad9abf3310457c50177e1cdcacf,False,False,2280,0,4,,,0,0,fold,0
130,20180801175403289,2,10,Deal,dd36f9505732dd364069961a31a25926,False,True,2980,0,D,,,0,20,call,20
130,20180801175403289,2,10,Deal,5f927bdc2bcc83a2454e9a3c24ddcf52,False,False,2970,0,SB,,,0,10,fold,0
130,20180801175403289,2,10,Deal,0c74a13d636a49338f8f5fdfb9efbeb6,False,True,2980,0,BB,,,0,20,fold,0
130,20180801175403289,2,10,Flop,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2960,0,1,TD KC,7S 2D 6D,20,0,check,0
130,20180801175403289,2,10,Flop,3cf643579c62a496854f7c2a674b4a5a,False,True,9740,0,2,,7S 2D 6D,20,0,fold,0
130,20180801175403289,2,10,Flop,dd36f9505732dd364069961a31a25926,False,True,2980,0,D,,7S 2D 6D,20,0,fold,0
130,20180801175403289,3,10,Deal,3cf643579c62a496854f7c2a674b4a5a,False,True,9620,0,1,,,0,120,bet,120
130,20180801175403289,3,10,Deal,0b71ee9d8b21b7ba5740db9c31423d0c,False,True,3000,0,2,,,0,0,fold,0
130,20180801175403289,3,10,Deal,811adad9abf3310457c50177e1cdcacf,False,True,2280,0,3,,,0,0,fold,0
130,20180801175403289,3,10,Deal,dd36f9505732dd364069961a31a25926,False,False,2980,0,4,,,0,0,fold,0
130,20180801175403289,3,10,Deal,5f927bdc2bcc83a2454e9a3c24ddcf52,False,True,2850,0,D,,,0,120,call,120
130,20180801175403289,3,10,Deal,0c74a13d636a49338f8f5fdfb9efbeb6,False,True,2970,0,SB,,,0,10,fold,0
130,20180801175403289,3,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,0,0,BB,AH AC,,0,3050,allin,3030
130,20180801175403289,3,10,Deal,3cf643579c62a496854f7c2a674b4a5a,False,True,6690,0,1,,,0,3050,call,2930
130,20180801175403289,3,10,Deal,5f927bdc2bcc83a2454e9a3c24ddcf52,False,True,0,0,D,,,0,2970,allin,2850
130,20180801175403289,4,10,Deal,0b71ee9d8b21b7ba5740db9c31423d0c,False,True,3000,0,1,,,0,0,fold,0
130,20180801175403289,4,10,Deal,811adad9abf3310457c50177e1cdcacf,False,False,2280,0,2,,,0,0,fold,0
