tableNumber,game_id,smallBlind,playerName,chips
3,20180801120012282,10,7fe8f267da8da89cb20bb6c9a7050ef0,0
3,20180801120012282,10,57ef74140d017ee6681147dbbb83e93a,0
3,20180801120012282,10,5f927bdc2bcc83a2454e9a3c24ddcf52,2960
3,20180801120012282,10,f725e061dbaeaf73275b003263061eb1,0
3,20180801120012282,10,e78995316b7a8f284d6b1f2a9246a27a,0
3,20180801120012282,10,33ab1cf4367bea294d32cc233bb56c01,0
3,20180801120012282,10,468af5123e2c2930d0de77a939c84623,2900
3,20180801120012282,10,ea8bb19d0db6e3db8ef698b71fa02c00,18210
3,20180801120012282,10,4464d2dd66c22f20342beab10c70027e,2930
19,20180801120248559,320,31e0772930f05ffb99f8d1bcd8c76c01,0
19,20180801120248559,320,468af5123e2c2930d0de77a939c84623,3040
19,20180801120248559,320,e78995316b7a8f284d6b1f2a9246a27a,0
19,20180801120248559,320,f725e061dbaeaf73275b003263061eb1,0
19,20180801120248559,320,ea8bb19d0db6e3db8ef698b71fa02c00,14160
19,20180801120248559,320,5b07523716145ee82a63c6dddfcc67de,800
