N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tight,tightness
8,1,0,0,0,8,0,0,0,8,0,60000.0,check,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,11,7,18,1,3000,20,0.21757102012634277,False,0,8,20180801124012207,Early,0,11,7,7H JH,michael4,20,20,3000,2980,none,trash,1,E,0,0,0.1585879629629631,0.3652914192343162,0.34707833528787024,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,100,0.4,True,-0.516
8,3,2,3,2,8,0,3,3,5,2,60000.0,fold,0.75,0,20,300,1,,,,,,,,,,,,0,9,0,0,0,0,11,7,18,1,2980,60,0.21288394927978516,False,0,8,20180801124012207,Early,0,11,7,7H JH,michael4,80,60,2960,2920,any_raised,trash,1,E,0,0,0.1585879629629631,0.3652914192343162,0.34707833528787024,0,check/call,,"[1, 0, 0, 0]",Deal,1,1,0,10,100,0.16666666666666666,True,-0.516
7,1,1,4,1,7,1,1,4,3,1,60000.0,fold,0.75,0,20,3030,1,,,,,,,,,,,,1,7,0,0,0,0,14,8,22,0,2960,2960,0.21935677528381348,False,20,8,20180801124012207,Early,0,14,8,8D AS,michael4,6220,6200,2980,0,any_raised,ml_fold,BB,B,0,0,0.17849365079364948,0.38292775744258106,0.3339623203153374,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,100,0.49081803005008345,True,-0.406
7,3,3,1,1,7,0,3,1,6,1,60000.0,fold,0.75,0,10,170,1,,,,,,,,,,,,0,9,0,0,0,0,12,6,18,0,2950,30,0.2605578899383545,False,10,8,20180801124012207,Early,0,12,6,QD 6C,michael4,40,30,6230,2850,any_raised,trash,SB,B,0,0,0.136955952380915,0.3438008427685301,0.27653909454493825,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,100,0.1,True,-0.406
7,1,0,3,1,7,1,0,3,4,1,60000.0,fold,0.75,0,0,2980,1,,,,,,,,,,,,0,9,0,0,0,0,12,2,14,0,2950,2950,0.23474407196044922,False,0,8,20180801124012207,Early,0,12,2,QC 2S,michael4,3270,3270,2980,0,any_raised,trash,D,L,0,0,0.1183180555555272,0.3229843545515578,0.2500956722125628,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,100,0.4974704890387858,True,-0.40800000000000003
7,1,0,2,1,7,1,0,2,5,1,60000.0,fold,0.75,0,0,2980,1,,,,,,,,,,,,1,7,0,0,0,0,14,5,19,0,2950,2950,0.20903921127319336,False,0,8,20180801124012207,Early,0,14,5,5H AS,michael4,3300,3300,6490,0,any_raised,ml_fold,4,L,0,0,0.17082162698411973,0.3763530240859212,0.3251263668593474,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,100,0.4974704890387858,True,-0.41000000000000003
6,3,2,0,0,6,0,2,0,6,0,60000.0,check,0.75,0,0,70,1,,,,,,,,,,,,0,8,1,0,0,0,10,9,19,0,2950,20,0.21892499923706055,False,0,8,20180801124012207,Early,0,10,9,9D TC,michael4,20,20,6480,2630,any_called,ml_fold,3,L,0,0,0.2047022486772379,0.4034838758410554,0.32655437918123664,0,none,,"[0, 1, 0, 0]",Deal,6,0,0,10,100,0.2222222222222222,True,-0.30200000000000005
6,3,5,1,1,6,0,6,1,5,1,60000.0,check,0.75,0,20,160,1,,,,,,,,,,,,0,8,1,0,0,0,10,9,19,0,2930,20,0.21152114868164062,False,0,8,20180801124012207,Early,0,10,9,9D TC,michael4,40,20,6470,2610,any_raised,ml_fold,3,L,0,0,0.2047022486772379,0.4034838758410554,0.32655437918123664,0,check/call,,"[0, 1, 0, 0]",Deal,6,1,0,10,100,0.1111111111111111,True,-0.30200000000000005
6,2,0,2,2,5,2,0,2,3,2,353,fold,0.75,0,0,5520,1,4S 7C JD,0,0,0,1,1,11,11,4,1,7,0,8,1,0,0,0,10,9,19,0,2910,2910,0.2675180435180664,False,0,8,20180801124012207,Early,0,11,10,9D TC,michael4,6240,6240,0,0,any_raised,fold,3,L,40,200,0.24362606232294617,0.4292696170007401,0.3500849273391297,0.038923813645708266,none,0.2047022486772379,"[1, 0, 0, 0]",Flop,6,0,0,10,100,0.33719582850521435,True,-0.248
5,1,0,0,0,5,0,0,0,5,0,60000.0,bet,0.75,1044,0,30,1,,,,,,,,,,,,1,7,0,0,0,0,14,9,23,0,2910,20,0.23781299591064453,False,0,8,20180801124012207,Late,0,14,9,AS 9C,michael4,20,20,9040,2600,none,ml_raise,1,E,0,0,0.2631670634919482,0.4403523137045757,0.34859541235063585,0,none,,"[0, 0, 1, 1044]",Deal,7,0,0,10,100,0.4,False,-0.194
