N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tight,tightness
9,1,0,2,0,9,0,0,2,7,0,60000.0,check,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,12,2,14,0,3000,20,0.23170781135559082,False,0,9,20180801183526184,Early,0,12,2,2S QC,michael4,20,20,3000,2980,all_folded,trash,3,M,0,0,0.08966666666667689,0.28570361488011303,0.23480410302577429,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,236,0.4,True,-0.5079999999999999
9,1,2,5,1,9,0,3,5,4,1,60000.0,check,0.75,0,20,110,1,,,,,,,,,,,,0,9,0,0,0,0,12,2,14,0,2980,20,0.21764564514160156,False,0,9,20180801183526184,Early,0,12,2,2S QC,michael4,40,20,2980,2960,any_raised,trash,3,M,0,0,0.08966666666667689,0.28570361488011303,0.23480410302577429,0,check/call,,"[0, 1, 0, 0]",Deal,1,1,0,10,236,0.15384615384615385,True,-0.5079999999999999
9,1,0,0,1,4,0,0,0,4,1,375,check,0.75,0,0,20,1,AC 9D KC,1,2,14,2,1,14,14,9,2,14,0,9,0,0,0,0,12,2,14,0,2960,20,0.3421661853790283,False,0,9,20180801183526184,Early,0,14,13,2S QC,michael4,20,20,2960,2940,any_raised,ml_fold,3,M,40,170,0.182,0.36520679073642653,0.34636976904528405,0.09233333333332311,none,0.08966666666667689,"[0, 1, 0, 0]",Flop,1,0,0,10,236,0.09523809523809523,True,-0.42600000000000016
9,1,0,0,1,4,0,0,0,2,1,350,fold,0.75,0,0,20,1,AC 9D KC 5H,1,2,14,2,1,14,14,5,2,14,0,9,0,0,0,0,12,2,14,0,2940,20,0.2815077304840088,False,0,9,20180801183526184,Early,0,14,13,2S QC,michael4,20,20,2920,2920,any_raised,ml_fold,3,M,60,210,0.10571428571428572,0.28993548426160876,0.23767637856321044,-0.07628571428571428,none,0.182,"[1, 0, 0, 0]",Turn,1,0,0,10,236,0.08,True,-0.4291846770143676
9,1,0,1,0,9,0,0,1,8,0,60000.0,check,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,13,5,18,1,2940,20,0.23109984397888184,False,0,9,20180801183526184,Early,0,13,5,KC 5C,michael4,20,20,3140,2960,all_folded,trash,2,E,0,0,0.15527407407409066,0.3621657576228383,0.3385299474312468,0,none,,"[0, 1, 0, 0]",Deal,2,0,0,10,236,0.4,True,-0.5059999999999999
9,2,3,3,2,9,0,4,3,6,2,60000.0,fold,0.75,0,20,1755,1,,,,,,,,,,,,0,9,0,0,0,0,13,5,18,1,2920,658,0.2122640609741211,False,0,9,20180801183526184,Early,0,13,5,KC 5C,michael4,678,658,2980,2322,any_raised,trash,2,E,0,0,0.15527407407409066,0.3621657576228383,0.3385299474312468,0,check/call,,"[1, 0, 0, 0]",Deal,2,1,0,10,236,0.27268959801077497,True,-0.5059999999999999
8,1,3,3,1,8,0,3,3,5,1,60000.0,check,0.75,0,20,130,1,,,,,,,,,,,,0,9,1,0,0,0,5,4,9,0,2900,20,0.23306798934936523,False,20,9,20180801183526184,Early,0,5,4,5C 4D,michael4,40,20,2940,110,any_raised,trash,BB,B,0,0,0.1124055555555554,0.3158647600410694,0.2368562710117367,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,236,0.0,True,-0.3939999999999999
8,0,0,0,0,5,0,0,0,5,0,88,check,0.75,0,0,0,1,9S 8S JH,0,2,9,1,1,11,11,8,2,9,0,9,1,0,0,0,5,4,9,0,2880,0,0.26584410667419434,True,0,9,20180801183526184,Early,0,11,9,5C 4D,michael4,0,20,2920,110,none,ml_fold,BB,B,40,210,0.011363636363636364,0.10599294378510017,0.056940602191229456,-0.10104191919191903,none,0.1124055555555554,"[0, 1, 0, 0]",Flop,3,0,0,10,236,0.0,True,-0.43000000000000016
8,2,0,1,3,5,1,1,1,4,3,420,fold,0.75,0,0,1190,1,9S 8S JH,0,2,9,1,1,11,11,8,2,9,0,9,1,0,0,0,5,4,9,0,2880,720,0.2619919776916504,False,0,9,20180801183526184,Early,0,11,9,5C 4D,michael4,720,720,2560,0,any_raised,fold,BB,B,40,210,0.032857142857142856,0.16837155220474967,0.10951005658958668,-0.07954841269841254,check/call,0.1124055555555554,"[1, 0, 0, 0]",Flop,3,1,0,10,236,0.33962264150943394,True,-0.43000000000000016
6,2,1,3,0,6,0,1,3,3,0,60000.0,check,0.75,0,10,50,1,,,,,,,,,,,,0,8,1,0,0,0,7,6,13,0,2870,10,0.24678683280944824,False,10,9,20180801183526184,Early,0,7,6,6H 7C,michael4,20,10,5462,2262,any_called,trash,SB,B,0,0,0.1558227513227553,0.3626872226767329,0.21820495362315334,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,236,0.0,True,-0.1719999999999999
6,2,2,3,1,6,0,3,3,3,1,60000.0,fold,0.75,0,20,780,1,,,,,,,,,,,,0,8,1,0,0,0,7,6,13,0,2860,360,0.23004412651062012,False,0,9,20180801183526184,Early,0,7,6,6H 7C,michael4,380,360,5102,1902,any_raised,trash,SB,B,0,0,0.1558227513227553,0.3626872226767329,0.21820495362315334,0,check/call,,"[1, 0, 0, 0]",Deal,4,1,0,10,236,0.3157894736842105,True,-0.1719999999999999
6,1,0,3,0,6,0,0,3,3,0,60000.0,check,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,6,3,9,0,2860,20,0.22112727165222168,False,0,9,20180801183526184,Early,0,6,3,6S 3D,michael4,20,20,5872,1882,all_folded,trash,D,L,0,0,0.11995714285715077,0.32491141367255766,0.17519208318148555,0,none,,"[0, 1, 0, 0]",Deal,5,0,0,10,236,0.4,True,-0.1699999999999999
6,0,1,0,0,2,0,1,0,2,0,337,check,0.75,0,0,0,1,KC 4H 7D,0,0,0,1,1,13,13,4,1,13,0,9,0,0,0,0,6,3,9,0,2840,0,0.2967560291290283,True,0,9,20180801183526184,Early,0,13,7,6S 3D,michael4,0,20,1882,1882,any_called,ml_fold,D,L,20,50,0.24925816023738873,0.42740787453765205,0.4369994219716937,0.12930101738023797,none,0.11995714285715077,"[0, 1, 0, 0]",Flop,5,0,0,10,236,0.0,True,-0.43400000000000016
6,0,1,0,0,2,0,1,0,2,0,330,check,0.75,0,0,0,1,KC 4H 7D 2H,0,0,0,1,1,13,13,2,2,4,0,9,0,0,0,0,6,3,9,0,2840,0,0.3239419460296631,True,0,9,20180801183526184,Early,0,13,7,6S 3D,michael4,0,20,1882,1882,any_called,ml_call,D,L,20,50,0.16818181818181818,0.37097704368619466,0.3316085103830182,-0.08107634205557054,none,0.24925816023738873,"[0, 1, 0, 0]",Turn,5,0,0,10,236,0.0,True,-0.4369374446779365
6,0,1,0,0,2,0,1,0,2,0,345,check,0.75,0,0,0,1,KC 4H 7D 2H 9H,0,0,0,1,1,13,13,2,3,9,0,9,0,0,0,0,6,3,9,0,2840,0,0.28605198860168457,True,0,9,20180801183526184,Early,0,13,9,6S 3D,michael4,0,20,1882,1882,any_called,ml_call,D,L,20,50,0.030434782608695653,0.16533176818983952,0.10913318175572287,-0.13774703557312254,none,0.16818181818181818,"[0, 1, 0, 0]",River,5,0,0,10,236,0.0,True,-0.45813374570542575
6,1,0,1,1,6,0,0,1,5,1,60000.0,fold,0.75,0,0,2050,1,,,,,,,,,,,,0,9,0,0,0,0,12,5,17,0,2840,2020,0.22023606300354004,False,0,9,20180801183526184,Early,0,12,5,5S QH,michael4,2020,2020,10356,970,any_raised,trash,3,L,0,0,0.15817341269841445,0.36490352726953945,0.21947720527969705,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,236,0.4963144963144963,True,-0.1679999999999999
5,1,0,0,0,5,0,0,0,5,0,60000.0,check,0.75,0,0,30,1,,,,,,,,,,,,0,3,0,0,1,0,13,12,25,1,2840,20,0.24259400367736816,False,0,9,20180801183526184,Late,0,13,12,KC QC,michael4,20,20,10346,1922,none,ml_fold,1,E,0,0,0.33503862433845866,0.4720039666569041,0.36335886233787285,0,none,,"[0, 1, 0, 0]",Deal,7,0,0,10,236,0.4,False,-0.05999999999999989
5,1,0,2,2,5,0,1,2,3,2,60000.0,fold,0.75,0,20,1161,1,,,,,,,,,,,,0,3,0,0,1,0,13,12,25,1,2820,741,0.25450801849365234,False,0,9,20180801183526184,Late,0,13,12,KC QC,michael4,761,741,9595,8532,any_raised,ml_fold,1,E,0,0,0.33503862433845866,0.4720039666569041,0.36335886233787285,0,check/call,,"[1, 0, 0, 0]",Deal,7,1,0,10,236,0.38958990536277605,False,-0.05999999999999989
5,1,2,1,1,5,0,2,1,4,1,60000.0,bet,0.75,886,40,200,2,,,,,,,,,,,,0,8,0,0,0,0,13,9,22,0,2780,40,0.2429187297821045,False,40,9,20180801183526184,Late,0,13,9,KD 9S,michael4,80,40,7491,1882,any_raised,ml_raise,BB,B,0,0,0.2510359788358793,0.4336091744483634,0.27791974765167776,0,none,,"[0, 0, 1, 886]",Deal,8,0,0,20,236,0.0,False,-0.06199999999999989
5,1,2,3,2,5,0,2,3,2,3,60000.0,fold,0.75,0,926,2858,2,,,,,,,,,,,,0,8,0,0,0,0,13,9,22,0,1894,926,0.2167360782623291,False,0,9,20180801183526184,Late,0,13,9,KD 9S,michael4,1852,926,1118,1118,any_reraised,ml_fold,BB,B,0,0,0.2510359788358793,0.4336091744483634,0.27791974765167776,0,bet/raise/allin,,"[1, 0, 0, 0]",Deal,8,0,1,20,236,0.24471458773784355,False,-0.06199999999999989
5,3,2,1,0,5,0,2,1,4,0,60000.0,check,0.75,0,20,140,2,,,,,,,,,,,,1,7,0,0,0,0,14,5,19,0,1874,20,0.2277839183807373,False,20,9,20180801183526184,Late,0,14,5,5D AH,michael4,40,20,11717,1842,any_called,ml_fold,SB,B,0,0,0.24007050264540866,0.4271260427613721,0.2674065693821364,0,none,,"[0, 1, 0, 0]",Deal,9,0,0,20,236,0.0,False,-0.06399999999999989
5,1,2,3,1,5,0,3,3,2,1,60000.0,fold,0.75,0,40,520,2,,,,,,,,,,,,1,7,0,0,0,0,14,5,19,0,1854,360,0.22242307662963867,False,0,9,20180801183526184,Late,0,14,5,5D AH,michael4,400,360,7091,7091,any_raised,ml_fold,SB,B,0,0,0.24007050264540866,0.4271260427613721,0.2674065693821364,0,check/call,,"[1, 0, 0, 0]",Deal,9,1,0,20,236,0.4090909090909091,False,-0.06399999999999989
5,1,0,2,0,5,0,0,2,3,0,60000.0,check,0.75,0,0,60,2,,,,,,,,,,,,0,9,0,0,0,0,12,7,19,0,1854,40,0.3156139850616455,False,0,9,20180801183526184,Late,0,12,7,QH 7C,michael4,40,40,7591,1802,all_folded,trash,D,L,0,0,0.2022005291004691,0.4016409779043461,0.22870883364215588,0,none,,"[0, 1, 0, 0]",Deal,10,0,0,20,236,0.4,False,-0.06599999999999989
