tableNumber,game_id,smallBlind,playerName,chips
777,20180725163915958,160,f65a0b0601a889568e0ac14b815b06e8,0
777,20180725163915958,160,743c013fba52150b5aadc0e9a91566d8,15000
777,20180725163915958,160,5be72526eb62bf69304d3f5d7776a74d,0
777,20180725163915958,160,2f151220475fdabb24a339d05e5c2666,0
777,20180725163915958,160,f6ab57f4b3ca3739ad29da1cf4f26452,0
788,20180725164948320,40,743c013fba52150b5aadc0e9a91566d8,0
788,20180725164948320,40,5be72526eb62bf69304d3f5d7776a74d,16180
788,20180725164948320,40,8ad6657751f02301029f8a7499e1cd50,540
788,20180725164948320,40,f6ab57f4b3ca3739ad29da1cf4f26452,0
788,20180725164948320,40,2f151220475fdabb24a339d05e5c2666,0
788,20180725164948320,40,43f5dad8f3c295b514df1e0d243a4be1,1280
801,20180725170006920,40,743c013fba52150b5aadc0e9a91566d8,0
801,20180725170006920,40,5be72526eb62bf69304d3f5d7776a74d,0
801,20180725170006920,40,2f151220475fdabb24a339d05e5c2666,1240
801,20180725170006920,40,d217d420e818c77100367d2ea49f95c1,15916
801,20180725170006920,40,f6ab57f4b3ca3739ad29da1cf4f26452,0
801,20180725170006920,40,43f5dad8f3c295b514df1e0d243a4be1,844
807,20180725170737818,40,85da4a5408201aeff9565102ca6a7dbd,4776
807,20180725170737818,40,99d3dc696528e9ff0dfb48b1cbb20d6d,2090
807,20180725170737818,40,ee53d4213c897ad632bb8d824762f918,532
807,20180725170737818,40,743c013fba52150b5aadc0e9a91566d8,3611
807,20180725170737818,40,5be72526eb62bf69304d3f5d7776a74d,0
807,20180725170737818,40,099d7d04319e5191b7473e016c55e320,2740
807,20180725170737818,40,d217d420e818c77100367d2ea49f95c1,6380
807,20180725170737818,40,2f151220475fdabb24a339d05e5c2666,400
807,20180725170737818,40,f6ab57f4b3ca3739ad29da1cf4f26452,0
807,20180725170737818,40,2880040f284779e124e9a88117be1e7c,9471
