N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tight,tightness
5,1,0,0,0,5,0,0,0,5,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,0,7,0,0,1,0,13,10,23,0,3000,20,0.15162372589111328,False,0,5,20180806120201421,Early,1,13,0,13,10,1,13,KH TS,michael5,20,20,3000,2992.5,2980,none,,1,E,0,0,0.2800017195765992,,0.448999728965115,0.3635156691641106,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",17,,,-0.186
5,3,2,1,1,5,0,2,1,4,1,60000.0,fold,0.75,0,20,150,1,,,,,,,,,,,,0,9,0,0,0,0,4,3,7,0,2980,20,0.13979482650756836,False,20,5,20180806120201421,Early,1,4,0,4,3,1,4,3H 4S,michael5,40,20,3120,2966.6666666666665,2820,any_raised,,BB,B,0,0,0.14121005291005528,,0.3482380993906248,0.2059823393967115,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",17,,,-0.186
5,3,2,1,0,5,0,2,1,4,0,60000.0,check,0.75,0,10,70,1,,,,,,,,,,,,0,9,0,0,0,0,11,3,14,0,2970,10,0.2006540298461914,False,10,5,20180806120201421,Early,1,11,0,11,3,1,11,JH 3C,michael5,20,10,3150,2996.6666666666665,2840,any_called,,SB,B,0,0,0.1644267195766948,,0.3706623442783766,0.23336991561247283,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",17,,,-0.186
5,3,4,1,1,5,0,5,1,4,1,60000.0,fold,0.75,0,20,140,1,,,,,,,,,,,,0,9,0,0,0,0,11,3,14,0,2960,20,0.13322997093200684,False,0,5,20180806120201421,Early,1,11,0,11,3,1,11,JH 3C,michael5,40,20,3130,2976.6666666666665,2820,any_raised,,SB,B,0,0,0.1644267195766948,,0.3706623442783766,0.23336991561247283,0,check/call,,"[1, 0, 0, 0]",Deal,3,1,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",17,,,-0.186
5,1,0,2,0,5,0,0,2,3,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,0,7,0,1,1,0,12,10,22,0,2960,20,0.14907121658325195,False,0,5,20180806120201421,Early,1,12,0,12,10,1,12,TS QC,michael5,20,20,2960,2955.0,2950,all_folded,,D,L,0,0,0.2717892857141831,,0.4448818605935257,0.3554270755057659,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,"('fold', 0)","('fold', 0)","('raise', 80)","('fold', 0)",17,,,-0.188
5,2,1,0,0,5,0,1,0,5,0,60000.0,fold,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,8,2,10,0,2960,20,0.14168500900268555,False,0,5,20180806120201421,Early,1,8,0,8,2,1,8,8C 2S,michael5,20,20,3110,2997.5,2940,any_called,,2,E,0,0,0.12880780423281013,,0.3349870949776009,0.19245535227855431,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",17,,,-0.19
5,1,0,0,0,5,0,0,0,5,0,60000.0,fold,0.75,0,0,60,2,,,,,,,,,,,,0,9,0,1,0,0,8,6,14,0,2960,40,0.15351009368896484,False,0,5,20180806120201421,Early,1,8,0,8,6,1,8,8H 6D,michael5,40,40,3090,2995.0,2890,none,,1,E,0,0,0.18349338624335074,,0.3870704889917329,0.2578109201297635,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,20,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",17,,,-0.192
5,4,3,1,0,5,0,3,1,4,0,60000.0,check,0.75,0,40,180,2,,,,,,,,,,,,0,9,0,0,0,0,12,5,17,1,2920,0,0.1349201202392578,False,40,5,20180806120201421,Early,1,12,0,12,5,2,12,5H QH,michael5,40,0,3080,3023.3333333333335,2940,any_called,,BB,B,0,0,0.2311527777777042,,0.42156988875316453,0.31293733619581815,0,none,,"[0, 1, 0, 0]",Deal,7,0,0,20,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",17,,,-0.194
5,0,0,0,0,4,0,0,0,4,0,66,check,0.75,0,0,0,2,5C 6C 4D,0,3,6,0,1,6,6,4,2,6,0,9,0,0,0,0,12,5,17,1,2920,0,0.31167006492614746,True,0,5,20180806120201421,Early,0,0,1,5,12,2,6,5H QH,michael5,0,40,3080,3023.3333333333335,2940,none,fold/check,BB,B,40,180,0.11363636363636363,0.35717043010309263,0.2892709559399512,0.19234389842851585,-0.11751641414134058,none,0.2311527777777042,"[0, 1, 0, 0]",Flop,7,0,0,20,,,,,17,0.0,True,-0.248
5,1,0,2,1,4,0,1,2,2,1,415,fold,0.75,0,0,40,2,5C 6C 4D,0,3,6,0,1,6,6,4,2,6,0,9,0,0,0,0,12,5,17,1,2920,40,0.24702095985412598,False,0,5,20180806120201421,Early,0,0,1,5,12,2,6,5H QH,michael5,40,40,3040,3040.0,3040,any_raised,fold/check,BB,B,40,180,0.15542168674698795,0.5473182300155984,0.3585455935612863,0.24527362553709003,-0.07573109103071626,check/call,0.2311527777777042,"[1, 0, 0, 0]",Flop,7,1,0,20,,,,,17,0.15384615384615385,True,-0.248
