N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tight,tightness
10,6,5,1,0,10,0,5,1,9,0,60000.0,fold,0.75,0,0,130,1,,,,,,,,,,,,0,8,0,0,0,0,13,8,21,0,3000,20,0.16910982131958008,False,0,10,20180806182339099,Early,1,13,0,13,8,1,13,8H KC,michael5,20,20,3000,2983.75,2980,any_called,,7,L,0,0,0.09321749999999984,,0.29073699058384345,0.33976246801509913,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",202,,,-0.8480000000000001
10,3,2,3,0,10,0,2,3,7,0,60000.0,fold,0.75,0,0,70,1,,,,,,,,,,,,0,9,0,1,0,0,8,6,14,0,3000,20,0.17326593399047852,False,0,10,20180806182339099,Early,1,8,0,8,6,1,8,8H 6D,michael5,20,20,2990,2970.0,2960,any_called,,6,M,0,0,0.0823825000000001,,0.27494658334620214,0.3160870958442719,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",202,,,-0.8500000000000001
9,2,1,3,0,9,0,1,3,6,0,60000.0,fold,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,10,5,15,0,3000,20,0.17445111274719238,False,0,10,20180806182339099,Early,1,10,0,10,5,1,10,TC 5S,michael5,20,20,6010,3568.0,2940,any_called,,5,M,0,0,0.08895925925926843,,0.2846849301443803,0.3001954774263986,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",202,,,-0.7420000000000001
9,2,1,2,0,9,0,1,2,7,0,60000.0,fold,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,6,2,8,0,3000,20,0.16770505905151367,False,0,10,20180806182339099,Early,1,6,0,6,2,1,6,2C 6S,michael5,20,20,6000,3470.0,2920,any_called,,4,M,0,0,0.06884444444444952,,0.2531894289135797,0.25721737955615287,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",202,,,-0.7440000000000001
9,2,1,1,0,9,0,1,1,8,0,60000.0,fold,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,12,6,18,1,3000,20,0.1749708652496338,False,0,10,20180806182339099,Early,1,12,0,12,6,2,12,QH 6H,michael5,20,20,6120,3427.1428571428573,2880,any_called,,3,M,0,0,0.14570555555557124,,0.35281078021485335,0.4089023975958519,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",202,,,-0.7460000000000001
9,1,0,1,0,9,0,0,1,8,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,12,5,17,0,3000,20,0.17095494270324707,False,0,10,20180806182339099,Early,1,12,0,12,5,1,12,5D QS,michael5,20,20,6100,3430.0,2860,all_folded,,2,E,0,0,0.10314629629630828,,0.3041498608526107,0.3306503922140611,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",202,,,-0.7480000000000001
9,1,0,0,0,9,0,0,0,9,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,12,2,14,1,3000,20,0.1760098934173584,False,0,10,20180806182339099,Early,1,12,0,12,2,2,12,QD 2D,michael5,20,20,6150,3371.25,2840,none,,1,E,0,0,0.1326277777777909,,0.3391720070104781,0.3870067830356495,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",202,,,-0.7500000000000001
9,7,6,2,0,9,0,6,2,7,0,60000.0,check,0.75,0,20,150,1,,,,,,,,,,,,0,9,0,0,0,0,7,4,11,1,2980,0,0.16584086418151855,False,20,10,20180806182339099,Early,1,7,0,7,4,2,7,7C 4C,michael5,20,0,6085,3548.8333333333335,2755,any_called,,BB,B,0,0,0.1233833333333442,,0.32887670393157536,0.3706986146898889,0,none,,"[0, 1, 0, 0]",Deal,8,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",202,,,-0.7520000000000001
9,0,0,0,0,7,0,0,0,7,0,99,check,0.75,0,0,0,1,8D 2H 9D,0,2,9,0,1,9,9,2,2,9,0,9,0,0,0,0,7,4,11,1,2980,0,0.2778146266937256,True,0,10,20180806182339099,Early,2,9,0,9,8,2,7,7C 4C,michael5,0,20,6085,3548.8333333333335,2755,none,fold/check,BB,B,20,150,0.0,0.00816017316017316,0.0,0.0,-0.1233833333333442,none,0.1233833333333442,"[0, 1, 0, 0]",Flop,8,0,0,10,,,,,202,0.0,True,-0.266
9,3,2,3,1,7,0,3,3,4,1,449,fold,0.75,0,0,60,1,8D 2H 9D,0,2,9,0,1,9,9,2,2,9,0,9,0,0,0,0,7,4,11,1,2980,20,0.26952075958251953,False,0,10,20180806182339099,Early,2,9,0,9,8,2,7,7C 4C,michael5,20,20,3733,3117.6666666666665,2735,any_raised,fold/check,BB,B,20,150,0.0033407572383073497,0.010968614718614718,0.040733499238690164,0.018689663895485122,-0.12004257609503685,check/call,0.1233833333333442,"[1, 0, 0, 0]",Flop,8,1,0,10,,,,,202,0.08695652173913043,True,-0.266
