tableNumber,game_id,round_id,smallBlind,roundName,playerName,isHuman,isOnline,chips,reloadCount,position,cards,board,roundBet,bet,action,amount
274,20180806185441362,1,10,Deal,2667849fa0dab2def86d990c1d622b23,False,True,3000,0,1,,,0,0,fold,0
274,20180806185441362,1,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2980,0,2,KS TS,,0,20,call,20
274,20180806185441362,1,10,Deal,12960d717b4d0096eea6db552ef5a513,False,True,2980,0,3,,,0,20,call,20
274,20180806185441362,1,10,Deal,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2980,0,D,,,0,20,call,20
274,20180806185441362,1,10,Deal,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2980,0,SB,,,0,20,call,10
274,20180806185441362,1,10,Deal,2457b5121ed104049a3f89109143918d,False,True,2980,0,BB,,,0,20,call,0
274,20180806185441362,1,10,Flop,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2980,0,SB,,6D 7S 4S,20,0,check,0
274,20180806185441362,1,10,Flop,2457b5121ed104049a3f89109143918d,False,True,2980,0,BB,,6D 7S 4S,20,0,fold,0
274,20180806185441362,1,10,Flop,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2980,0,2,KS TS,6D 7S 4S,20,0,check,0
274,20180806185441362,1,10,Flop,12960d717b4d0096eea6db552ef5a513,False,True,2960,0,3,,6D 7S 4S,20,20,bet,20
274,20180806185441362,1,10,Flop,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2960,0,D,,6D 7S 4S,20,20,call,20
274,20180806185441362,1,10,Flop,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2960,0,SB,,6D 7S 4S,20,20,call,20
274,20180806185441362,1,10,Flop,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2980,0,2,KS TS,6D 7S 4S,20,0,fold,0
274,20180806185441362,1,10,Turn,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2749,0,SB,,6D 7S 4S 9S,40,211,bet,211
274,20180806185441362,1,10,Turn,12960d717b4d0096eea6db552ef5a513,False,True,2749,0,3,,6D 7S 4S 9S,40,211,call,211
274,20180806185441362,1,10,Turn,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2749,0,D,,6D 7S 4S 9S,40,211,call,211
274,20180806185441362,1,10,River,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2749,0,SB,,6D 7S 4S 9S TC,251,0,check,0
274,20180806185441362,1,10,River,12960d717b4d0096eea6db552ef5a513,False,True,2729,0,3,,6D 7S 4S 9S TC,251,20,bet,20
274,20180806185441362,1,10,River,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2729,0,D,,6D 7S 4S 9S TC,251,20,call,20
274,20180806185441362,1,10,River,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2749,0,SB,,6D 7S 4S 9S TC,251,0,fold,0
274,20180806185441362,2,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2980,0,1,4D 7D,,0,0,fold,0
274,20180806185441362,2,10,Deal,12960d717b4d0096eea6db552ef5a513,False,True,3562,0,2,,,0,0,fold,0
274,20180806185441362,2,10,Deal,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2709,0,3,,,0,20,call,20
274,20180806185441362,2,10,Deal,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2729,0,D,,,0,20,call,20
274,20180806185441362,2,10,Deal,2457b5121ed104049a3f89109143918d,False,True,2930,0,SB,,,0,50,bet,40
274,20180806185441362,2,10,Deal,2667849fa0dab2def86d990c1d622b23,False,True,2980,0,BB,,,0,20,fold,0
274,20180806185441362,2,10,Deal,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2679,0,3,,,0,50,call,30
274,20180806185441362,2,10,Deal,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2699,0,D,,,0,50,call,30
274,20180806185441362,2,10,Flop,2457b5121ed104049a3f89109143918d,False,True,2910,0,SB,,6S 2D JS,50,20,bet,20
274,20180806185441362,2,10,Flop,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2679,0,3,,6S 2D JS,50,0,fold,0
274,20180806185441362,2,10,Flop,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2679,0,D,,6S 2D JS,50,20,call,20
274,20180806185441362,2,10,Turn,2457b5121ed104049a3f89109143918d,False,True,2827,0,SB,,6S 2D JS 4S,70,83,bet,83
274,20180806185441362,2,10,Turn,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2679,0,D,,6S 2D JS 4S,70,0,fold,0
274,20180806185441362,3,10,Deal,12960d717b4d0096eea6db552ef5a513,False,True,3562,0,1,,,0,0,fold,0
274,20180806185441362,3,10,Deal,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2659,0,2,,,0,20,call,20
274,20180806185441362,3,10,Deal,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2659,0,3,,,0,20,call,20
274,20180806185441362,3,10,Deal,2457b5121ed104049a3f89109143918d,False,True,3100,0,D,,,0,20,call,20
274,20180806185441362,3,10,Deal,2667849fa0dab2def86d990c1d622b23,False,True,2970,0,SB,,,0,10,fold,0
274,20180806185441362,3,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2960,0,BB,8H 7C,,0,20,call,0
274,20180806185441362,3,10,Flop,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2960,0,BB,8H 7C,QH 8D TS,20,0,check,0
274,20180806185441362,3,10,Flop,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2639,0,2,,QH 8D TS,20,20,bet,20
274,20180806185441362,3,10,Flop,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2639,0,3,,QH 8D TS,20,20,call,20
274,20180806185441362,3,10,Flop,2457b5121ed104049a3f89109143918d,False,True,3100,0,D,,QH 8D TS,20,0,fold,0
274,20180806185441362,3,10,Flop,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2920,0,BB,8H 7C,QH 8D TS,20,40,bet,40
274,20180806185441362,3,10,Flop,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2619,0,2,,QH 8D TS,20,40,call,20
274,20180806185441362,3,10,Flop,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2619,0,3,,QH 8D TS,20,40,call,20
274,20180806185441362,3,10,Turn,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2920,0,BB,8H 7C,QH 8D TS AS,60,0,check,0
274,20180806185441362,3,10,Turn,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2599,0,2,,QH 8D TS AS,60,20,bet,20
274,20180806185441362,3,10,Turn,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2444,0,3,,QH 8D TS AS,60,175,bet,175
274,20180806185441362,3,10,Turn,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2920,0,BB,8H 7C,QH 8D TS AS,60,0,fold,0
274,20180806185441362,3,10,Turn,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2599,0,2,,QH 8D TS AS,60,20,fold,0
274,20180806185441362,4,10,Deal,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2579,0,1,,,0,20,call,20
274,20180806185441362,4,10,Deal,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2829,0,2,,,0,20,call,20
274,20180806185441362,4,10,Deal,2457b5121ed104049a3f89109143918d,False,True,3080,0,3,,,0,20,call,20
274,20180806185441362,4,10,Deal,2667849fa0dab2def86d990c1d622b23,False,True,2970,0,D,,,0,0,fold,0
274,20180806185441362,4,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2900,0,SB,9S 3D,,0,20,call,10
274,20180806185441362,4,10,Deal,12960d717b4d0096eea6db552ef5a513,False,True,3542,0,BB,,,0,20,call,0
274,20180806185441362,4,10,Flop,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2900,0,SB,9S 3D,6H 7H 5H,20,0,check,0
274,20180806185441362,4,10,Flop,12960d717b4d0096eea6db552ef5a513,False,True,3522,0,BB,,6H 7H 5H,20,20,bet,20
274,20180806185441362,4,10,Flop,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2559,0,1,,6H 7H 5H,20,20,call,20
274,20180806185441362,4,10,Flop,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2809,0,2,,6H 7H 5H,20,20,call,20
274,20180806185441362,4,10,Flop,2457b5121ed104049a3f89109143918d,False,True,3080,0,3,,6H 7H 5H,20,0,fold,0
274,20180806185441362,4,10,Flop,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2900,0,SB,9S 3D,6H 7H 5H,20,0,fold,0
274,20180806185441362,4,10,Turn,12960d717b4d0096eea6db552ef5a513,False,True,3502,0,BB,,6H 7H 5H 7S,40,20,bet,20
274,20180806185441362,4,10,Turn,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2539,0,1,,6H 7H 5H 7S,40,20,call,20
274,20180806185441362,4,10,Turn,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2809,0,2,,6H 7H 5H 7S,40,0,fold,0
274,20180806185441362,4,10,River,12960d717b4d0096eea6db552ef5a513,False,True,3502,0,BB,,6H 7H 5H 7S 8D,60,0,check,0
274,20180806185441362,4,10,River,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2539,0,1,,6H 7H 5H 7S 8D,60,0,fold,0
274,20180806185441362,5,10,Deal,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2789,0,1,,,0,20,call,20
274,20180806185441362,5,10,Deal,2457b5121ed104049a3f89109143918d,False,True,3035,0,2,,,0,45,bet,45
274,20180806185441362,5,10,Deal,2667849fa0dab2def86d990c1d622b23,False,True,2970,0,3,,,0,0,fold,0
274,20180806185441362,5,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2720,0,D,TD TH,,0,180,bet,180
274,20180806185441362,5,10,Deal,12960d717b4d0096eea6db552ef5a513,False,True,3692,0,SB,,,0,10,fold,0
274,20180806185441362,5,10,Deal,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2359,0,BB,,,0,180,call,160
274,20180806185441362,5,10,Deal,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2629,0,1,,,0,180,call,160
274,20180806185441362,5,10,Deal,2457b5121ed104049a3f89109143918d,False,True,2900,0,2,,,0,180,call,135
274,20180806185441362,5,10,Flop,ed5d907d04bd1f08ac41d24cb0d2fd13,False,True,2080,0,BB,,5D 2H JS,180,279,bet,279
274,20180806185441362,5,10,Flop,ea5bcf79ef13ed87fa804b52bce1eedc,False,True,2629,0,1,,5D 2H JS,180,0,fold,0
