N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tight,tightness
6,3,2,2,0,6,0,2,2,4,0,60000.0,check,0.75,0,10,70,1,,,,,,,,,,,,0,9,0,0,0,0,10,3,13,0,2990,10,0.14923310279846191,False,10,6,20180806130353276,Early,1,10,0,10,3,1,10,TS 3D,michael5,20,10,2980,2980.0,2980,any_called,,SB,B,0,0,0.12553875661376607,,0.33132880526998504,0.29451644730145854,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",152,,,-0.5100000000000002
6,0,0,0,0,4,0,0,0,4,0,77,check,0.75,0,0,0,1,8H 9D JH,0,2,9,1,1,11,11,8,2,11,0,9,0,0,0,0,10,3,13,0,2980,0,0.23798298835754395,True,0,6,20180806130353276,Early,3,11,0,11,10,2,9,TS 3D,michael5,0,20,2980,2980.0,2980,none,fold/check,SB,B,20,80,0.3116883116883117,0.07487728937728937,0.4416539239774533,0.4951088722610467,0.18614955507454561,none,0.12553875661376607,"[0, 1, 0, 0]",Flop,1,0,0,10,,,,,152,0.0,True,-0.39600000000000013
6,3,2,0,1,4,0,3,0,4,1,429,fold,0.75,0,0,60,1,8H 9D JH,0,2,9,1,1,11,11,8,2,11,0,9,0,0,0,0,10,3,13,0,2980,20,0.24782490730285645,False,0,6,20180806130353276,Early,3,11,0,11,10,2,9,TS 3D,michael5,20,20,2960,2960.0,2960,any_raised,fold/check,SB,B,20,80,0.26048951048951047,0.03411237373737374,0.4113137664347435,0.4342945941337806,0.1349507538757444,check/call,0.12553875661376607,"[1, 0, 0, 0]",Flop,1,1,0,10,,,,,152,0.125,True,-0.39600000000000013
6,4,3,0,0,6,0,3,0,6,0,60000.0,fold,0.75,0,0,90,1,,,,,,,,,,,,0,9,0,0,0,0,7,4,11,1,2980,20,0.1418931484222412,False,0,6,20180806130353276,Early,1,7,0,7,4,2,7,7S 4S,michael5,20,20,3160,2986.0,2900,any_called,,D,L,0,0,0.1663042328042312,,0.3723535080479668,0.3569492289247903,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",152,,,-0.5120000000000002
6,3,2,0,0,6,0,2,0,6,0,60000.0,fold,0.75,0,0,70,1,,,,,,,,,,,,0,9,0,0,0,0,12,2,14,0,2980,20,0.1607520580291748,False,0,6,20180806130353276,Early,1,12,0,12,2,1,12,QH 2D,michael5,20,20,3100,2990.0,2820,any_called,,3,L,0,0,0.14013650793651755,,0.3471286030851908,0.3185606099223057,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",152,,,-0.5140000000000002
6,2,1,0,0,6,0,1,0,6,0,60000.0,fold,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,8,2,10,1,2980,20,0.17727088928222656,False,0,6,20180806130353276,Early,1,8,0,8,2,2,8,2S 8S,michael5,20,20,3290,2994.0,2740,any_called,,2,E,0,0,0.14611335978836415,,0.3532198265665734,0.3283747902967161,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",152,,,-0.5160000000000002
6,1,0,0,0,6,0,0,0,6,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,1,7,0,0,0,0,14,8,22,0,2980,20,0.16669416427612305,False,0,6,20180806130353276,Early,1,14,0,14,8,1,14,8D AH,michael5,20,20,3290,2998.0,2820,none,,1,E,0,0,0.20965462962961431,,0.4070621155358032,0.42051280547716047,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",152,,,-0.5180000000000002
6,4,3,2,0,6,0,3,2,4,0,60000.0,check,0.75,0,20,80,1,,,,,,,,,,,,0,9,0,0,0,0,13,5,18,0,2960,0,0.16231489181518555,False,20,6,20180806130353276,Early,1,13,0,13,5,1,13,KD 5H,michael5,20,0,2910,2883.3333333333335,2860,any_called,,BB,B,0,0,0.17108134920634566,,0.37658003287492825,0.3669029663013085,0,none,,"[0, 1, 0, 0]",Deal,6,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",152,,,-0.5200000000000002
6,1,0,0,1,4,0,0,0,4,1,328,check,0.75,0,0,110,1,TH 5D 4S,0,2,5,1,1,10,10,4,1,5,0,9,0,0,0,0,13,5,18,0,2960,110,0.2894909381866455,False,0,6,20180806130353276,Early,0,0,1,5,13,2,13,KD 5H,michael5,110,110,2910,2846.6666666666665,2770,any_raised,call/raise,BB,B,20,80,0.41310975609756095,0.41562869565075444,0.4900647917864749,0.6130209921396615,0.2420284068912153,none,0.17108134920634566,"[0, 0.2, 0.8, 220]",Flop,6,0,0,10,,,,,152,0.36666666666666664,True,-0.40600000000000014
6,1,0,0,1,4,0,0,0,3,1,338,fold,0.75,0,0,20,1,TH 5D 4S 2S,0,2,5,1,1,10,10,2,2,4,0,9,0,0,0,0,13,5,18,0,2850,20,0.2843818664550781,False,0,6,20180806130353276,Early,1,5,1,5,13,2,13,KD 5H,michael5,20,20,2800,2775.0,2750,any_raised,fold/check,BB,B,130,410,0.23076923076923078,0.3586363358863358,0.42132504423474315,0.412018683157362,-0.18234052532833017,none,0.41310975609756095,"[1, 0, 0, 0]",Turn,6,0,0,10,,,,,152,0.044444444444444446,True,-0.4301891256365649
