N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tight,tightness
8,4,4,1,2,8,0,4,1,7,2,60000.0,fold,0.75,0,20,420,1,,,,,,,,,,,,0,9,0,0,0,0,12,5,17,0,2980,60,0.15203118324279785,False,20,8,20180806135629978,Early,1,12,0,12,5,1,12,5D QC,michael5,80,60,2960,2933.3333333333335,2920,any_raised,,BB,B,0,0,0.11659444444444247,,0.3209364110990436,0.40993032418896846,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.9140000000000004
6,2,2,1,1,6,0,2,1,5,1,60000.0,fold,0.75,0,10,130,1,,,,,,,,,,,,0,9,0,1,0,0,9,7,16,0,2970,30,0.16821694374084473,False,10,8,20180806135629978,Early,1,9,0,9,7,1,9,9C 7S,michael5,40,30,9320,4475.0,2800,any_raised,,SB,B,0,0,0.16646137566137384,,0.3724942765658243,0.42571739215118765,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.6960000000000004
6,3,2,0,1,6,0,2,0,6,1,60000.0,fold,0.75,0,0,150,1,,,,,,,,,,,,0,9,0,0,0,0,10,2,12,0,2970,40,0.15389013290405273,False,0,8,20180806135629978,Early,1,10,0,10,2,1,10,TS 2H,michael5,40,40,9260,4176.0,2840,any_raised,,D,L,0,0,0.12150238095239015,,0.32671019631362963,0.34954609797930375,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.6980000000000004
6,3,2,0,0,6,0,2,0,6,0,60000.0,fold,0.75,0,0,70,1,,,,,,,,,,,,0,9,0,0,0,0,11,4,15,0,2970,20,0.1652538776397705,False,0,8,20180806135629978,Early,1,11,0,11,4,1,11,JC 4D,michael5,20,20,9220,4192.0,2810,any_called,,3,L,0,0,0.1405583333333437,,0.34756537264793275,0.38385409418689675,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.7000000000000004
5,1,0,0,0,5,0,0,0,5,0,60000.0,check,0.75,0,0,30,1,,,,,,,,,,,,1,7,0,0,0,0,14,9,23,0,2970,20,0.17049694061279297,False,0,8,20180806135629978,Late,1,14,0,14,9,1,14,9C AS,michael5,20,20,8830,5250.0,2760,none,,1,E,0,0,0.2631670634919482,,0.4403523137045757,0.5238556332050571,0,none,,"[0, 1, 0, 0]",Deal,5,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.5920000000000003
5,2,1,1,2,5,0,2,1,4,2,60000.0,fold,0.75,0,20,420,1,,,,,,,,,,,,1,7,0,0,0,0,14,9,23,0,2950,140,0.16685080528259277,False,0,8,20180806135629978,Late,1,14,0,14,9,1,14,9C AS,michael5,160,140,8690,5913.333333333333,2680,any_raised,,1,E,0,0,0.2631670634919482,,0.4403523137045757,0.5238556332050571,0,check/call,,"[1, 0, 0, 0]",Deal,5,1,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.5920000000000003
5,5,4,0,0,5,0,4,0,5,0,60000.0,check,0.75,0,40,200,2,,,,,,,,,,,,0,9,0,0,0,0,12,3,15,1,2910,0,0.16031885147094727,False,40,8,20180806135629978,Late,1,12,0,12,3,2,12,3C QC,michael5,40,0,8570,5222.5,2560,any_called,,BB,B,0,0,0.21798465608459364,,0.4128769136150326,0.46323354277192313,0,none,,"[0, 1, 0, 0]",Deal,6,0,0,20,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.5940000000000003
5,1,0,0,1,5,0,0,0,5,1,356,fold,0.75,0,0,40,2,4C 5H 8C,0,2,5,0,1,8,8,4,2,8,0,9,0,0,0,0,12,3,15,1,2910,40,0.24920201301574707,False,0,8,20180806135629978,Late,0,0,0,12,8,4,12,3C QC,michael5,40,40,8530,5212.5,2560,any_raised,fold/check,BB,B,40,200,0.2808988764044944,0.016428432678432678,0.4494382022471911,0.5460674157303372,0.06291422031990077,none,0.21798465608459364,"[1, 0, 0, 0]",Flop,6,0,0,20,,,,,279,0.14285714285714285,False,-0.5900000000000003
5,2,2,0,1,5,0,2,0,5,1,60000.0,fold,0.75,0,20,260,2,,,,,,,,,,,,0,9,0,0,0,0,10,7,17,0,2890,60,0.16583681106567383,False,20,8,20180806135629978,Late,1,10,0,10,7,1,10,7S TD,michael5,80,60,8930,5212.5,2520,any_raised,,SB,B,0,0,0.2010589947089436,,0.4007920599956698,0.43993106246636293,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,20,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.5960000000000003
5,3,2,0,0,5,0,2,0,5,0,60000.0,check,0.75,0,0,140,2,,,,,,,,,,,,0,7,1,0,1,0,11,10,21,0,2890,40,0.16694021224975586,False,0,8,20180806135629978,Late,2,11,0,11,10,1,11,JS TD,michael5,40,40,8890,5242.5,1480,any_called,,D,L,0,0,0.2695527777776816,,0.443727481423021,0.5349018116686484,0,none,,"[0, 1, 0, 0]",Deal,8,0,0,20,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.5980000000000003
5,2,1,2,1,5,0,1,2,3,1,358,fold,0.75,0,0,80,2,KD 2S QD,0,2,13,2,1,13,13,2,2,13,0,7,1,0,1,0,11,10,21,0,2850,40,0.2836170196533203,False,0,8,20180806135629978,Late,3,13,0,13,12,3,13,JS TD,michael5,40,40,8850,5135.0,1420,any_raised,fold/check,D,L,40,200,0.3298882681564246,0.09474601517333717,0.4619916669867078,0.6091706187794015,0.06033549037874297,none,0.2695527777776816,"[1, 0, 0, 0]",Flop,8,0,0,20,,,,,279,0.125,False,-0.5940000000000003
5,2,1,0,0,5,0,1,0,5,0,60000.0,check,0.75,0,0,100,2,,,,,,,,,,,,1,7,0,0,0,0,14,3,17,0,2850,40,0.16609883308410645,False,0,8,20180806135629978,Late,1,14,0,14,3,1,14,3C AD,michael5,40,40,9130,5262.5,1380,any_called,,2,E,0,0,0.2257612433861605,,0.41808265255915045,0.4766108349216509,0,none,,"[0, 1, 0, 0]",Deal,9,0,0,20,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.6000000000000003
5,2,1,1,1,4,0,1,1,3,1,333,fold,0.75,0,0,80,2,JS KC 5C,0,0,0,2,1,13,13,5,2,13,1,7,0,0,0,0,14,3,17,0,2810,40,0.26834607124328613,False,0,8,20180806135629978,Late,1,14,0,14,13,3,13,3C AD,michael5,40,40,9090,6450.0,3810,any_raised,fold/check,2,E,40,160,0.14714714714714713,0.11893689643689642,0.33909342919480534,0.3582816627849356,-0.07861409623901336,none,0.2257612433861605,"[1, 0, 0, 0]",Flop,9,0,0,20,,,,,279,0.14285714285714285,False,-0.5960000000000003
5,1,0,0,0,5,0,0,0,5,0,60000.0,fold,0.75,0,0,60,2,,,,,,,,,,,,0,9,0,0,0,0,12,8,20,0,2810,40,0.1636960506439209,False,0,8,20180806135629978,Late,1,12,0,12,8,1,12,QS 8C,michael5,40,40,7780,5282.5,1380,none,,1,E,0,0,0.2228063492062726,,0.41612940290208417,0.4733162497533274,0,none,,"[1, 0, 0, 0]",Deal,10,0,0,20,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",279,,,-0.6020000000000003
