N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tight,tightness
8,2,3,1,1,8,0,3,1,7,1,60000.0,fold,0.75,0,0,150,1,,,,,,,,,,,,0,9,0,1,0,0,6,4,10,0,3000,40,0.1605539321899414,False,0,8,20180806194630984,Early,1,6,0,6,4,1,6,6C 4D,michael5,40,40,2990,2975.0,2960,any_raised,,D,L,0,0,0.10539212962962843,,0.3070580216209308,0.3774455367857732,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",383,,,-0.8860000000000003
8,2,1,2,1,8,0,1,2,6,1,60000.0,fold,0.75,0,0,110,1,,,,,,,,,,,,1,5,0,0,1,0,14,11,25,0,3000,40,0.16185712814331055,False,0,8,20180806194630984,Early,1,14,0,14,11,1,14,JC AH,michael5,40,40,3180,2986.0,2900,any_raised,,5,L,0,0,0.1985981481481558,,0.39894476271819757,0.5528610974419154,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('allin', 3000)","('fold', 0)","('fold', 0)",383,,,-0.8880000000000003
8,4,3,0,0,8,0,3,0,8,0,60000.0,fold,0.75,0,0,90,1,,,,,,,,,,,,0,7,0,1,1,0,12,10,22,0,3000,20,0.1596989631652832,False,0,8,20180806194630984,Early,1,12,0,12,10,1,12,QD TC,michael5,20,20,3320,2987.1428571428573,2880,any_called,,4,M,0,0,0.17833750000000134,,0.38279659885342615,0.5190264729795507,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",383,,,-0.8900000000000003
8,2,1,1,0,8,0,1,1,7,0,60000.0,fold,0.75,0,0,50,1,,,,,,,,,,,,1,7,0,0,0,0,14,4,18,0,3000,20,0.15641283988952637,False,0,8,20180806194630984,Early,1,14,0,14,4,1,14,4S AC,michael5,20,20,2950,2783.1666666666665,2259,any_called,,3,M,0,0,0.14771157407407606,,0.35481384550019296,0.4642055242602483,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",383,,,-0.8920000000000003
8,2,1,0,0,8,0,1,0,8,0,60000.0,fold,0.75,0,0,50,1,,,,,,,,,,,,0,8,0,1,0,0,11,9,20,1,3000,20,0.17400288581848145,False,0,8,20180806194630984,Early,1,11,0,11,9,2,11,9D JD,michael5,20,20,6837,2992.8571428571427,480,any_called,,2,E,0,0,0.1925208333333336,,0.39427980174740423,0.5450069760955132,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",383,,,-0.8940000000000003
7,1,0,0,0,7,0,0,0,7,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,1,7,0,0,0,0,14,9,23,0,3000,20,0.16294598579406738,False,0,8,20180806194630984,Early,1,14,0,14,9,1,14,AH 9C,michael5,20,20,6817,3495.0,752,none,,1,E,0,0,0.18753194444445132,,0.3903379487794321,0.49433757218508506,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",383,,,-0.7860000000000003
6,5,4,1,0,6,0,4,1,5,0,60000.0,check,0.75,0,20,100,1,,,,,,,,,,,,0,6,0,0,1,0,13,11,24,0,2980,0,0.14992928504943848,False,20,8,20180806194630984,Early,1,13,0,13,11,1,13,KH JC,michael5,20,0,7619,4179.75,2380,any_called,,BB,B,0,0,0.2459125661375577,,0.4306269568352625,0.5378776428718658,0,none,,"[0, 1, 0, 0]",Deal,7,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",383,,,-0.6780000000000004
6,0,1,0,0,5,0,1,0,5,0,351,bet,0.75,40,0,0,1,AS JH 8D,1,0,0,2,1,14,14,8,1,8,0,6,0,0,1,0,13,11,24,0,2980,0,0.2767069339752197,True,0,8,20180806194630984,Early,1,14,1,11,14,2,13,KH JC,michael5,0,20,7619,4179.75,2380,any_called,call/raise,BB,B,20,100,0.35185185185185186,0.43000826585695007,0.4707885616601341,0.44067578645297545,0.10593928571429417,none,0.2459125661375577,"[0, 0.2, 0.8, 40]",Flop,7,0,0,10,,,,,383,0.0,True,-0.18599999999999994
6,0,0,0,0,5,0,0,0,3,0,57,bet,0.75,40,0,0,1,AS JH 8D TS,1,2,11,3,1,14,14,8,2,14,0,6,0,0,1,0,13,11,24,0,2940,0,0.265272855758667,True,0,8,20180806194630984,Early,1,14,1,11,14,2,13,KH JC,michael5,0,20,7579,5169.5,2760,none,call/raise,BB,B,60,220,0.34210526315789475,0.5629926801956212,0.44745441210024034,0.45211727637974497,-0.009746588693957114,none,0.35185185185185186,"[0, 0.2, 0.8, 40]",Turn,7,0,0,10,,,,,383,0.0,True,-0.23189000422091266
6,0,0,0,0,5,0,0,0,3,0,120,check,0.75,0,0,0,1,AS JH 8D TS 9H,1,4,11,3,1,14,14,8,2,11,0,6,0,0,1,0,13,11,24,0,2900,0,0.269057035446167,True,0,8,20180806194630984,Early,3,11,1,11,14,3,13,KH JC,michael5,0,20,7539,5129.5,2720,none,check/call,BB,B,100,340,0.025,0.20190180734298374,0.15612494995995993,0.08049497505547362,-0.3171052631578947,none,0.34210526315789475,"[0, 1, 0, 0]",River,7,0,0,10,,,,,383,0.0,True,-0.3554523160436942
