tableNumber,game_id,smallBlind,playerName,chips
34,20180731110502224,20,58673a2ed47b93de2334d9d0763d1bbb,1173
34,20180731110502224,20,65d1f460b11f1345babf35896085f908,13827
34,20180731110502224,20,b818f218fe27eda18f81bfabf6dec2fe,0
34,20180731110502224,20,1918715627a573803e95cc88a784c9a3,0
34,20180731110502224,20,c1cc24d28bbbdbb3f158e170a7d0ee3b,0
37,20180731110757227,20,65d1f460b11f1345babf35896085f908,0
37,20180731110757227,20,58673a2ed47b93de2334d9d0763d1bbb,4612
37,20180731110757227,20,83f1535f99ab0bf4e9d02dfd85d3e3f7,10388
37,20180731110757227,20,525798faeaa02a159e205c9496186064,0
37,20180731110757227,20,17a169e8c69b2effd9315975ac833b78,0
