N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
7,1,2,1,2,7,0,2,1,6,2,60000.0,fold,0.75,0,10,676.3724087300654,608,728,1,,,,,,,,,,,,0,9,0,0,0,0,9,6,15,0,2990,588,0.1498100757598877,False,10,7,20180731135823982,Early,0,9,6,9H 6S,michael4,598,588,2980,2402,any_raised,trash,SB,B,0,0,0.12621150793647673,0.33208758362949586,0.2391212863705053,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,285,0.439209726443769,-0.33999999999999997
7,5,3,0,1,7,1,3,0,7,1,60000.0,bet,0.75,835,0,923.399801587371,40,100,1,,,,,,,,,,,,0,7,1,0,1,0,12,11,23,0,2990,20,0.2557828426361084,False,0,7,20180731135823982,Early,0,12,11,QH JD,michael4,20,20,8850,0,any_raised,ml_raise,D,L,0,0,0.2088293650793883,0.4064722147452737,0.34784286252227187,0,none,,"[0, 0, 1, 835]",Deal,2,0,0,10,285,0.16666666666666666,-0.34199999999999997
7,1,1,1,1,6,2,1,1,5,1,335,fold,0.75,0,0,0,40,20,1,QC KC 5D,0,2,13,2,1,13,13,5,2,13,0,7,1,0,1,0,12,11,23,0,2155,20,0.2334578037261963,False,0,7,20180731135823982,Early,1,12,13,QH JD,michael4,20,20,2165,0,any_raised,ml_fold,D,L,835,3560,0.28059701492537314,0.439211914979257,0.44863181873312796,0.07176764984598485,none,0.2088293650793883,"[1, 0, 0, 0]",Flop,2,0,0,10,285,0.005555555555555556,-0.3740000000000001
5,2,1,0,0,5,0,1,0,5,0,60000.0,fold,0.75,0,0,584.768086640141,40,50,1,,,,,,,,,,,,0,9,0,0,0,0,12,2,14,0,2155,20,0.13682293891906738,False,0,7,20180731135823982,Early,0,12,2,QD 2C,michael4,20,20,8830,2095,any_called,trash,2,E,0,0,0.17135410052906772,0.3768180897474826,0.2165722712987656,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,285,0.2857142857142857,-0.11999999999999994
5,1,0,0,0,5,0,0,0,5,0,60000.0,bet,0.75,669,0,702.015479497176,40,30,1,,,,,,,,,,,,1,7,0,0,0,0,14,3,17,0,2155,20,0.19132781028747559,False,0,7,20180731135823982,Early,0,14,3,AC 3H,michael4,20,20,8750,2095,none,ml_raise,1,E,0,0,0.2257612433861605,0.41808265255915045,0.2767673269983768,0,none,,"[0, 0, 1, 669]",Deal,4,0,0,10,285,0.4,-0.12199999999999994
5,1,1,2,1,5,0,1,2,3,2,60000.0,fold,0.75,0,669,484.08120767183453,689,2696,1,,,,,,,,,,,,1,7,0,0,0,0,14,3,17,0,1486,669,0.19394183158874512,False,0,7,20180731135823982,Early,0,14,3,AC 3H,michael4,1338,669,4497,1476,any_reraised,ml_fold,1,E,0,0,0.2257612433861605,0.41808265255915045,0.2767673269983768,0,bet/raise/allin,,"[1, 0, 0, 0]",Deal,4,0,1,10,285,0.1988112927191679,-0.12199999999999994
5,1,3,0,1,5,0,3,0,5,1,60000.0,fold,0.75,0,20,550.8816899469284,1486,1566,1,,,,,,,,,,,,1,6,0,0,0,0,14,4,18,1,1466,1466,0.19139814376831055,False,20,7,20180731135823982,Early,0,14,4,AC 4C,michael4,2362,2342,7842,787,any_raised,ml_fold,BB,B,0,0,0.2757719576718475,0.44690243346135883,0.33118785942105594,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,285,0.47691292875989444,-0.12399999999999994
5,3,2,1,0,5,0,2,1,4,0,60000.0,fold,0.75,0,20,392.5574404761456,60,140,2,,,,,,,,,,,,0,9,0,0,0,0,11,4,15,0,1446,20,0.1434462070465088,False,20,7,20180731135823982,Early,0,11,4,4C JS,michael4,40,20,8790,747,any_called,trash,SB,B,0,0,0.17147817460314355,0.3769262663146698,0.21897088415879193,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,20,285,0.0,-0.12599999999999995
5,3,2,0,0,5,0,2,0,5,0,60000.0,fold,0.75,0,0,359.14527698411575,80,140,2,,,,,,,,,,,,0,9,0,0,0,0,10,2,12,0,1446,40,0.14202404022216797,False,0,7,20180731135823982,Early,0,10,2,TH 2C,michael4,40,40,8890,727,any_called,trash,D,L,0,0,0.14837156084655306,0.35546791807209643,0.1938714543597814,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,20,285,0.2222222222222222,-0.12799999999999995
5,2,1,0,0,5,0,1,0,5,0,60000.0,fold,0.75,0,0,462.1046849205365,80,100,2,,,,,,,,,,,,0,9,0,0,0,0,11,8,19,0,1446,40,0.137739896774292,False,0,7,20180731135823982,Early,0,11,8,8S JC,michael4,40,40,9010,707,any_called,trash,2,E,0,0,0.2195744708994028,0.41395835856840735,0.27338905751329573,0,none,,"[1, 0, 0, 0]",Deal,8,0,0,20,285,0.2857142857142857,-0.12999999999999995
