N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
7,3,2,0,0,7,0,2,0,7,0,60000.0,check,0.75,0,0,0,40,70,1,,,,,,,,,,,,0,9,0,0,0,0,11,3,14,0,3000,20,0.1447911262512207,False,0,7,20180731171321635,Early,0,11,3,3S JC,michael4,20,20,3000,2980,any_called,trash,3,M,0,0,0.11379484126981618,0.31756192367819147,0.24272498228316192,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,34,0.2222222222222222,-0.406
7,1,2,1,1,7,0,2,1,6,1,352,fold,0.75,0,0,0,1937,1917,1,9H 4S 9D,0,0,0,0,2,9,9,4,1,9,0,9,0,0,0,0,11,3,14,0,2980,1917,0.19921207427978516,False,0,7,20180731171321635,Early,1,9,11,3S JC,michael4,1917,1917,2980,1063,any_raised,fold,3,M,20,140,0.03409090909090909,0.16931436847444706,0.07909366382752823,-0.07970393217890709,none,0.11379484126981618,"[1, 0, 0, 0]",Flop,1,0,0,10,34,0.4823855057876195,-0.248
7,2,1,0,0,7,0,1,0,7,0,60000.0,check,0.75,0,0,0,40,50,1,,,,,,,,,,,,0,9,0,0,0,0,11,5,16,0,2980,20,0.14270401000976562,False,0,7,20180731171321635,Early,0,11,5,JS 5H,michael4,20,20,3100,2960,any_called,trash,2,E,0,0,0.12407480158727095,0.3296668700345097,0.2579195508212819,0,none,,"[0, 1, 0, 0]",Deal,2,0,0,10,34,0.2857142857142857,-0.406
7,3,6,0,1,7,0,7,0,7,1,60000.0,check,0.75,0,20,0,40,200,1,,,,,,,,,,,,0,9,0,0,0,0,11,5,16,0,2960,20,0.14009594917297363,False,0,7,20180731171321635,Early,0,11,5,JS 5H,michael4,40,20,3080,2940,any_raised,trash,2,E,0,0,0.12407480158727095,0.3296668700345097,0.2579195508212819,0,check/call,,"[0, 1, 0, 0]",Deal,2,1,0,10,34,0.09090909090909091,-0.406
7,1,2,0,1,7,0,2,0,7,1,335,check,0.75,0,0,0,40,20,1,KC 9D 3S,0,0,0,1,1,13,13,3,1,13,0,9,0,0,0,0,11,5,16,0,2940,20,0.18853521347045898,False,0,7,20180731171321635,Early,0,13,11,JS 5H,michael4,20,20,3080,2920,any_raised,fold,2,E,40,280,0.03582089552238806,0.18584337213460753,0.08191005181177072,-0.0882539060648829,none,0.12407480158727095,"[0, 1, 0, 0]",Flop,2,0,0,10,34,0.0625,-0.248
7,1,1,0,1,7,0,1,0,4,1,322,bet,0.75,2200,0,2920,40,20,1,KC 9D 3S QD,0,2,13,2,1,13,13,3,2,12,0,9,0,0,0,0,11,5,16,0,2920,20,0.24170494079589844,False,0,7,20180731171321635,Early,0,13,12,JS 5H,michael4,20,20,2920,2900,any_raised,ml_raise,2,E,60,360,0.05124223602484472,0.17538336983555758,0.11651210817256667,0.015421340502456658,none,0.03582089552238806,"[0, 0, 1, 2200]",Turn,2,0,0,10,34,0.05,-0.29602
7,1,0,0,0,7,0,0,0,7,0,60000.0,check,0.75,0,0,0,40,30,1,,,,,,,,,,,,1,7,0,0,0,0,14,8,22,0,3300,20,0.18640375137329102,False,0,7,20180731171321635,Early,0,14,8,8H AC,michael4,20,20,3070,2880,none,ml_fold,1,E,0,0,0.17849365079364948,0.38292775744258106,0.3339623203153374,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,34,0.4,-0.406
7,1,1,0,1,7,0,1,0,7,1,380,check,0.75,0,0,0,40,20,1,7H KC 6D,0,2,7,1,1,13,13,6,1,13,1,7,0,0,0,0,14,8,22,0,3280,20,0.18670296669006348,False,0,7,20180731171321635,Early,0,14,13,8H AC,michael4,20,20,3060,2860,any_raised,fold,1,E,20,140,0.04736842105263158,0.20292186998586312,0.10004998047906757,-0.1311252297410179,none,0.17849365079364948,"[0, 1, 0, 0]",Flop,3,0,0,10,34,0.1111111111111111,-0.248
7,1,0,0,1,7,0,0,0,5,1,351,fold,0.75,0,0,3260,391,371,1,7H KC 6D 2C,0,2,7,1,1,13,13,2,2,13,1,7,0,0,0,0,14,8,22,0,3260,371,0.18288397789001465,False,0,7,20180731171321635,Early,0,14,13,8H AC,michael4,371,371,2900,2489,any_raised,fold,1,E,40,240,0.03418803418803419,0.18171189423478037,0.08780387301619079,-0.013180386864597389,none,0.04736842105263158,"[1, 0, 0, 0]",Turn,3,0,0,10,34,0.37780040733197556,-0.29505960000000003
7,7,6,0,0,7,0,6,0,7,0,60000.0,check,0.75,0,20,0,20,140,1,,,,,,,,,,,,0,8,1,0,0,0,10,9,19,0,3240,0,0.18419408798217773,False,20,7,20180731171321635,Early,0,10,9,9S TC,michael4,20,0,3080,2860,any_called,ml_fold,BB,B,0,0,0.1773724206349188,0.3819835664436734,0.33322171574393755,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,34,-0.14285714285714285,-0.40800000000000003
