N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
9,4,3,4,0,9,0,3,4,5,0,60000.0,check,0.75,0,10,567.1033333333639,30,90,1,,,,,,,,,,,,0,9,0,0,0,0,12,2,14,0,2990,10,0.17369580268859863,False,10,9,20180731123047630,Early,0,12,2,QD 2C,michael3,20,10,2980,2980,any_called,trash,SB,B,0,0,0.08966666666667689,0.28570361488011303,0.2742312018792299,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,83,0.0,-0.646
9,0,0,0,0,5,0,0,0,5,0,80,check,0.75,0,0,0,20,0,1,3C 9H 5S,0,0,0,0,1,9,9,3,1,3,0,9,0,0,0,0,12,2,14,0,2980,0,0.3064088821411133,True,0,9,20180731123047630,Early,0,12,9,QD 2C,michael3,0,20,2980,2980,none,ml_fold,SB,B,20,100,0.0375,0.1899835519196333,0.09753480240660413,-0.05216666666667689,none,0.08966666666667689,"[0, 1, 0, 0]",Flop,1,0,0,10,83,0.0,-0.31600000000000006
9,1,0,2,2,5,1,1,2,3,2,425,fold,0.75,0,0,0,3000,3000,1,3C 9H 5S,0,0,0,0,1,9,9,3,1,3,0,9,0,0,0,0,12,2,14,0,2980,2980,0.20535612106323242,False,0,9,20180731123047630,Early,0,12,9,QD 2C,michael3,2980,2980,2960,0,any_raised,fold,SB,B,20,100,0.06,0.23374193915009575,0.13504584199007963,-0.02966666666667689,check/call,0.08966666666667689,"[1, 0, 0, 0]",Flop,1,1,0,10,83,0.4901315789473684,-0.31600000000000006
9,2,4,1,1,9,0,4,1,8,1,60000.0,fold,0.75,0,0,609.3768888889192,2040,4130,1,,,,,,,,,,,,0,9,0,1,0,0,8,6,14,0,2980,2020,0.14993500709533691,False,0,9,20180731123047630,Early,0,8,6,8D 6S,michael3,2020,2020,3080,980,any_raised,trash,D,L,0,0,0.10448888888889904,0.3058937086434802,0.3027080120898742,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,83,0.3284552845528455,-0.648
9,4,3,2,0,9,0,3,2,7,0,60000.0,fold,0.75,0,0,608.0027777778163,40,90,1,,,,,,,,,,,,0,9,0,0,0,0,12,6,18,0,2980,20,0.15453600883483887,False,0,9,20180731123047630,Early,0,12,6,QH 6S,michael3,20,20,2970,30,any_called,trash,6,L,0,0,0.10402777777779068,0.3052965758543736,0.30247055208313356,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,83,0.18181818181818182,-0.65
8,1,0,2,1,8,0,0,2,6,1,60000.0,fold,0.75,0,0,657.9715833333264,60,70,1,,,,,,,,,,,,0,9,0,0,0,0,11,7,18,0,2980,40,0.1675419807434082,False,0,9,20180731123047630,Early,0,11,7,JH 7D,michael3,40,40,2930,200,any_raised,trash,4,M,0,0,0.12079583333333102,0.32588985866798176,0.29742813673137714,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,83,0.36363636363636365,-0.542
8,1,0,2,0,8,0,0,2,6,0,60000.0,fold,0.75,0,0,680.3133055555568,40,30,1,,,,,,,,,,,,0,9,0,0,0,0,10,2,12,1,2980,20,0.16150188446044922,False,0,9,20180731123047630,Early,0,10,2,TS 2S,michael3,20,20,3000,180,all_folded,trash,3,M,0,0,0.12829305555555598,0.3344158301453073,0.3102152671546031,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,83,0.4,-0.544
8,1,0,1,0,8,0,0,1,7,0,60000.0,fold,0.75,0,0,684.0755555555535,40,30,1,,,,,,,,,,,,0,9,0,0,0,0,13,6,19,0,2980,20,0.15800690650939941,False,0,9,20180731123047630,Early,0,13,6,6C KS,michael3,20,20,13050,130,all_folded,trash,2,E,0,0,0.12955555555555484,0.33581380790587867,0.31290989467216457,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,83,0.4,-0.546
8,1,0,0,0,8,0,0,0,8,0,60000.0,fold,0.75,0,0,643.8372777777721,40,30,1,,,,,,,,,,,,0,9,0,1,0,0,8,6,14,0,2980,20,0.16040301322937012,False,0,9,20180731123047630,Early,0,8,6,6H 8C,michael3,20,20,13040,100,none,trash,1,E,0,0,0.11605277777777585,0.3202881992016534,0.2915707109402819,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,10,83,0.4,-0.548
7,2,1,5,0,7,0,1,5,2,0,60000.0,bet,0.75,559,20,790.2724285713922,20,50,1,,,,,,,,,,,,1,7,0,0,0,0,14,6,20,0,2960,0,0.20188021659851074,False,20,9,20180731123047630,Early,0,14,6,6S AC,michael3,20,0,3050,3050,any_called,ml_raise,BB,B,0,0,0.16698392857141628,0.3729615210316909,0.3310869978253603,0,none,,"[0, 0, 1, 559]",Deal,8,0,0,10,83,-0.4,-0.44
7,0,0,0,0,2,0,0,0,2,0,62,bet,0.75,1449,0,2401,20,0,1,6D AS 2C,1,2,2,1,1,14,14,2,1,2,1,7,0,0,0,0,14,6,20,0,2401,0,0.2489471435546875,True,0,9,20180731123047630,Early,2,14,6,6S AC,michael3,0,20,2491,2491,none,ml_raise,BB,B,579,1168,0.8387096774193549,0.3566668449596126,0.9600831904137792,0.6717257488479386,none,0.16698392857141628,"[0, 0, 1, 1449]",Flop,8,0,0,10,83,0.0,-0.33000000000000007
7,2,1,4,0,7,0,1,4,3,0,60000.0,bet,0.75,906,20,950.8925833332995,60,100,2,,,,,,,,,,,,0,7,1,0,0,0,6,5,11,1,3549,20,0.20337796211242676,False,20,9,20180731123047630,Early,0,6,5,6S 5S,michael3,40,20,2820,2451,any_called,ml_raise,SB,B,0,0,0.16793253968253016,0.37380636939237083,0.3331549549539581,0,none,,"[0, 0, 1, 906]",Deal,9,0,0,20,83,0.0,-0.442
7,0,0,0,0,2,0,0,0,2,0,84,check,0.75,0,0,0,40,0,2,8D QS 3D,0,0,0,1,1,12,12,3,2,8,0,7,1,0,0,0,6,5,11,1,2643,0,0.24599790573120117,True,0,9,20180731123047630,Early,0,12,8,6S 5S,michael3,0,40,1565,1565,none,ml_fold,SB,B,926,1892,0.17261904761904762,0.3576880758946099,0.2980876906558141,0.004686507936517453,none,0.16793253968253016,"[0, 1, 0, 0]",Flop,9,0,0,20,83,0.0,-0.3320000000000001
7,1,0,0,1,2,0,1,0,2,1,611,fold,0.75,0,0,0,80,40,2,8D QS 3D,0,0,0,1,1,12,12,3,2,8,0,7,1,0,0,0,6,5,11,1,2643,40,0.3859419822692871,False,0,9,20180731123047630,Early,0,12,8,6S 5S,michael3,40,40,1525,1525,any_raised,ml_fold,SB,B,926,1892,0.2176759410801964,0.4016111167458343,0.35468101212949854,0.049743401397666226,check/call,0.16793253968253016,"[1, 0, 0, 0]",Flop,9,1,0,20,83,0.02028397565922921,-0.3320000000000001
7,1,0,4,0,7,0,0,4,3,0,60000.0,fold,0.75,0,0,600.9458321427843,80,60,2,,,,,,,,,,,,0,9,1,0,0,0,6,5,11,0,2643,40,0.15325522422790527,False,0,9,20180731123047630,Early,0,6,5,5S 6H,michael3,40,40,3417,2800,all_folded,trash,D,L,0,0,0.12737261904759148,0.333389914311379,0.2753977410018438,0,none,,"[1, 0, 0, 0]",Deal,10,0,0,20,83,0.4,-0.444
7,1,0,3,0,7,0,0,3,4,0,60000.0,bet,0.75,737,0,809.5320214286266,80,60,2,,,,,,,,,,,,0,7,0,0,1,0,13,10,23,0,2643,40,0.20540189743041992,False,0,9,20180731123047630,Early,0,13,10,TD KC,michael3,40,40,3757,870,all_folded,ml_raise,4,L,0,0,0.20629285714287804,0.4046431937333262,0.38676372154794153,0,none,,"[0, 0, 1, 737]",Deal,11,0,0,20,83,0.4,-0.446
7,1,0,2,0,7,0,0,2,5,0,60000.0,fold,0.75,0,0,810.3893571427294,80,60,2,,,,,,,,,,,,0,9,0,0,0,0,12,6,18,0,3420,40,0.15245914459228516,False,0,9,20180731123047630,Early,0,12,6,QD 6S,michael3,40,40,3040,850,all_folded,trash,3,M,0,0,0.136955952380915,0.3438008427685301,0.29097872994121654,0,none,,"[1, 0, 0, 0]",Deal,12,0,0,20,83,0.4,-0.448
7,1,0,1,0,7,0,0,1,6,0,60000.0,fold,0.75,0,0,727.112357142775,80,60,2,,,,,,,,,,,,0,9,0,0,0,0,10,4,14,0,3420,40,0.14843416213989258,False,0,9,20180731123047630,Early,0,10,4,TD 4C,michael3,40,40,13000,540,all_folded,trash,2,E,0,0,0.11260595238092835,0.3161105057876319,0.25485567998536274,0,none,,"[1, 0, 0, 0]",Deal,13,0,0,20,83,0.4,-0.45
