round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
1,0,8,6,deal,0,♠J ♣10,,20000,0.1904652777777775,0.3526340338895025,0,10,58,2,48,-10,8.281916666666561,0.14279166666666487,-35.90602777777781,-0.619069444444445,raise,0,1.4415209293365479
1,1,8,6,flop,1,♠J ♣10,♠10 ♦K ♣J,26,0.3076923076923077,0.440212428548446,696,0,0,8,20,-116,98.15384615384616,0.8461538461538463,98.15384615384616,-0.3846153846153846,raise,0,1.223701000213623
1,2,8,5,flop,0,♠J ♣10,♠10 ♦K ♣J,166,0.39457831325301207,0.4809949557755177,696,20,54,1,34,-136,211.16265060240966,0.9728915662650603,147.24096385542168,-0.21084337349397586,raise,0,1.2343339920043945
1,3,8,5,flop,0,♠J ♣10,♠10 ♦K ♣J,263,0.4011406844106464,0.48525661665780295,696,108,118,4,10,-224,281.8669201520912,1.005703422053232,139.86311787072242,-0.19771863117870725,raise,0,1.2346620559692383
1,4,8,5,turn,1,♠J ♣10,♠10 ♦K ♣J ♦6,17,0.29411764705882354,0.4556450995538137,1876,0,0,8,20,-352,199.76470588235293,0.47058823529411775,199.76470588235293,-0.4117647058823529,raise,0,1.2345619201660156
1,5,8,5,turn,0,♠J ♣10,♠10 ♦K ♣J ♦6,126,0.39285714285714285,0.48225307382212135,1876,20,77,4,57,-372,459.25,0.9642857142857142,368.5,-0.2142857142857143,raise,0,1.2310547828674316
1,6,8,5,river,1,♠J ♣10,♠10 ♦K ♣J ♦6 ♠8,20,0.675,0.4548351349665063,2646,0,0,8,20,-506,1280.0500000000002,2.375,1280.0500000000002,0.3500000000000001,raise,0,1.2284729480743408
1,7,8,4,river,0,♠J ♣10,♠10 ♦K ♣J ♦6 ♠8,134,0.5746268656716418,0.49061134071324186,2646,20,50,3,30,-526,1079.3880597014925,1.2985074626865671,1021.9253731343283,0.14925373134328357,raise,0,1.2415118217468262
2,0,8,7,deal,0,♠3 ♦J,,20000,0.09985416666666701,0.26998263225715724,0,0,67,3,67,0,-20.16839583333317,-0.30102083333333096,-53.61954166666662,-0.800291666666666,fold,0,0.10719513893127441
3,0,8,8,deal,0,♥7 ♥3,,20000,0.1581999999999991,0.3365248090984248,0,0,146,2,146,0,38.77759999999893,0.26559999999999273,-99.80560000000027,-0.6836000000000018,raise,0,0.1180260181427002
