round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
1,0,8,8,deal,0,♦Q ♣2,,20000,0.10569166666666674,0.2759436253965425,0,0,140,1,140,0,-21.625333333333263,-0.15446666666666609,-110.40633333333332,-0.7886166666666665,fold,0,0.1269230842590332
2,0,8,8,deal,0,♣3 ♠J,,20000,0.099854166666667,0.26998263225715724,0,0,40,1,40,0,-8.046666666666558,-0.20116666666666394,-32.01166666666664,-0.8002916666666658,fold,0,0.1117229461669922
3,0,8,7,deal,0,♦9 ♥8,,20000,0.12457361111111168,0.29803538846999084,0,0,22,1,22,0,-2.8156638888888,-0.12798472222221824,-16.518761111111086,-0.7508527777777767,fold,0,0.10718083381652832
4,0,8,8,deal,0,♣Q ♦Q,,20000,0.2869513888888909,0.3923217125896956,0,0,40,1,40,0,51.82444444444511,1.2956111111111277,-17.043888888888723,-0.4260972222222181,raise,0,0.34552502632141113
4,1,8,8,deal,0,♣Q ♦Q,,20000,0.2869513888888909,0.3923217125896956,0,80,166,1,86,-80,215.07144444444717,1.2956111111111277,-70.73213888888822,-0.4260972222222181,raise,0,0.10477113723754884
4,2,8,7,flop,0,♣Q ♦Q,♠5 ♠A ♠7,126,0.0873015873015873,0.28227649593299586,2656,0,6748,1,6748,-332,-2724.3492063492067,-0.38888888888888895,-5669.904761904762,-0.8253968253968254,fold,0,1.2315058708190918
5,0,8,8,deal,0,♣Q ♦10,,20000,0.1692138888888886,0.3364381167086419,0,0,20,1,20,0,7.074222222222176,0.3537111111111089,-13.231444444444456,-0.6615722222222228,raise,0,0.1051499843597412
5,1,8,8,deal,0,♣Q ♦10,,20000,0.1692138888888886,0.3364381167086419,0,40,71,2,31,-40,25.113488888888725,0.3537111111111089,-46.971627777777826,-0.6615722222222228,raise,0,0.09407591819763184
5,2,8,8,flop,0,♣Q ♦10,♣7 ♣10 ♦A,69,0.3115942028985507,0.4512578978823266,1136,0,60,1,60,-142,301.536231884058,1.4927536231884058,189.3623188405797,-0.37681159420289856,raise,0,1.2293879985809326
5,3,8,8,turn,0,♣Q ♦10,♣7 ♣10 ♦A ♥4,44,0.1590909090909091,0.36576083953252464,2037,0,41,1,41,-262,73.25,0.2727272727272727,34.11363636363637,-0.6818181818181819,raise,0,1.229856014251709
5,4,8,8,turn,0,♣Q ♦10,♣7 ♣10 ♦A ♥4,198,0.15656565656565655,0.3598994293195933,2037,82,110,1,28,-344,84.70202020202021,0.2525252525252526,-18.63131313131311,-0.6868686868686869,raise,0,1.2341649532318115
6,0,8,8,deal,0,♣5 ♠9,,20000,0.09849861111111173,0.2695802891269638,0,20,158,1,138,-20,-33.49775555555479,-0.21201111111110627,-126.8744388888887,-0.8030027777777766,fold,0,0.1129930019378662
7,0,8,8,deal,0,♣3 ♦3,,20000,0.13581388888888915,0.3246865497155833,0,10,110,1,100,-10,9.516222222222453,0.0865111111111132,-80.12094444444439,-0.7283722222222218,raise,0,0.1008601188659668
7,1,8,7,flop,1,♣3 ♦3,♠10 ♠8 ♣J,37,0.08494208494208494,0.2727957024348369,1430,0,0,8,20,-220,-98.53281853281855,-0.4054054054054055,-98.53281853281855,-0.8301158301158301,call,0,1.2292449474334717
7,2,8,6,flop,0,♣3 ♦3,♠10 ♠8 ♣J,303,0.0508015087223008,0.21725050404496912,1430,20,59,3,39,-240,-188.3701084394154,-0.6951909476661953,-200.35926449787843,-0.8983969825553983,call,0,1.243113994598389
7,3,8,6,turn,1,♣3 ♦3,♠10 ♠8 ♣J ♠3,32,0.28125,0.4496092053105675,1725,0,0,8,20,-279,206.15625,0.6875,206.15625,-0.4375,raise,0,1.2266600131988523
7,4,8,6,turn,0,♣3 ♦3,♠10 ♠8 ♣J ♠3,225,0.38666666666666666,0.4869861964733245,1725,20,60,2,40,-299,467.2000000000001,1.3199999999999998,374.4,-0.2266666666666667,raise,0,1.2394330501556396
7,5,8,6,river,1,♣3 ♦3,♠10 ♠8 ♣J ♠3 ♠5,71,0.0,0.0,2325,0,0,8,20,-399,-399.0,-1.0,-399.0,-1.0,call,0,1.229381084442139
7,6,8,6,river,0,♣3 ♦3,♠10 ♠8 ♣J ♠3 ♠5,622,0.014469453376205787,0.1194156116058516,2325,20,79,2,59,-419,-437.5,-0.9131832797427653,-442.072347266881,-0.9710610932475884,fold,0,1.2665340900421145
