N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
6,1,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,445.9718253968453,80,30,,,,,,,,,,,,0,9,0,0,0,0,10,6,16,0,3000,20,0.41509509086608887,False,0,20180730125002767,0,10,6C TD,michael3,20,all_folded,trash,2,E,0,0,0.14865727513228177,0.29346329040224284,0.2539593696452794,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,133,0.4,-0.29600000000000004
6,1,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,364.0539682539991,80,30,,,,,,,,,,,,0,9,0,0,0,0,8,4,12,0,3000,20,0.4107060432434082,False,0,20180730125002767,0,8,8D 4H,michael3,20,none,trash,1,E,0,0,0.12135132275133302,0.2706598495477484,0.2180057158348852,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,133,0.4,-0.29600000000000004
5,2,0,3,0,5,0,0,3,2,0,60000,check,0.75,0,20,383.84725661377416,80,50,,,,,,,,,,,,0,9,0,0,0,0,8,2,10,0,2980,0,0.43956780433654785,False,20,20180730125002767,0,8,8S 2D,michael3,0,all_folded,trash,BB,B,0,0,0.12880780423281013,0.262725926916231,0.1911154038986439,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,133,-0.4,-0.186
5,0,0,0,0,2,0,0,0,2,0,92,bet,0.75,1368,0,2980,50,0,AC 8C 6S,1,0,0,1,1,14,14,6,2,14,0,9,0,0,0,0,8,2,10,0,2980,0,0.2677340507507324,True,0,20180730125002767,1,8,8S 2D,michael3,20,none,ml_raise,BB,B,20,50,0.5380434782608695,0.47909388916096596,0.6616840253201843,0.4092356740280594,none,0.12880780423281013,"[0, 0, 1, 1368]",Flop,3,0,0,10,133,0.0,-0.248
5,1,0,3,0,5,0,0,3,2,0,60000,check,0.75,0,10,517.8640873014936,80,30,,,,,,,,,,,,0,9,0,0,0,0,11,4,15,0,3020,10,0.432858943939209,False,10,20180730125002767,0,11,JH 4C,michael3,10,all_folded,trash,SB,B,0,0,0.17147817460314357,0.2955494699430346,0.24158646013767215,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,133,0.0,-0.186
5,0,0,0,0,2,0,0,0,2,0,87,check,0.75,0,0,0,40,0,QC 8D 2S,0,0,0,1,1,12,12,2,1,12,0,9,0,0,0,0,11,4,15,0,3010,0,0.24175000190734863,True,0,20180730125002767,0,12,JH 4C,michael3,20,none,ml_fold,SB,B,20,40,0.3103448275862069,0.4436096665609866,0.4250782465696444,0.13886665298306333,none,0.17147817460314357,"[0, 1, 0, 0]",Flop,4,0,0,10,133,0.0,-0.248
5,1,0,2,0,5,0,0,2,3,0,60000,bet,0.75,518,0,566.6653902115328,80,30,,,,,,,,,,,,0,8,1,0,0,0,7,6,13,0,3050,20,0.5144329071044922,False,0,20180730125002767,0,7,7D 6H,michael3,20,all_folded,ml_raise,D,L,0,0,0.185791931216896,0.3137588653769617,0.2581345239541144,0,none,,"[0, 0, 1, 518]",Deal,5,0,0,10,133,0.4,-0.186
5,1,0,1,0,5,0,0,1,4,0,60000,bet,0.75,538,0,999.9229190472595,160,60,,,,,,,,,,,,0,8,0,1,0,0,11,9,20,1,3588,40,0.4864680767059326,False,0,20180730125002767,0,11,JC 9C,michael3,40,all_folded,ml_raise,2,E,0,0,0.27868531746021724,0.36439632234866,0.36207885073150237,0,none,,"[0, 0, 1, 538]",Deal,6,0,0,20,133,0.4,-0.186
5,0,0,0,0,2,0,0,0,2,0,122,check,0.75,0,0,0,1136,0,6D 6S 5S,0,2,6,0,2,6,6,5,2,6,0,8,0,1,0,0,11,9,20,1,3050,0,0.2763831615447998,True,0,20180730125002767,1,6,JC 9C,michael3,40,none,ml_fold,2,E,538,1136,0.35655737704918034,0.459327324432337,0.47534503151291874,0.0778720595889631,none,0.27868531746021724,"[0, 1, 0, 0]",Flop,6,0,0,20,133,0.0,-0.248
5,1,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,846.4114148145636,160,60,,,,,,,,,,,,0,9,0,0,0,0,12,7,19,0,4186,40,0.43601202964782715,False,0,20180730125002767,0,12,QS 7C,michael3,40,none,trash,1,E,0,0,0.2022005291004691,0.31112660882339627,0.2769057509906775,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,20,133,0.4,-0.186
5,3,0,2,0,5,0,0,2,3,0,60000,check,0.75,0,40,997.700349999658,160,140,,,,,,,,,,,,0,9,0,1,0,0,11,9,20,0,4146,0,0.4172830581665039,False,40,20180730125002767,0,11,9H JS,michael3,0,all_folded,trash,BB,B,0,0,0.24064166666658418,0.3377183311492144,0.32015166407304885,0,none,,"[0, 1, 0, 0]",Deal,8,0,0,20,133,-0.2857142857142857,-0.186
5,0,0,0,0,3,0,0,0,3,0,88,bet,0.75,2143,0,4146,140,0,TS JD 4S,0,2,11,2,1,11,11,4,2,10,0,9,0,1,0,0,11,9,20,0,4146,0,0.257936954498291,True,0,20180730125002767,1,11,9H JS,michael3,40,none,ml_raise,BB,B,40,140,0.5568181818181818,0.4967612044180544,0.6800149605138592,0.3161765151515976,none,0.24064166666658418,"[0, 0, 1, 2143]",Flop,8,0,0,20,133,0.0,-0.248
5,1,0,1,0,3,1,0,1,2,0,409,check,0.75,0,2143,2003,6023,5883,TS JD 4S,0,2,11,2,1,11,11,4,2,10,0,9,0,1,0,0,11,9,20,0,2003,1597,0.24553894996643066,False,0,20180730125002767,1,11,9H JS,michael3,1597,all_folded,ml_call,BB,B,40,140,0.6674816625916871,0.4632655063463509,0.7843183272151927,0.4268399959251029,bet,0.24064166666658418,"[0, 1, 0, 0]",Flop,8,0,0,20,133,0.2095800524934383,-0.248
4,1,0,2,0,4,0,0,2,2,0,60000,check,0.75,0,20,1995.9847555551435,160,60,,,,,,,,,,,,0,9,0,0,0,0,10,5,15,1,8006,20,0.4296000003814697,False,20,20180730125002767,0,10,5C TC,michael3,20,all_folded,trash,SB,B,0,0,0.24931111111105964,0.3394073226760243,0.282189793380648,0,none,,"[0, 1, 0, 0]",Deal,9,0,0,20,133,0.0,-0.076
4,0,0,0,0,2,0,0,0,2,0,115,check,0.75,0,0,0,80,0,2D QH 2H,0,0,0,1,2,2,12,2,2,12,0,9,0,0,0,0,10,5,15,1,7986,0,0.24395203590393066,True,0,20180730125002767,1,2,5C TC,michael3,40,none,ml_call,SB,B,40,80,0.4434782608695652,0.455713570374048,0.5666834261063393,0.19416714975850558,none,0.24931111111105964,"[0, 1, 0, 0]",Flop,9,0,0,20,133,0.0,-0.248
4,1,0,1,0,4,0,0,1,3,0,60000,bet,0.75,1891,0,2467.821507142501,160,60,,,,,,,,,,,,0,8,0,1,0,0,10,8,18,1,8066,40,0.48093175888061523,False,0,20180730125002767,0,10,TC 8C,michael3,40,all_folded,ml_raise,D,L,0,0,0.3059535714285273,0.3615204654681894,0.34097514193921113,0,none,,"[0, 0, 1, 1891]",Deal,10,0,0,20,133,0.4,-0.076
4,2,0,1,0,4,2,0,1,3,0,60000,bet,0.75,1457,1891,1889.263303571156,160,8915,,,,,,,,,,,,0,8,0,1,0,0,10,8,18,1,6175,3629,0.42302799224853516,False,0,20180730125002767,0,10,TC 8C,michael3,3629,all_folded,ml_raise,D,L,0,0,0.3059535714285273,0.3615204654681894,0.34097514193921113,0,bet,,"[0, 0, 1, 1457]",Deal,10,0,0,20,133,0.2893016581632653,-0.076
