N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
7,1,0,4,0,7,0,0,4,3,0,60000,bet,0.75,623,20,651.2719047619707,80,697,,,,,,,,,,,,0,8,0,0,0,0,13,9,22,1,2980,617,0.48786401748657227,False,20,20180730135735038,0,13,KD 9D,michael3,617,all_folded,ml_raise,BB,B,0,0,0.2185476190476412,0.3620184361623168,0.38633153746621596,0,none,,"[0, 0, 1, 623]",Deal,1,0,0,10,304,0.454337899543379,-0.406
7,1,0,5,0,7,0,0,5,2,0,60000,bet,0.75,406,643,515.1167380952903,80,1568,,,,,,,,,,,,0,8,0,0,0,0,13,9,22,1,2357,242,0.5683519840240479,False,0,20180730135735038,0,13,KD 9D,michael3,242,all_folded,ml_raise,BB,B,0,0,0.2185476190476412,0.3620184361623168,0.38633153746621596,0,bet,,"[0, 0, 1, 406]",Deal,1,0,0,10,304,0.13370165745856355,-0.406
7,1,0,0,0,7,0,0,0,7,0,60000,fold,0.75,0,10,515.4439680554232,80,292,,,,,,,,,,,,0,9,0,0,0,0,10,6,16,0,4079,92,0.4274420738220215,False,10,20180730135735038,0,10,TD 6S,michael3,92,none,trash,SB,B,0,0,0.1263652777777453,0.287336981886234,0.2612630740690854,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,304,0.21354166666666666,-0.406
7,1,0,2,0,7,0,0,2,5,0,60000,bet,0.75,584,0,640.1950033729408,80,271,,,,,,,,,,,,1,7,0,0,0,0,14,2,16,0,4079,221,0.4727649688720703,False,0,20180730135735038,0,14,AS 2D,michael3,221,all_folded,ml_raise,D,L,0,0,0.15694900793648955,0.31248551323119395,0.3046325986042999,0,none,,"[0, 0, 1, 584]",Deal,3,0,0,10,304,0.4491869918699187,-0.406
7,1,0,1,0,7,1,0,1,6,0,60000,fold,0.75,0,0,1028.2757936509079,80,3446,,,,,,,,,,,,0,7,1,0,1,0,12,11,23,0,4924,3396,0.46610498428344727,False,0,20180730135735038,0,12,QC JH,michael3,3396,all_folded,ml_fold,4,L,0,0,0.2088293650793883,0.34895026352472197,0.3738570842659694,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,304,0.4963460976322713,-0.406
6,1,0,2,0,6,0,0,2,4,0,60000,bet,0.75,1049,0,1099.74348518495,80,30,,,,,,,,,,,,0,4,0,0,0,1,7,7,14,0,4924,20,0.5397729873657227,False,0,20180730135735038,1,7,7H 7S,michael3,20,all_folded,ml_raise,3,L,0,0,0.22334351851847078,0.3411958753665795,0.3466235888174987,0,none,,"[0, 0, 1, 1049]",Deal,5,0,0,10,304,0.4,-0.29600000000000004
6,0,0,0,0,2,0,0,0,2,0,346,bet,0.75,3610,0,3875,2108,0,2C 3S KD,0,2,3,1,1,13,13,2,1,2,0,4,0,0,0,1,7,7,14,0,3875,0,0.2884337902069092,True,0,20180730135735038,1,7,7H 7S,michael3,20,none,ml_raise,3,L,1049,2108,0.6965317919075145,0.45975564680558456,0.8105511923152995,0.4731882733890437,none,0.22334351851847078,"[0, 0, 1, 3610]",Flop,5,0,0,10,304,0.0,-0.248
5,1,0,0,0,5,0,0,0,5,0,60000,bet,0.75,1624,0,1896.7752999992217,80,30,,,,,,,,,,,,1,7,0,0,0,0,14,7,21,0,7812,20,0.5185520648956299,False,0,20180730135735038,0,14,7S AD,michael3,20,none,ml_raise,1,E,0,0,0.24280277777767814,0.32822675693945497,0.3225552722648808,0,none,,"[0, 0, 1, 1624]",Deal,6,0,0,10,304,0.4,-0.186
5,1,0,2,0,5,0,0,2,3,0,60000,fold,0.75,0,40,1857.2021153432968,160,166,,,,,,,,,,,,0,9,0,0,0,0,13,3,16,1,7802,46,0.4460561275482178,False,40,20180730135735038,0,13,3H KH,michael3,46,all_folded,trash,BB,B,0,0,0.23804179894171967,0.3477758601317059,0.3172563800456927,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,20,304,0.02830188679245283,-0.186
5,2,0,1,0,5,0,0,1,4,0,60000,fold,0.75,0,20,1457.8207944441613,160,220,,,,,,,,,,,,0,9,0,0,0,0,9,4,13,1,7782,60,0.45542120933532715,False,20,20180730135735038,0,9,4S 9S,michael3,60,all_folded,trash,SB,B,0,0,0.18733240740737103,0.3219503245845374,0.2599055404006382,0,none,,"[1, 0, 0, 0]",Deal,8,0,0,20,304,0.14285714285714285,-0.186
5,1,0,2,0,5,0,0,2,3,0,60000,bet,0.75,2569,0,2836.187986506399,160,60,,,,,,,,,,,,1,2,0,0,1,0,14,13,27,1,7782,40,0.5325620174407959,False,0,20180730135735038,0,14,AS KS,michael3,40,all_folded,ml_raise,D,L,0,0,0.36445489417969656,0.38728129924327903,0.4539724110703771,0,none,,"[0, 0, 1, 2569]",Deal,9,0,0,20,304,0.4,-0.186
5,1,0,1,0,5,0,0,1,4,0,60000,fold,0.75,0,0,1303.4192349204372,160,60,,,,,,,,,,,,0,9,0,0,0,0,10,5,15,0,7842,40,0.45394372940063477,False,0,20180730135735038,0,10,TS 5C,michael3,40,all_folded,trash,2,E,0,0,0.16621005291002772,0.29255589567192314,0.2354521026138386,0,none,,"[1, 0, 0, 0]",Deal,10,0,0,20,304,0.4,-0.186
