N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
8,2,0,0,0,8,0,0,0,8,0,60000,fold,0.75,0,0,295.63611111110896,80,50,,,,,,,,,,,,0,9,0,0,0,0,11,3,14,0,3000,20,0.43100595474243164,False,0,20180730125347113,0,11,JC 3D,michael3,20,none,trash,2,E,0,0,0.09854537037036964,0.26861301117122377,0.2523394974461016,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,154,0.2857142857142857,-0.516
8,1,0,0,0,8,0,0,0,8,0,60000,fold,0.75,0,0,357.78611111111195,80,30,,,,,,,,,,,,0,9,0,0,0,0,8,3,11,1,3000,20,0.4533689022064209,False,0,20180730125347113,0,8,8D 3D,michael3,20,none,trash,1,E,0,0,0.11926203703703732,0.301540234518622,0.28649588058897957,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,154,0.4,-0.516
6,3,0,2,0,6,0,0,2,4,0,60000,check,0.75,0,10,497.2496560846513,80,70,,,,,,,,,,,,0,9,0,0,0,0,7,4,11,1,2990,10,0.4378981590270996,False,10,20180730125347113,0,7,4C 7C,michael3,10,all_folded,trash,SB,B,0,0,0.1663042328042312,0.3234485743146176,0.2765208711864294,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,154,0.0,-0.29600000000000004
6,0,0,0,0,4,0,0,0,4,0,84,check,0.75,0,0,0,80,0,KH QD 7D,0,2,13,2,1,13,13,7,2,12,0,9,0,0,0,0,7,4,11,1,2980,0,0.29093408584594727,True,0,20180730125347113,1,7,4C 7C,michael3,20,none,ml_fold,SB,B,20,80,0.23809523809523808,0.41887171632759945,0.34372283017522814,0.07179100529100688,none,0.1663042328042312,"[0, 1, 0, 0]",Flop,3,0,0,10,154,0.0,-0.248
6,1,0,1,0,4,0,0,1,3,0,431,fold,0.75,0,0,0,100,20,KH QD 7D,0,2,13,2,1,13,13,7,2,12,0,9,0,0,0,0,7,4,11,1,2980,20,0.24854707717895508,False,0,20180730125347113,1,7,4C 7C,michael3,20,all_folded,ml_fold,SB,B,20,80,0.2703016241299304,0.43687314598383925,0.38044229012649866,0.10399739132569921,check,0.1663042328042312,"[1, 0, 0, 0]",Flop,3,0,0,10,154,0.16666666666666666,-0.248
6,3,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,357.47228571430935,80,70,,,,,,,,,,,,0,9,0,0,0,0,6,3,9,0,2980,20,0.4996061325073242,False,0,20180730125347113,0,6,6S 3D,michael3,20,all_folded,trash,D,L,0,0,0.11995714285715078,0.27752910414421295,0.21613092130422787,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,154,0.2222222222222222,-0.29600000000000004
6,2,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,471.6476746031735,80,50,,,,,,,,,,,,0,9,0,0,0,0,4,3,7,1,2980,20,0.6586110591888428,False,0,20180730125347113,0,4,4D 3D,michael3,20,all_folded,trash,3,L,0,0,0.15827103174603138,0.3224659903917169,0.26630953643129873,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,154,0.2857142857142857,-0.29600000000000004
6,1,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,381.6863624338907,80,30,,,,,,,,,,,,0,9,0,0,0,0,7,4,11,0,2980,20,0.4664008617401123,False,0,20180730125347113,0,7,4C 7D,michael3,20,all_folded,trash,2,E,0,0,0.12808267195768144,0.28166487573554666,0.2270004961176415,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,154,0.4,-0.29600000000000004
6,1,0,0,0,6,0,0,0,6,0,60000,bet,0.75,511,0,559.273470899452,80,30,,,,,,,,,,,,1,7,0,0,0,0,14,3,17,0,2980,20,0.5515568256378174,False,0,20180730125347113,0,14,AC 3D,michael3,20,none,ml_raise,1,E,0,0,0.18767566137565506,0.32002454649304923,0.3032497350832607,0,none,,"[0, 0, 1, 511]",Deal,7,0,0,10,154,0.4,-0.29600000000000004
6,1,0,2,0,6,1,0,2,4,0,60000,fold,0.75,0,511,463.37120793649234,80,4513,,,,,,,,,,,,1,7,0,0,0,0,14,3,17,0,2469,2469,0.45920467376708984,False,0,20180730125347113,0,14,AC 3D,michael3,8569,all_folded,ml_fold,1,E,0,0,0.18767566137565506,0.32002454649304923,0.3032497350832607,0,bet,,"[1, 0, 0, 0]",Deal,7,0,0,10,154,0.35362360355199085,-0.29600000000000004
