N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
7,2,0,2,0,7,0,0,2,5,0,60000,fold,0.75,0,10,270.3422738094883,80,350,,,,,,,,,,,,0,9,0,0,0,0,8,3,11,0,2990,140,0.41986680030822754,False,10,20180730123325990,0,8,8C 3D,michael3,140,all_folded,trash,SB,B,0,0,0.0904154761904643,0.24860137738666566,0.20684656311000132,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,96,0.2653061224489796,-0.406
7,1,0,2,0,7,1,0,2,5,0,60000,fold,0.75,0,0,366.17414682530773,80,4630,,,,,,,,,,,,0,9,0,0,0,0,12,3,15,0,2990,2850,0.44289612770080566,False,0,20180730123325990,0,12,3S QH,michael3,2850,all_folded,trash,D,L,0,0,0.12246626984124005,0.2808766913542826,0.2555626327870506,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,96,0.3810160427807487,-0.406
6,1,0,2,0,6,0,0,2,4,0,60000,bet,0.75,644,0,673.2965846560473,80,30,,,,,,,,,,,,1,6,0,0,0,0,14,2,16,1,2990,20,0.5179991722106934,False,0,20180730123325990,0,14,AS 2S,michael3,20,all_folded,ml_raise,3,L,0,0,0.22518280423279174,0.3559212380696028,0.3488227904375602,0,none,,"[0, 0, 1, 644]",Deal,3,0,0,10,96,0.4,-0.29600000000000004
6,1,0,3,0,6,0,0,3,3,0,60000,fold,0.75,0,644,528.2788587301294,80,4288,,,,,,,,,,,,1,6,0,0,0,0,14,2,16,1,2346,2346,0.5292730331420898,False,0,20180730123325990,0,14,AS 2S,michael3,5101,all_folded,ml_fold,3,L,0,0,0.22518280423279174,0.3559212380696028,0.3488227904375602,0,bet,,"[1, 0, 0, 0]",Deal,3,0,0,10,96,0.35363280072354536,-0.29600000000000004
5,2,0,0,0,5,0,0,0,5,0,60000,bet,0.75,496,0,569.6153166664329,80,50,,,,,,,,,,,,1,7,0,0,0,0,14,7,21,0,2346,20,0.49330806732177734,False,0,20180730123325990,0,14,AD 7H,michael3,20,none,ml_raise,2,E,0,0,0.24280277777767814,0.32822675693945497,0.3225552722648808,0,none,,"[0, 0, 1, 496]",Deal,4,0,0,10,96,0.2857142857142857,-0.186
5,1,0,0,0,2,0,0,0,2,0,337,check,0.75,0,0,1850,2882,1850,AH TD TH,1,0,0,3,2,10,14,10,2,14,1,7,0,0,0,0,14,7,21,0,1850,1850,0.3332071304321289,False,0,20180730123325990,2,14,AD 7H,michael3,6565,none,ml_call,2,E,496,1032,0.7596439169139466,0.4059321151460093,0.8656142433234422,0.5168411391362685,none,0.24280277777767814,"[0, 1, 0, 0]",Flop,4,0,0,10,96,0.39095519864750633,-0.248
5,1,0,0,0,5,0,0,0,5,0,60000,bet,0.75,1266,0,1328.022655555041,80,30,,,,,,,,,,,,0,8,0,0,0,0,12,9,21,1,4732,20,0.49752068519592285,False,0,20180730123325990,0,12,9C QC,michael3,20,none,ml_raise,1,E,0,0,0.28064722222211347,0.36205468759806836,0.3642198928737769,0,none,,"[0, 0, 1, 1266]",Deal,5,0,0,10,96,0.4,-0.186
5,3,0,2,0,5,0,0,2,3,0,60000,bet,0.75,1298,20,1513.3133396818928,80,60,,,,,,,,,,,,1,7,0,0,0,0,14,8,22,0,5988,0,0.6315209865570068,False,20,20180730123325990,0,14,8C AH,michael3,0,all_folded,ml_raise,BB,B,0,0,0.2527243386242306,0.33306513089281276,0.33355514238916617,0,none,,"[0, 0, 1, 1298]",Deal,6,0,0,10,96,-0.3333333333333333,-0.186
5,1,0,2,0,5,0,0,2,3,0,60000,fold,0.75,0,20,1097.2498894177859,160,1940,,,,,,,,,,,,0,6,0,0,0,1,2,2,4,0,6028,1860,0.491497278213501,False,20,20180730123325990,1,2,2D 2H,michael3,1860,all_folded,ml_fold,SB,B,0,0,0.18202552910049533,0.33310412685624496,0.2537965245769439,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,20,96,0.4842105263157895,-0.186
5,2,0,1,0,5,0,0,1,4,0,60000,bet,0.75,1086,0,1394.8321560841737,160,100,,,,,,,,,,,,0,5,0,0,0,1,5,5,10,0,6028,40,0.4866969585418701,False,0,20180730123325990,1,5,5C 5D,michael3,40,all_folded,ml_raise,D,L,0,0,0.23139219576711573,0.33398890982182394,0.3098325764666604,0,none,,"[0, 0, 1, 1086]",Deal,8,0,0,20,96,0.2857142857142857,-0.186
