round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_call,util_raise_coeff,limitBet,action,amount,cputime
1,0,3,3,deal,False,♣Q ♠5,,20000,0.3352458333332897,0.472076333410136,1000,0,3000,0,0,0,20,20,20,1,3.46720833333028,-0.32950833333342056,313.1407818600012,call,0,0.09379887580871582
1,1,3,2,flop,True,♣Q ♠5,♦J ♦K ♣6,226,0.11946902654867257,0.31394109336401343,980,0,2980,20,0,20,20,40,0,3,-9.247787610619469,-0.7610619469026548,186.25,fold,0,1.2113168239593506
2,0,3,2,deal,False,♠4 ♠2,,20000,0.267843055555542,0.4428353567029318,1960,1,2960,0,20,20,0,20,20,2,10.71372222222168,-0.464313888888916,235.8909271415761,check,0,0.08257102966308594
3,0,3,2,deal,False,♣K ♠Q,,20000,0.4568527777777047,0.49813483838665595,1990,1,2990,0,10,10,10,20,20,1,12.842638888885237,-0.08629444444459056,466.5158803337184,call,0,0.08264589309692383
4,0,3,3,deal,False,♦9 ♥6,,20000,0.3074819444444141,0.4614507539110716,2020,1,3020,0,0,0,40,40,40,1,3.0474722222179764,-0.38503611111117175,283.64130849785954,call,0,0.0988149642944336
5,0,3,2,deal,False,♥2 ♠10,,20000,0.2681555555555358,0.44299904467192447,2040,1,3040,0,40,40,0,40,40,2,21.45244444444286,-0.46368888888892845,242.59810744230057,check,0,0.08204388618469238
5,1,3,2,flop,True,♥2 ♠10,♥10 ♠5 ♠7,290,0.5948275862068966,0.4882842635162655,2040,1,3040,40,0,40,40,80,0,3,55.17241379310346,0.18965517241379315,702.057597297843,bet,702,1.2081239223480225
5,2,3,2,turn,True,♥2 ♠10,♥10 ♠5 ♠7 ♥J,279,0.5053763440860215,0.4890995877653402,1338,1,2338,742,0,742,40,782,0,3,750.4086021505376,0.010752688172043001,420.716858698708,bet,420,1.2098350524902344
6,0,3,2,deal,False,♠8 ♥6,,20000,0.30942361111108296,0.46225603294933887,3030,1,4030,0,20,20,20,40,40,1,10.942361111108298,-0.3811527777778341,381.39387063320714,call,0,0.09793567657470703
7,0,3,3,deal,False,♦10 ♦4,,20000,0.3226749999999614,0.46749956617625466,3090,1,4090,0,0,0,80,80,80,1,10.34899999998919,-0.3546500000000772,407.32904998087434,call,0,0.08717107772827148
7,1,3,2,flop,True,♦10 ♦4,♥5 ♦K ♥10,282,0.5053191489361702,0.4919278232122468,3010,1,4010,80,0,80,80,160,0,3,101.91489361702128,0.010638297872340496,721.4702724107948,bet,721,1.2140188217163086
7,2,3,2,turn,True,♦10 ♦4,♥5 ♦K ♥10 ♣3,270,0.5222222222222223,0.49950592873308935,2289,1,3289,801,0,801,80,881,0,3,861.0444444444445,0.04444444444444451,620.9796879592342,bet,620,1.2115211486816406
9,0,3,3,deal,False,♠K ♦6,,20000,0.3685944444443909,0.48242365195865106,4130,1,5130,0,40,40,40,80,80,2,63.20644444442945,-0.26281111111121824,602.9640967854551,call,0,0.08703422546386719
9,1,3,2,flop,True,♠K ♦6,♥K ♣A ♣8,127,0.468503937007874,0.4930542426599453,4090,1,5090,80,0,80,80,160,0,3,107.4015748031496,-0.06299212598425197,822.3834042920321,call,0,1.2067890167236328
9,2,3,2,turn,True,♠K ♦6,♥K ♣A ♣8 ♦J,140,0.5178571428571429,0.48333186722742694,4010,1,5010,160,0,160,80,240,0,3,210.0,0.03571428571428581,934.2657921055368,bet,934,1.2216191291809082
10,0,3,3,deal,False,♥5 ♠9,,20000,0.28376111111108565,0.4508222964007967,3210,1,4210,0,0,0,160,160,160,1,-1.0937777777920417,-0.4324777777778287,467.77777777777777,fold,0,0.0916128158569336
12,0,3,2,deal,False,♣J ♠6,,20000,0.32010277777773777,0.4665157976282411,3210,1,4210,0,80,80,80,160,160,1,48.04111111109512,-0.35979444444452446,526.25,call,0,0.10225605964660645
13,0,3,3,deal,False,♥6 ♣J,,20000,0.32010277777773777,0.4665157976282411,3450,1,4450,0,0,0,320,320,320,1,38.51511111106629,-0.35979444444452446,635.7142857142857,call,0,0.0947868824005127
14,0,3,2,deal,False,♦7 ♣3,,20000,0.24388888888888186,0.42942647655382,3610,1,4610,0,320,320,0,320,320,2,156.08888888888438,-0.5122222222222363,768.3333333333334,check,0,0.08184170722961426
14,1,3,2,flop,True,♦7 ♣3,♥10 ♥J ♠10,303,0.10066006600660066,0.28539745886638235,3610,1,4610,320,0,320,320,640,0,3,-191.15511551155117,-0.7986798679867987,768.3333333333334,fold,0,1.2161002159118652
15,0,3,3,deal,False,♥7 ♣A,,20000,0.4075083333332722,0.4913708290051526,3450,1,4450,0,160,160,160,320,320,2,296.40933333326484,-0.18498333333345562,890.0,call,0,0.08686017990112305
15,1,3,2,flop,True,♥7 ♣A,♠9 ♦6 ♦A,116,0.7025862068965517,0.43538750217608413,3290,1,4290,320,0,320,320,640,0,3,804.1379310344828,0.4051724137931034,1329.7944343650097,bet,1329,1.2092978954315186
15,2,3,2,turn,True,♥7 ♣A,♠9 ♦6 ♦A ♣3,130,0.7307692307692307,0.4435600997950306,1961,1,2961,1649,0,1649,320,1969,0,3,2791.6153846153843,0.46153846153846145,993.1904521874342,bet,993,1.2070600986480713
