round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,util_raise_coeff,limitBet,action,amount,cputime
1,0,5,5,deal,False,♦10 ♣K,,20000,0.27973769841270635,0.4488702691195621,0.055302563852925285,1000,0,3000,0,0,0,870,870,870,1,0,-722.8951801512187,-0.8893948722941494,328.60729423585275,fold,0,0.09677290916442871
2,0,5,5,deal,False,♠J ♣6,,20000,0.18378531746032936,0.3873090168668105,0,2000,1,3000,0,0,0,870,870,870,1,0,-870,-1,203.36717242619187,fold,0,0.10774874687194824
3,0,5,5,deal,False,♦7 ♦8,,20000,0.2344924603174716,0.42368118482147704,0.02265186790673307,2000,1,3000,0,0,0,20,20,20,1,0,-18.414369246528686,-0.9546962641865339,267.59689135293536,fold,0,0.09692597389221191
4,0,5,3,deal,False,♠8 ♣5,,20000,0.1668281746031861,0.3728223903707434,0,2980,2,2980,0,20,20,860,880,880,1,-20,-860,-1,181.55689425361606,fold,0,0.09752917289733887
5,0,5,3,deal,False,♠6 ♥7,,20000,0.18357063492064607,0.38713364219023505,0,2970,2,2970,0,10,10,860,870,870,1,-10,-860,-1,201.07277210693036,fold,0,0.09882211685180664
6,0,5,5,deal,False,♦K ♣J,,20000,0.2862654761904851,0.4520149923751644,0.06025798000290289,2970,2,2970,0,0,0,870,870,870,1,0,-706.7008741921331,-0.8794840399941942,334.3473935686746,fold,0,0.0953378677368164
7,0,5,5,deal,False,♣A ♠K,,20000,0.33463928571429563,0.4718642115809607,0.09870717992381528,2970,2,2970,0,0,0,870,870,870,1,0,-606.4518296034132,-0.8025856401523694,403.92631398151065,fold,0,0.10265707969665527
8,0,5,5,deal,False,♣3 ♠K,,20000,0.1962619047619144,0.39716894327369007,0,2970,2,2970,0,0,0,40,40,40,1,0,-40,-1,216.6051340657409,fold,0,0.10470294952392578
9,0,5,2,deal,False,♦2 ♦6,,20000,0.16189166666667576,0.3683514014233714,0,2930,2,2930,0,40,40,850,890,890,1,-40,-850,-1,172.7327849742066,fold,0,0.10469579696655273
10,0,5,3,deal,False,♦6 ♠10,,20000,0.18073134920636094,0.3847954373695319,0,2910,2,2910,0,20,20,850,870,870,1,-20,-850,-1,193.63839442296344,fold,0,0.09644818305969238
