,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
(=´ᴥ`),False,0,,0,False,False,True,False,2,0,,False,,
ヽ(=^･ω･^=)丿,True,0,♥9 ♥7,0,False,False,True,True,2,0,,True,,
( ´_ゝ`) Dracarys,False,0,,0,False,False,True,False,2,0,,False,,
隨便,False,0,,0,False,False,True,False,2,0,,False,,
Yeeeee,False,0,♦Q ♣2,11370,True,False,True,True,0,0,,False,True,11370.0
ERS yo,False,0,♠7 ♠J,1510,True,False,True,True,2,0,SB,False,True,1510.0
poy and his good friends,False,0,♥A ♣J,8120,True,False,True,True,2,0,BB,False,True,8120.0
