N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tight,tightness
10,3,4,4,1,10,0,4,4,6,1,60000.0,check,0.75,0,20,190,1,,,,,,,,,,,,0,9,0,0,0,0,13,5,18,0,2980,20,0.23168730735778809,False,20,10,20180802123140306,Early,0,13,5,5H KS,michael4,40,20,2980,2960,any_raised,trash,BB,B,0,0,0.08235166666666674,0.274899744750498,0.21320394516790372,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,84,0.0,True,-0.4759999999999998
10,3,7,4,3,10,0,8,4,6,3,60000.0,fold,0.75,0,40,1630,1,,,,,,,,,,,,0,9,0,0,0,0,13,5,18,0,2960,400,0.26468610763549805,False,0,10,20180802123140306,Early,0,13,5,5H KS,michael4,440,400,2960,2560,any_raised,trash,BB,B,0,0,0.08235166666666674,0.274899744750498,0.21320394516790372,0,check/call,,"[1, 0, 0, 0]",Deal,1,1,0,10,84,0.19704433497536947,True,-0.4759999999999998
10,3,5,2,1,10,0,5,2,8,1,60000.0,fold,0.75,0,10,210,1,,,,,,,,,,,,0,9,0,0,0,0,5,3,8,0,2950,30,0.2261059284210205,False,10,10,20180802123140306,Early,0,5,3,3D 5H,michael4,40,30,2980,2140,any_raised,trash,SB,B,0,0,0.07353361111111112,0.2610103813032558,0.19829657337406736,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,84,0.08333333333333333,True,-0.4779999999999998
10,2,3,3,1,10,0,3,3,7,1,60000.0,fold,0.75,0,0,150,1,,,,,,,,,,,,0,8,0,1,0,0,11,9,20,1,2950,40,0.23505115509033203,False,0,10,20180802123140306,Early,0,11,9,9C JC,michael4,40,40,4710,1700,any_raised,trash,D,L,0,0,0.14785472222222198,0.35495591745850863,0.31823356260230606,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,84,0.21052631578947367,True,-0.4799999999999998
9,3,2,3,0,9,0,2,3,6,0,60000.0,check,0.75,0,0,70,1,,,,,,,,,,,,0,9,0,1,0,0,10,8,18,0,2950,20,0.22894620895385742,False,0,10,20180802123140306,Early,0,10,8,8D TH,michael4,20,20,5470,1510,any_called,trash,6,L,0,0,0.12718333333334786,0.3331782301645268,0.25112563495455176,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,84,0.2222222222222222,True,-0.37199999999999983
9,1,1,0,2,5,0,1,0,5,2,362,fold,0.75,0,0,260,1,8H QH AH,1,0,0,2,1,14,14,8,3,14,0,9,0,1,0,0,10,8,18,0,2930,240,0.2878749370574951,False,0,10,20180802123140306,Early,1,8,14,8D TH,michael4,240,240,5460,1270,any_raised,fold,6,L,20,120,0.3411602209944751,0.47190899694862376,0.6000183111591175,0.21397688766112727,none,0.12718333333334786,"[1, 0, 0, 0]",Flop,4,0,0,10,84,0.3870967741935484,True,-0.5460000000000003
9,3,2,2,0,9,0,2,2,7,0,60000.0,check,0.75,0,0,70,1,,,,,,,,,,,,0,4,0,0,0,1,7,7,14,0,2930,20,0.23932099342346191,False,0,10,20180802123140306,Early,1,7,0,7D 7S,michael4,20,20,5460,1230,any_called,ml_fold,5,M,0,0,0.1526685185185344,0.3596676826904113,0.2871842318447482,0,none,,"[0, 1, 0, 0]",Deal,5,0,0,10,84,0.2222222222222222,True,-0.37399999999999983
9,1,1,0,3,6,0,1,0,6,3,327,fold,0.75,0,0,200,1,AD 6C 8S,1,0,0,1,1,14,14,6,1,6,0,4,0,0,0,1,7,7,14,0,2910,120,0.27736592292785645,False,0,10,20180802123140306,Early,1,7,14,7D 7S,michael4,120,120,5210,1110,any_raised,fold,5,M,20,120,0.1743119266055046,0.37328289926713626,0.38221079035262695,0.021643408086970184,none,0.1526685185185344,"[1, 0, 0, 0]",Flop,5,0,0,10,84,0.2727272727272727,True,-0.5480000000000003
9,2,1,2,0,9,0,1,2,7,0,60000.0,check,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,7,3,10,1,2910,20,0.23000693321228027,False,0,10,20180802123140306,Early,0,7,3,7S 3S,michael4,20,20,11360,1790,any_called,trash,4,M,0,0,0.11119629629630584,0.3143750626024431,0.22940131983482437,0,none,,"[0, 1, 0, 0]",Deal,6,0,0,10,84,0.2857142857142857,True,-0.37599999999999983
9,1,0,2,1,6,0,0,2,4,1,338,check,0.75,0,0,20,1,6S 7C QC,0,2,7,1,1,12,12,6,2,12,0,9,0,0,0,0,7,3,10,1,2890,20,0.2878577709197998,False,0,10,20180802123140306,Early,1,7,12,7S 3S,michael4,20,20,11340,1760,any_raised,ml_fold,4,M,20,120,0.22633136094674555,0.41341765141286085,0.45648219516122057,0.11513506465043971,none,0.11119629629630584,"[0, 1, 0, 0]",Flop,6,0,0,10,84,0.125,True,-0.5500000000000003
