N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tight,tightness
6,2,1,0,0,6,0,1,0,6,0,60000.0,check,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,10,6,16,0,3000,20,0.20828008651733398,False,0,6,20180802133020375,Early,0,10,6,6H TS,michael4,20,20,3000,2980,any_called,trash,2,E,0,0,0.14865727513228175,0.3557503193006674,0.1529262789638897,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,211,0.2857142857142857,True,-0.011999999999999789
6,1,4,1,1,6,1,5,1,5,1,60000.0,fold,0.75,0,20,3100,1,,,,,,,,,,,,0,9,0,0,0,0,10,6,16,0,2980,2980,0.19405293464660645,False,0,6,20180802133020375,Early,0,10,6,6H TS,michael4,3000,2980,2980,0,any_raised,trash,2,E,0,0,0.14865727513228175,0.3557503193006674,0.1529262789638897,0,check/call,,"[1, 0, 0, 0]",Deal,1,1,0,10,211,0.4901315789473684,True,-0.011999999999999789
4,3,2,1,0,4,0,2,1,3,0,60000.0,check,0.75,0,20,60,1,,,,,,,,,,,,0,9,0,0,0,0,11,3,14,1,2960,0,0.20603418350219727,False,20,6,20180802133020375,Late,0,11,3,3D JD,michael4,20,0,2960,2960,any_called,trash,BB,B,0,0,0.2510668650793065,0.43362690684337823,0.16000521464219694,0,none,,"[0, 1, 0, 0]",Deal,2,0,0,10,211,-0.3333333333333333,False,0.21000000000000024
4,0,1,0,0,3,0,1,0,3,0,333,check,0.75,0,0,0,1,2C 2D 3H,0,2,3,0,2,2,3,2,1,2,0,9,0,0,0,0,11,3,14,1,2960,0,0.2611680030822754,True,0,6,20180802133020375,Late,2,3,2,3D JD,michael4,0,20,2960,2960,any_called,ml_call,BB,B,20,60,0.47297297297297297,0.4878609213175606,0.7695387622144658,0.2219061078936665,none,0.2510668650793065,"[0, 1, 0, 0]",Flop,2,0,0,10,211,0.0,False,-0.5940000000000003
4,1,0,0,1,3,0,0,0,3,1,343,check,0.75,0,0,20,1,2C 2D 3H KH,0,2,3,1,2,2,13,2,2,13,0,9,0,0,0,0,11,3,14,1,2960,20,0.26939892768859863,False,0,6,20180802133020375,Late,2,3,2,3D JD,michael4,20,20,2960,2940,any_raised,ml_call,BB,B,20,60,0.41545189504373176,0.4724111743563637,0.7398272413679683,-0.057521077929241216,none,0.47297297297297297,"[0, 1, 0, 0]",Turn,2,0,0,10,211,0.2,False,-0.6582294939543728
4,2,1,1,0,4,0,1,1,3,0,60000.0,check,0.75,0,10,50,1,,,,,,,,,,,,0,9,0,0,0,0,5,2,7,0,3030,10,0.21035075187683105,False,10,6,20180802133020375,Late,0,5,2,2H 5S,michael4,20,10,2940,2920,any_called,trash,SB,B,0,0,0.17304563492063665,0.37828672082899023,0.09284885010489063,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,211,0.0,False,0.21200000000000024
4,0,0,0,0,3,0,0,0,3,0,102,check,0.75,0,0,0,1,4C 7H 9S,0,0,0,0,1,9,9,4,1,4,0,9,0,0,0,0,5,2,7,0,3020,0,0.24121713638305664,True,0,6,20180802133020375,Late,0,9,7,2H 5S,michael4,0,20,2940,2920,none,ml_fold,SB,B,20,60,0.08823529411764706,0.28363678708802803,0.2572828192221119,-0.08481034080298959,none,0.17304563492063665,"[0, 1, 0, 0]",Flop,3,0,0,10,211,0.0,False,-0.5960000000000003
4,0,0,0,0,3,0,0,0,3,0,108,check,0.75,0,0,0,1,4C 7H 9S QH,0,0,0,1,1,12,12,4,2,12,0,9,0,0,0,0,5,2,7,0,3020,0,0.24960613250732422,True,0,6,20180802133020375,Late,0,12,9,2H 5S,michael4,0,20,2940,2920,none,ml_call,SB,B,20,60,0.05555555555555555,0.2290614236454256,0.20649441338693883,-0.03267973856209151,none,0.08823529411764706,"[0, 1, 0, 0]",Turn,3,0,0,10,211,0.0,False,-0.6589449040752854
4,0,0,0,0,3,0,0,0,2,0,117,check,0.75,0,0,0,1,4C 7H 9S QH 2S,0,0,0,1,1,12,12,2,2,12,0,9,0,0,0,0,5,2,7,0,3020,0,0.24985909461975098,True,0,6,20180802133020375,Late,1,2,12,2H 5S,michael4,0,20,2940,2940,none,ml_call,SB,B,20,60,0.20085470085470086,0.3925580639714501,0.4934271419926649,0.1452991452991453,none,0.05555555555555555,"[0, 1, 0, 0]",River,3,0,0,10,211,0.0,False,-0.7302634095770971
4,2,1,0,0,4,0,1,0,4,0,60000.0,check,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,12,4,16,0,3080,20,0.20990395545959473,False,0,6,20180802133020375,Late,0,12,4,QH 4D,michael4,20,20,9040,2900,any_called,trash,D,L,0,0,0.2359220238094677,0.4245736950060762,0.14506325307816728,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,211,0.2857142857142857,False,0.21400000000000025
4,3,3,0,1,4,0,4,0,4,1,60000.0,fold,0.75,0,20,1193,1,,,,,,,,,,,,0,9,0,0,0,0,12,4,16,0,3060,371,0.20682597160339355,False,0,6,20180802133020375,Late,0,12,4,QH 4D,michael4,391,371,8669,2529,any_raised,trash,D,L,0,0,0.2359220238094677,0.4245736950060762,0.14506325307816728,0,check/call,,"[1, 0, 0, 0]",Deal,4,1,0,10,211,0.23721227621483376,False,0.21400000000000025
