,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
e0e88e3d27a4885d3dffb13f3b30d05b,True,0,♥6 ♦9,0,False,False,True,True,2,0,BB,False,,
4fb82145dc3003a76c5b44a7704422d3,False,0,♣9 ♦K,1882,True,False,True,True,1,0,D,False,True,1882.0
ab2716a7e6448e0707e533a7e7255ea7,False,0,♣4 ♣6,10118,True,False,True,True,2,0,SB,False,True,10118.0
a980d10665f268b0ec6c13ebea43034f,False,0,,0,False,False,True,False,2,0,,True,,
