,chips,pot,reld,bet,pos,cards,act,amt
930241b5a8bee6e10a1205a599f70b06,12010,0,0,0,SB,[♥J ♥Q],win,14010
58673a2ed47b93de2334d9d0763d1bbb,0,0,2,0,BB,[♣Q ♥7],,
10d37768c10734ced8918a52ecdd7225,1000,0,1,0,,[♦2 ♦9],win,2000
f6ab57f4b3ca3739ad29da1cf4f26452,0,0,2,0,,[♠8 ♥4],,
ed9287d402d9de370a4622e98cf8330f,0,0,2,0,,[♣J ♦5],,
Me,990,0,1,0,,[Folded],win,1990
