round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,maxBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,action,amount,cputime
1,0,4,3,deal,0,♠3 ♠2,,20000,0.24494523809525418,0.346686456623957,990,0,0,10,10,1000,0,50,20,2,3,10,-10,-5.303285714284749,-0.26516428571423745,-7.752738095237291,-0.5101095238094917,280.42737915322226,270.42737915322226,call,0,0.10529184341430664
1,1,4,3,flop,1,♠3 ♠2,♦4 ♠5 ♦J,97,0.30927835051546393,0.46219611899917307,980,0,20,0,20,980,60,0,0,4,3,0,-20,-21.443298969072163,-0.07216494845360821,-21.443298969072163,-0.38144329896907214,368.0751847850763,348.0751847850763,fold,0,1.1393179893493652
1,2,5,5,deal,0,♦Q ♥Q,,20000,0.45553611111107595,0.34051243416164334,1000,0,0,0,20,1000,0,50,20,2,5,50,0,25.553611111107593,1.2776805555553796,2.7768055555537963,-0.0889277777778481,608.8197506217933,608.8197506217933,bet,121,0.10503196716308594
2,0,5,5,deal,0,♣K ♥6,,20000,0.22186547619048574,0.3212431512421743,1151,0,0,0,20,1151,0,30,20,1,5,70,0,2.186547619048575,0.10932738095242867,-13.344035714285429,-0.5562690476190285,263.85762898227415,263.85762898227415,call,0,0.11356091499328613
2,1,5,3,flop,0,♣K ♥6,♥8 ♣3 ♦4,269,0.08550185873605948,0.27962705678946453,1131,0,20,0,20,1131,60,20,20,1,3,40,-20,-29.739776951672862,-0.7434944237918215,-33.15985130111524,-0.828996282527881,93.41565432919403,73.41565432919403,call,0,1.158308744430542
3,0,5,3,deal,0,♣2 ♣Q,,20000,0.21581587301588165,0.33793796939936854,1191,0,0,20,0,1211,0,60,20,3,3,0,-20,-7.0510476190471,-0.3525523809523551,-7.0510476190471,-0.5683682539682366,258.9579119348662,238.95791193486622,check,0,0.10761713981628418
3,1,5,3,flop,0,♣2 ♣Q,♥10 ♠3 ♣5,144,0.09027777777777778,0.27838475351149233,1191,0,20,0,20,1191,60,20,20,1,3,40,-20,-29.166666666666664,-0.7291666666666667,-32.77777777777778,-0.8194444444444444,100.78323195882946,80.78323195882946,call,0,1.1461048126220703
3,2,5,3,flop,0,♣2 ♣Q,♥10 ♠3 ♣5,471,0.1316348195329087,0.3296139881002703,1171,0,20,20,920,1191,60,1779,940,1,1,920,-40,-596.8195329087049,-0.8683651804670913,-717.9235668789809,-0.7367303609341826,149.4006190958339,109.40061909583389,fold,0,1.1621949672698975
4,0,5,4,deal,0,♥10 ♣J,,20000,0.2945134920635008,0.3544677878872192,1161,0,0,10,10,1171,0,70,20,3,4,10,-10,3.561079365080065,0.17805396825400321,0.6159444444450557,-0.4109730158729984,368.1138646627844,358.1138646627844,call,0,0.10595893859863281
4,1,5,4,flop,1,♥10 ♣J,♦5 ♥2 ♥8,78,0.15384615384615385,0.3608012122941099,1151,0,20,0,20,1151,80,0,0,5,4,0,-20,-27.692307692307693,-0.3846153846153846,-27.692307692307693,-0.6923076923076923,175.71243779710537,155.71243779710537,call,0,1.1499989032745361
4,2,5,3,turn,1,♥10 ♣J,♦5 ♥2 ♥8 ♦8,103,0.06310679611650485,0.2381116207462276,1131,0,40,0,20,1131,140,0,0,5,3,0,-40,-51.16504854368932,-0.8106796116504854,-51.16504854368932,-0.8737864077669903,68.12935348753663,28.129353487536633,fold,0,1.152278184890747
5,0,5,5,deal,0,♦J ♣8,,20000,0.2150206349206469,0.3231877236683046,1131,0,0,0,20,1131,0,70,20,3,5,30,0,1.5020634920646891,0.07510317460323446,-4.948555555554716,-0.5699587301587061,253.02940753204092,253.02940753204092,call,0,0.12332487106323242
5,1,5,3,flop,0,♦J ♣8,♥A ♠5 ♠K,449,0.10155902004454344,0.28895367915855025,1111,0,20,0,20,1111,100,20,20,1,3,40,-20,-23.75055679287305,-0.6953229398663696,-27.812917594654788,-0.7968819599109132,111.21496160196904,91.21496160196904,call,0,1.1700329780578613
5,2,5,3,flop,0,♦J ♣8,♥A ♠5 ♠K,835,0.09383233532934131,0.2767556619826529,1091,0,20,20,20,1111,100,100,40,2,3,20,-40,-39.35688622754491,-0.718502994011976,-41.23353293413174,-0.8123353293413174,101.66432643076894,61.66432643076894,call,0,1.1670811176300049
5,3,5,2,turn,1,♦J ♣8,♥A ♠5 ♠K ♣9,311,0.01929260450160772,0.1375514446058356,1071,0,60,0,20,1071,220,0,0,5,2,0,-60,-75.7556270096463,-0.9614147909967845,-75.7556270096463,-0.9614147909967845,19.97059879789982,-40.029401202100175,fold,0,1.1553058624267578
6,0,5,4,deal,0,♥K ♦J,,20000,0.28480595238096046,0.35132826918911486,1071,0,0,0,40,1071,0,60,40,1,4,100,0,5.568952380953675,0.13922380952384183,-22.911642857142372,-0.4303880952380791,343.6233072051492,343.6233072051492,call,0,0.10965394973754883
6,1,5,3,flop,1,♥K ♦J,♦A ♠6 ♠J,204,0.31862745098039214,0.4659442010178149,1031,0,40,0,40,1031,120,0,0,5,3,0,-40,-41.76470588235294,-0.044117647058823595,-41.76470588235294,-0.36274509803921573,388.1625939300533,348.1625939300533,fold,0,1.1599879264831543
7,0,5,5,deal,0,♣4 ♦7,,20000,0.18632103174604212,0.31173572565410423,1031,0,0,0,40,1031,0,60,40,1,5,140,0,-2.735793650791578,-0.06839484126978945,-28.820738095237473,-0.6273579365079158,208.61677535465307,208.61677535465307,fold,0,0.0988621711730957
8,0,5,4,deal,0,♣10 ♣6,,20000,0.22084682539683637,0.34012208213684714,991,0,0,40,40,1031,0,280,80,3,4,40,-40,-9.329015873012366,-0.11661269841265454,-18.162888888885817,-0.5583063492063273,249.15341933229402,209.15341933229402,call,0,0.11612510681152344
9,0,5,4,deal,0,♣Q ♦5,,20000,0.1911329365079489,0.3047462610556409,971,0,0,20,20,991,0,140,40,3,4,20,-20,-9.418730158728174,-0.23546825396820437,-13.241388888887151,-0.6177341269841021,210.36946380441776,190.36946380441776,call,0,0.19666194915771484
10,0,5,4,deal,0,♦4 ♠Q,,20000,0.18770714285715392,0.3060335792196869,1971,1,0,0,40,1971,0,100,40,2,4,60,0,-9.966857142855371,-0.2491714285713843,-21.229285714284607,-0.6245857142856921,206.17800079682056,206.17800079682056,fold,0,0.19936728477478027
11,0,5,4,deal,0,♥5 ♠Q,,20000,0.1911329365079489,0.3047462610556409,1971,1,0,0,80,1971,0,120,80,1,4,200,0,-18.837460317456348,-0.23546825396820437,-57.064047619046136,-0.6177341269841021,210.36946380441776,210.36946380441776,fold,0,0.18472719192504883
12,0,5,5,deal,0,♥10 ♥K,,20000,0.3146765873015929,0.3720538172399347,1971,1,0,0,80,1971,0,120,80,1,5,280,0,45.87063492063717,0.5733829365079646,-42.23880952380885,-0.37064682539681415,374.74483025957767,374.74483025957767,bet,74,0.23909211158752441
13,0,5,4,deal,0,♦3 ♠6,,20000,0.1706932539682649,0.3004387483167913,1891,1,0,80,0,1971,0,320,80,4,4,0,-80,-25.378158730155235,-0.3172269841269404,-25.378158730155235,-0.6586134920634702,180.6217864562726,100.62178645627259,check,0,0.22025823593139648
14,0,5,5,deal,0,♥4 ♠A,,20000,0.23508531746032796,0.33131275851152403,1851,1,0,40,40,1891,0,360,80,4,5,40,-40,14.034126984131177,0.17542658730163985,4.630714285718071,-0.5298293650793441,255.04357765992242,215.04357765992242,call,0,0.26687002182006836
15,0,5,5,deal,0,♠2 ♠J,,20000,0.20093412698413574,0.33140722335512335,1851,1,0,0,80,1851,0,280,80,3,5,120,0,0.3736507936542921,0.004670634920678651,-23.738444444441996,-0.5981317460317286,213.4747522538695,213.4747522538695,call,0,0.19992303848266602
16,0,5,5,deal,0,♦3 ♥4,,20000,0.16966626984127942,0.3044879617126596,1851,1,0,0,160,1851,0,400,160,2,5,400,0,-24.266984126976467,-0.15166865079360292,-92.13349206348823,-0.6606674603174412,176.9448890723938,176.9448890723938,fold,0,0.18839097023010254
17,0,5,5,deal,0,♥3 ♦9,,20000,0.14429642857144176,0.2756740277214168,1851,1,0,0,160,1851,0,240,160,1,5,560,0,-44.562857142846596,-0.2785178571427912,-125.36885714285398,-0.7114071428571165,148.3026103908313,148.3026103908313,fold,0,0.23858904838562012
18,0,5,4,deal,0,♥5 ♠J,,20000,0.17919523809524882,0.3005967597580463,1691,1,0,160,0,1851,0,640,160,4,4,0,-160,-45.315047619040755,-0.28321904761900474,-45.315047619040755,-0.6416095238095023,177.382933340197,17.382933340197013,check,0,0.270219087600708
19,0,5,3,deal,0,♥7 ♠K,,20000,0.22570158730159892,0.3222966683810056,1611,1,0,80,80,1691,0,400,160,2,3,80,-80,-51.663238095232515,-0.32289523809520326,-69.71936507936043,-0.5485968253968021,222.94662659224366,142.94662659224366,call,0,0.4112081527709961
20,0,5,4,deal,0,♠2 ♦J,,20000,0.15848928571429705,0.2875146482728524,1611,1,0,0,160,1611,0,400,160,2,4,240,0,-58.5668571428499,-0.3660428571428118,-96.60428571428119,-0.6830214285714059,150.3956517791812,150.3956517791812,fold,0,0.25392699241638184
21,0,5,5,deal,0,♣10 ♣Q,,20000,0.29737936507937274,0.3702777520397214,1611,1,0,0,320,1611,0,800,320,2,4,778,0,149.26463809525018,0.18951746031749095,-82.09650793650181,-0.4052412698412545,307.61145465270556,307.61145465270556,call,0,0.22064828872680664
22,0,5,5,deal,0,♥6 ♠2,,20000,0.16327103174604285,0.29696826199829124,1611,1,0,0,320,1611,0,480,320,1,5,1120,0,-58.76634920633143,-0.18364484126978575,-241.62990476189944,-0.6734579365079143,155.36234762054417,155.36234762054417,fold,0,0.2597081661224365
23,0,5,4,deal,0,♦7 ♥5,,20000,0.193702777777789,0.31456220933599427,1291,1,0,320,0,1611,0,1280,320,4,4,0,-320,-72.06044444443009,-0.22518888888884403,-72.06044444443009,-0.612594444444422,164.65383648203962,-155.34616351796038,check,0,0.22623896598815918
24,0,5,4,deal,0,♣A ♣4,,20000,0.28064722222223115,0.36713181041952164,1131,1,0,160,160,1291,0,1120,320,3,4,160,-160,39.228444444455874,0.12258888888892461,-5.675111111101103,-0.4387055555555377,234.31954597840263,74.31954597840263,call,0,0.29717183113098145
25,0,5,5,deal,0,♥6 ♦4,,20000,0.1806420634920749,0.30662670056261887,1131,1,0,0,640,1131,0,1600,640,2,3,680,0,-228.13609523806923,-0.4580738095237753,-350.9726984126802,-0.6387158730158502,141.72434227127522,141.72434227127522,fold,0,0.21489214897155762
26,0,5,5,deal,0,♣2 ♠K,,20000,0.1904126984127085,0.3084030315135155,1131,1,0,0,640,1131,0,960,640,1,4,1600,0,-152.54349206346626,-0.238349206349166,-457.2038095237998,-0.6191746031745831,150.25793589024116,150.25793589024116,fold,0,0.37743186950683594
27,0,5,4,deal,0,♥K ♦3,,20000,0.1999067460317553,0.3126640071373113,491,1,0,640,0,1131,0,1920,640,3,3,0,-640,-256.17904761902986,-0.40027976190473413,-256.17904761902986,-0.6001865079364894,111.00232353564627,-528.9976764643537,check,0,0.1445908546447754
