round_id,playerName,chips,reloadCount,cards,hand,position,act_deal,bet_deal,act_flop,bet_flop,act_turn,bet_turn,act_river,bet_river,allIn,folded,rank,message,winMoney
10,ヽ(=^･ω･^=)丿,920,2,♦Q ♣9,♦Q ♣9 ♥A ♠A ♥5 ♦J ♥K,,fold,0.0,fold,0.0,fold,0.0,fold,0,False,True,21.1792,Pair,0.0
10,Chicken Dinner,912,0,♣10 ♠5,♣10 ♠5 ♥A ♠A ♥5 ♦J ♥K,SB,call,40.0,bet,206.0,bet,165.0,allin,501,True,False,91.1024,Two Pair,0.0
10,PCB,1000,1,♦K ♣A,♦K ♣A ♥A ♠A ♥5 ♦J ♥K,BB,call,40.0,call,206.0,call,165.0,allin,589,True,False,279.0,Full House,2912.0
10,A_P_T^T,932,0,♠6 ♦10,♠6 ♦10 ♥A ♠A ♥5 ♦J ♥K,,fold,0.0,fold,0.0,fold,0.0,fold,0,False,True,21.1408,Pair,0.0
11,(=^-Ω-^=),5236,2,♣4 ♠5,♣4 ♠5 ♣9 ♥J ♦9 ♣K ♥K,,fold,0.0,fold,0.0,fold,0.0,fold,0,False,True,84.0256,Two Pair,0.0
11,ヽ(=^･ω･^=)丿,920,2,♥2 ♠2,♥2 ♠2 ♣9 ♥J ♦9 ♣K ♥K,,fold,0.0,fold,0.0,fold,0.0,fold,0,False,True,84.0256,Two Pair,0.0
11,Chicken Dinner,2000,2,♣10 ♦6,♣10 ♦6 ♣9 ♥J ♦9 ♣K ♥K,,call,80.0,check,0.0,check,0.0,bet,448,False,False,84.0256,Two Pair,0.0
11,PCB,2912,1,♥Q ♦2,♥Q ♦2 ♣9 ♥J ♦9 ♣K ♥K,SB,fold,40.0,fold,0.0,fold,0.0,fold,0,False,True,84.0512,Two Pair,0.0
11,A_P_T^T,932,0,♦Q ♦3,♦Q ♦3 ♣9 ♥J ♦9 ♣K ♥K,BB,call,80.0,check,0.0,check,0.0,call,448,False,False,84.0512,Two Pair,1096.0
12,(=^-Ω-^=),5236,2,♦4 ♠5,♦4 ♠5 ♥K ♥4 ♣9 ♥2 ♦K,BB,fold,80.0,fold,0.0,fold,0.0,fold,0,False,True,79.0064,Two Pair,0.0
