,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
e34a8899ef6468b74f8a1048419ccc8b,True,0.0,♥6 ♦6,0.0,False,False,True,True,0.0,0.0,BB,False,,
a1931ec126bbad3fa7a3fc64209fd921,True,0.0,♣3 ♥8,0.0,False,False,True,True,0.0,0.0,1,False,,
0e3e06c992d1ead056a6861bb46b28a8,True,0.0,♥2 ♥4,0.0,False,False,True,True,0.0,0.0,2,False,,
c4d15f8c11c4692b6e38922431d096f9,True,0.0,♠A ♣Q,0.0,False,False,True,True,0.0,0.0,3,False,,
a3e7e018f317c473483ade5f6bad5eb8,True,0.0,♦2 ♥3,0.0,False,False,True,True,0.0,0.0,4,False,,
jyp,True,0.0,♦4 ♦5,0.0,False,False,True,True,0.0,0.0,D,True,,
f9389659414547f6859e4ead7deab301,True,0.0,♣K ♠3,21000.0,True,False,True,True,0.0,0.0,SB,False,True,21000.0
859d73cfb5fd4aa9497e5a728732037e,False,0.0,,1130.0,True,False,False,True,0.0,320.0,,,,
e9843887df75c1ffa01b15375882dfe1,False,0.0,,1229.0,True,False,True,True,0.0,640.0,,,,
bc28af6f750004729474ccbb403bd0ee,False,640.0,,1110.0,False,False,True,True,0.0,1920.0,,,,
835b6db99913bde04ce46dc1b6066f90,True,0.0,,0.0,False,False,True,True,0.0,840.0,,,,
6f5083db4a6bb2cc5e40023dbe1b761c,False,640.0,,5930.0,False,False,True,True,0.0,1920.0,,,,
64bd3da256dcaf5ef87360a1e3ee4917,False,0.0,,2910.0,True,False,True,True,0.0,0.0,,,,
924ff83ff1e671bacfb07ff12b845703,False,0.0,♠A ♣9,2430.0,True,False,True,True,0.0,0.0,,,,
b8682092cae86d1e20892b767f52bbfb,False,0.0,♠9 ♦K,4360.0,False,False,True,True,0.0,0.0,,,,
e171af91cd10706a4780e7d9686ab45b,False,0.0,,6100.0,True,False,True,True,0.0,0.0,,,,
5ba3f455357cdf9eee1aa698cc2219cc,False,40.0,,2530.0,False,False,True,True,0.0,0.0,,,,
04a538997c2c3bf463a5264220fa89e3,False,20.0,,2820.0,False,False,True,True,0.0,0.0,,,,
1f11bed6c99549af7d6dfa7ba6966c17,False,40.0,,3290.0,False,False,True,True,0.0,0.0,,,,
f8557354998f5400cde08ed6d04c7b14,False,0.0,,1470.0,True,False,True,True,0.0,0.0,,,,
b040f7f4a7b4cf0fe8482beaffd569b1,False,40.0,,1580.0,False,False,True,True,0.0,0.0,,,,
