,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
ee53d4213c897ad632bb8d824762f918,True,0.0,♥6 ♠4,0.0,False,False,True,True,0.0,0.0,1,False,,
924ff83ff1e671bacfb07ff12b845703,False,0.0,♠2 ♥8,20.0,True,False,True,True,0.0,0.0,2,False,True,20.0
29ee89c64af5a98ae3073d3b707ff421,False,0.0,♥A ♦3,8780.0,True,False,True,True,0.0,0.0,D,False,True,8780.0
c99ee435c9c0c0ccb662cc9e3769bcb3,False,0.0,♦10 ♣3,2820.0,True,False,True,True,0.0,0.0,SB,False,True,2820.0
jyp,False,0.0,♥J ♣K,3380.0,True,False,True,True,0.0,0.0,BB,True,True,3380.0
55b9e608315d8a9195c174c96c100c23,False,0.0,♣10 ♦9,3000.0,True,False,False,True,0.0,0.0,,,,
82c3e2fbf6594464caa5af35cf0c10b1,False,0.0,♠10 ♣4,2960.0,True,False,True,True,0.0,0.0,,,,
ede087847c63f8684e04900b0f1c47ed,False,0.0,♥2 ♠6,2980.0,True,False,True,True,0.0,0.0,,,,
2264dde87a1b2e76f5f681fac37bfad5,False,0.0,♠4 ♦2,2980.0,True,False,True,True,0.0,0.0,,,,
64bd3da256dcaf5ef87360a1e3ee4917,False,0.0,♣A ♠Q,3120.0,False,False,True,True,0.0,0.0,,,,
