,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
e9843887df75c1ffa01b15375882dfe1,False,0.0,,2860.0,True,False,True,True,0.0,0.0,D,False,,
859d73cfb5fd4aa9497e5a728732037e,False,20.0,,3000.0,False,False,False,True,0.0,0.0,SB,False,,
64bd3da256dcaf5ef87360a1e3ee4917,False,0.0,,2970.0,True,False,True,True,0.0,0.0,BB,False,,
jyp,False,0.0,♦10 ♠9,11040.0,True,False,True,True,0.0,0.0,1,True,True,11040.0
924ff83ff1e671bacfb07ff12b845703,True,2850.0,,0.0,False,False,True,True,0.0,0.0,2,False,,
b8682092cae86d1e20892b767f52bbfb,False,0.0,,3160.0,False,False,True,True,0.0,0.0,3,False,,
e171af91cd10706a4780e7d9686ab45b,False,20.0,,1440.0,False,False,True,True,0.0,40.0,,,,
5ba3f455357cdf9eee1aa698cc2219cc,False,0.0,,2730.0,True,False,True,True,0.0,20.0,,,,
04a538997c2c3bf463a5264220fa89e3,False,0.0,,2880.0,True,False,True,True,0.0,0.0,,,,
1f11bed6c99549af7d6dfa7ba6966c17,False,20.0,,3050.0,False,False,True,True,0.0,40.0,,,,
f8557354998f5400cde08ed6d04c7b14,False,20.0,,5920.0,False,False,True,True,0.0,40.0,,,,
b040f7f4a7b4cf0fe8482beaffd569b1,False,0.0,,1600.0,True,False,True,True,0.0,20.0,,,,
61c57effcd49a94489d405ff6b8639cf,False,0.0,♠A ♥5,1000.0,True,False,False,True,0.0,0.0,,,True,1000.0
ec08269f21705262f123b926348c4872,False,0.0,♠2 ♥4,3000.0,True,False,True,True,0.0,0.0,,,True,3000.0
e34a8899ef6468b74f8a1048419ccc8b,False,0.0,♥3 ♥K,2960.0,True,False,True,True,0.0,0.0,,,True,2960.0
0e3e06c992d1ead056a6861bb46b28a8,True,0.0,♥7 ♠7,0.0,False,False,True,True,0.0,0.0,,,,
fb90eb5c0ac56ccf3eea433a56f209a1,True,0.0,♦8 ♥A,0.0,False,False,True,True,0.0,0.0,,,,
