,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
e5f6c83e6e97c74fc9e9760fc8972aed,False,320.0,,3820.0,False,False,True,True,0.0,0.0,BB,False,,
bee63769dced024ca8bb0b2f798a6a0e,False,0.0,,2600.0,False,False,False,True,0.0,0.0,1,False,,
e9843887df75c1ffa01b15375882dfe1,False,0.0,,0.0,False,False,True,False,0.0,0.0,2,False,,
64bd3da256dcaf5ef87360a1e3ee4917,False,0.0,♦9 ♥10,2970.0,True,False,True,True,0.0,0.0,D,False,True,2970.0
jyp,True,0.0,♣A ♦2,5920.0,True,False,True,True,0.0,0.0,SB,True,True,5920.0
6f5083db4a6bb2cc5e40023dbe1b761c,False,0.0,♦2 ♣9,16040.0,True,False,True,True,0.0,0.0,,,,
d74119fef14f37d77f70ad579d13d17f,False,0.0,,0.0,False,False,True,False,0.0,0.0,,,,
5849fc32e5d3d3fe0e1a7b0f78fc4921,False,0.0,♦8 ♠K,4060.0,True,False,True,True,0.0,0.0,,,,
835b6db99913bde04ce46dc1b6066f90,False,0.0,♥2 ♣2,200.0,True,False,True,True,0.0,0.0,,,,
57eb0415a06a0bef907e4ce2d3d8daac,True,0.0,♦4 ♥A,0.0,False,False,True,True,0.0,0.0,,,,
da41bceff97b1cf96078ffb249b3d66e,False,0.0,♠3 ♦7,2980.0,True,False,True,True,0.0,0.0,,,True,2980.0
10452c3664f4a1fa9bdfaf7f787467aa,False,0.0,♦A ♠7,3130.0,True,False,True,True,0.0,0.0,,,True,3130.0
e171af91cd10706a4780e7d9686ab45b,False,80.0,,810.0,False,False,True,True,0.0,0.0,,,,
edacce777fa1d00361f66ae5c5c6144b,False,160.0,,3080.0,False,False,True,True,0.0,0.0,,,,
b8682092cae86d1e20892b767f52bbfb,False,0.0,,4850.0,False,False,True,True,0.0,0.0,,,,
1f11bed6c99549af7d6dfa7ba6966c17,False,0.0,,3460.0,False,False,True,True,0.0,0.0,,,,
