,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
229979fce5174c17d4645bf8752dae1e,False,20.0,,2980.0,False,False,True,True,0.0,0.0,1,False,,
cd37e256884b5327c77a0627741e5dac,False,20.0,,2980.0,False,False,True,True,0.0,0.0,2,False,,
71826cd0e8696f766cef09ec0af2a618,False,0.0,,3000.0,True,False,True,True,0.0,0.0,3,False,,
d217d420e818c77100367d2ea49f95c1,False,0.0,,3000.0,False,False,True,True,0.0,0.0,D,False,,
jyp,False,0.0,♠9 ♣3,2530.0,True,False,True,True,0.0,0.0,SB,True,True,2530.0
bc170e6be8cd96fe6e1b91bd0e321362,False,20.0,,2980.0,False,False,True,True,0.0,0.0,BB,False,,
e171af91cd10706a4780e7d9686ab45b,False,0.0,,0.0,False,False,True,False,0.0,0.0,,,,
edacce777fa1d00361f66ae5c5c6144b,False,0.0,♠8 ♣K,2520.0,True,False,False,True,0.0,0.0,,,True,2520.0
64bd3da256dcaf5ef87360a1e3ee4917,False,0.0,♥J ♣4,2230.0,True,False,True,True,0.0,0.0,,,True,2230.0
b8682092cae86d1e20892b767f52bbfb,False,0.0,♣5 ♠K,10720.0,True,False,True,True,0.0,0.0,,,True,10720.0
1f11bed6c99549af7d6dfa7ba6966c17,True,0.0,♦2 ♠2,0.0,False,False,True,True,0.0,0.0,,,,
2c56c360580420d293172f42d85dfbed,False,0.0,,2960.0,True,False,True,True,0.0,20.0,,,,
e9843887df75c1ffa01b15375882dfe1,False,0.0,,1940.0,True,False,True,True,0.0,0.0,,,,
5219d9bcbc4ede02777674d0a75a7b74,False,20.0,,2770.0,False,False,True,True,0.0,20.0,,,,
7598d7937e2d413d6587ab562e3613a2,False,20.0,,2070.0,False,False,True,True,0.0,20.0,,,,
5f056dbdb4e73cbe5e32cd87ec5d4b5b,False,0.0,,1630.0,True,False,True,True,0.0,0.0,,,,
31a75d2f1a612eed66f277bb789a7d76,False,0.0,,2650.0,True,False,True,True,0.0,0.0,,,,
e66f111bad61bdb688192fa9f85acc71,False,0.0,,6280.0,False,False,True,True,0.0,20.0,,,,
2bcebc8c9c8b04337d5af15b6545aaea,False,0.0,,2560.0,False,False,True,True,0.0,20.0,,,,
a1931ec126bbad3fa7a3fc64209fd921,False,0.0,,3380.0,False,False,True,True,0.0,20.0,,,,
e5f6c83e6e97c74fc9e9760fc8972aed,False,1280.0,,2860.0,False,False,True,True,0.0,0.0,,,,
bee63769dced024ca8bb0b2f798a6a0e,False,0.0,,2600.0,True,False,False,True,0.0,0.0,,,,
