,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
859d73cfb5fd4aa9497e5a728732037e,False,0.0,,2890.0,False,False,True,True,0.0,0.0,1,False,,
jyp,False,0.0,♥4 ♦3,2070.0,True,False,True,True,0.0,0.0,2,True,True,2070.0
b8682092cae86d1e20892b767f52bbfb,False,0.0,,2900.0,False,False,True,True,0.0,0.0,3,False,,
9facbf452def2d7efc5b5c48cdb837fa,False,0.0,,2790.0,False,False,True,True,0.0,0.0,4,False,,
64bd3da256dcaf5ef87360a1e3ee4917,False,0.0,,2790.0,False,False,True,True,0.0,0.0,D,False,,
2264dde87a1b2e76f5f681fac37bfad5,False,40.0,,3240.0,False,False,True,True,0.0,0.0,SB,False,,
7f2d088b9db897872af9713f1e518ac7,False,80.0,,3400.0,False,False,True,True,0.0,0.0,BB,False,,
3b770ebe9b04f171f0ead0e07d8e2882,False,160.0,,4999.0,False,False,True,True,0.0,0.0,,,,
9f6290f4436e5a2351f12e03b6433c3c,False,320.0,,2526.0,False,False,True,True,0.0,0.0,,,,
a9c83bbb7e7c388bd733b3c6fe969588,False,0.0,,2510.0,False,False,False,True,0.0,0.0,,,,
3291aaac20f3d603d96744c1f0890028,False,0.0,,1515.0,False,False,True,True,0.0,0.0,,,,
e9843887df75c1ffa01b15375882dfe1,False,0.0,♥Q ♣A,3240.0,True,False,True,True,0.0,0.0,,,True,3240.0
8ad6657751f02301029f8a7499e1cd50,False,0.0,♦9 ♥J,1140.0,True,False,False,True,0.0,0.0,,,True,1140.0
19517e6a43e3c76ced8e3c9ec6447b4f,False,0.0,♠Q ♥K,4210.0,True,False,True,True,0.0,0.0,,,True,4210.0
77381d92d777f73ed5317e9ca3f255ac,False,0.0,♣6 ♦2,3780.0,True,False,True,True,0.0,0.0,,,True,3780.0
bc170e6be8cd96fe6e1b91bd0e321362,False,0.0,♠2 ♣Q,2620.0,True,False,True,True,0.0,0.0,,,True,2620.0
bc28af6f750004729474ccbb403bd0ee,False,0.0,♠6 ♦7,3940.0,True,False,True,True,0.0,0.0,,,True,3940.0
