,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
229979fce5174c17d4645bf8752dae1e,False,0.0,,2930.0,False,False,True,True,0.0,0.0,2,False,,
cd37e256884b5327c77a0627741e5dac,False,0.0,,3220.0,False,False,True,True,0.0,0.0,3,False,,
71826cd0e8696f766cef09ec0af2a618,False,0.0,,2970.0,False,False,True,True,0.0,0.0,D,False,,
d217d420e818c77100367d2ea49f95c1,False,10.0,,2910.0,False,False,True,True,0.0,0.0,SB,False,,
jyp,False,0.0,♣5 ♠J,2980.0,True,False,True,True,0.0,0.0,BB,True,True,2980.0
bc170e6be8cd96fe6e1b91bd0e321362,False,0.0,,2970.0,True,False,True,True,0.0,0.0,1,False,,
df8b15ba30764e3b9ce084c11336603a,True,0.0,♦6 ♥Q,0.0,False,False,True,True,0.0,0.0,,,,
9facbf452def2d7efc5b5c48cdb837fa,True,0.0,♠K ♥J,0.0,False,False,True,True,0.0,0.0,,,,
859d73cfb5fd4aa9497e5a728732037e,False,0.0,♦9 ♠Q,3000.0,True,False,True,True,0.0,0.0,,,True,3000.0
e9843887df75c1ffa01b15375882dfe1,True,0.0,♦4 ♣A,9040.0,True,False,True,True,0.0,0.0,,,True,9040.0
64bd3da256dcaf5ef87360a1e3ee4917,False,0.0,♥7 ♠5,2980.0,True,False,True,True,0.0,0.0,,,True,2980.0
2c56c360580420d293172f42d85dfbed,False,0.0,,2910.0,False,False,True,True,0.0,40.0,,,,
5219d9bcbc4ede02777674d0a75a7b74,False,0.0,,2730.0,True,False,False,True,0.0,20.0,,,,
7598d7937e2d413d6587ab562e3613a2,False,40.0,,2290.0,False,False,True,True,0.0,40.0,,,,
5f056dbdb4e73cbe5e32cd87ec5d4b5b,False,0.0,,1590.0,True,False,True,True,0.0,40.0,,,,
31a75d2f1a612eed66f277bb789a7d76,False,40.0,,2490.0,False,False,True,True,0.0,40.0,,,,
e66f111bad61bdb688192fa9f85acc71,False,0.0,,6200.0,True,False,True,True,0.0,0.0,,,,
2bcebc8c9c8b04337d5af15b6545aaea,False,0.0,,2500.0,True,False,True,True,0.0,0.0,,,,
a1931ec126bbad3fa7a3fc64209fd921,False,40.0,,3450.0,False,False,True,True,0.0,40.0,,,,
