,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
ede087847c63f8684e04900b0f1c47ed,False,0.0,,0.0,False,False,True,False,0.0,0.0,,False,,
82c3e2fbf6594464caa5af35cf0c10b1,False,0.0,♥7 ♥K,2838.0,True,False,True,True,0.0,0.0,D,False,True,2838.0
2264dde87a1b2e76f5f681fac37bfad5,False,0.0,♣Q ♠J,1390.0,True,False,True,True,0.0,0.0,SB,False,True,1390.0
1041178f83a7acfd0afaf44938c8cedc,False,0.0,♥6 ♥2,2150.0,True,False,False,True,0.0,0.0,BB,False,True,2150.0
64bd3da256dcaf5ef87360a1e3ee4917,False,0.0,♦3 ♥A,2350.0,True,False,True,True,0.0,0.0,1,False,True,2350.0
jyp,False,0.0,♠Q ♠6,9272.0,True,False,True,True,0.0,0.0,2,True,True,9272.0
ee53d4213c897ad632bb8d824762f918,False,0.0,♠Q ♣A,40.0,False,False,True,True,0.0,0.0,,,,
924ff83ff1e671bacfb07ff12b845703,False,0.0,♦7 ♦2,40.0,True,False,True,True,0.0,0.0,,,,
29ee89c64af5a98ae3073d3b707ff421,True,0.0,♦4 ♣8,8620.0,False,False,True,True,0.0,0.0,,,,
c99ee435c9c0c0ccb662cc9e3769bcb3,False,0.0,♥J ♣10,2880.0,True,False,True,True,0.0,0.0,,,,
