,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
55b9e608315d8a9195c174c96c100c23,False,0.0,♦8 ♣7,2310.0,True,False,False,True,0.0,0.0,2,False,True,2310.0
82c3e2fbf6594464caa5af35cf0c10b1,False,0.0,♦A ♣9,12270.0,True,False,True,True,0.0,0.0,3,False,True,12270.0
ede087847c63f8684e04900b0f1c47ed,True,0.0,♠Q ♣10,0.0,False,False,True,True,0.0,0.0,D,False,,
2264dde87a1b2e76f5f681fac37bfad5,False,0.0,♦2 ♠K,850.0,True,False,True,True,0.0,0.0,SB,False,True,850.0
64bd3da256dcaf5ef87360a1e3ee4917,True,0.0,♠8 ♠10,0.0,False,False,True,True,0.0,0.0,BB,False,,
jyp,False,0.0,♦3 ♥6,2570.0,True,False,True,True,0.0,0.0,1,True,True,2570.0
924ff83ff1e671bacfb07ff12b845703,False,0.0,,760.0,True,False,True,True,0.0,40.0,,,,
29ee89c64af5a98ae3073d3b707ff421,False,0.0,,4912.0,False,False,True,True,0.0,348.0,,,,
c99ee435c9c0c0ccb662cc9e3769bcb3,False,0.0,,652.0,False,False,True,True,0.0,348.0,,,,
39104bb03b0a93f3bcf109363bba51d8,False,0.0,,2392.0,False,False,True,True,0.0,348.0,,,,
e9843887df75c1ffa01b15375882dfe1,False,100.0,,6392.0,False,False,True,True,0.0,348.0,,,,
