round_id	turn	roundName	N	Nnf	chips	reld	stack	first	hole	board	Nsim	prWin	prWinStd	prWin_adj	N_maxBet_all	pot	bet	pot_sum	bet_sum	cost_to_call	thd_call	 bet_limit 	action	amount	cputime	maxBet_all
19	1	flop	7	5	276	0	2276	FALSE	_9 _4	_6 _K _7	1554	2.61%	13.91%	5.57%	1	320	0	1600	652	276	10.92%	 141 	fold	0	1.357968092	358
20	0	deal	5	5	276	0	2276	FALSE	_7 _10		60000	20.11%	31.73%	30.33%	1	0	0	0	280	160	36.36%	 216 	fold	0	0.330379009	160
21	0	deal	5	5	276	0	2276	FALSE	_Q _4		60000	22.47%	33.94%	33.32%	1	0	0	0	120	80	40.00%	 120 	fold	0	0.342710018	80
22	0	deal	5	3	196	0	2196	FALSE	_10 _9		60000	27.44%	36.53%	39.27%	3	0	80	0	240	0	-33.33%		check	0	0.348365068	80
22	1	flop	5	2	196	0	2196	TRUE	_10 _9	_10 _6 _Q	489	13.29%	32.51%	20.70%	5	80	0	240	0	80	25.00%	 85 	fold	0	1.253370762	0
23	0	deal	5	4	156	0	2156	FALSE	_Q _3		60000	17.70%	29.78%	28.01%	1	0	40	0	396	156	21.01%	 255 	check	0	0.375285149	200
24	0	deal	5	5	1000	1	2000	FALSE	_7 _A		60000	24.28%	32.82%	36.07%	2	0	0	0	440	160	26.67%	 367 	check	0	0.323417902	160
24	1	flop	5	5	840	1	1840	FALSE	_7 _A	_4 _5 _K	1462	3.39%	16.96%	7.67%	3	160	0	800	630	180	11.18%	 130 	fold	0	1.356748104	180
25	0	deal	5	5	840	1	1840	FALSE	_3 _6		60000	14.39%	28.59%	24.22%	2	0	0	0	400	160	28.57%	 188 	bet	187.8423928	0.456404924	160
25	1	deal	5	5	653	1	1653	FALSE	_3 _6		60000	14.39%	28.59%	24.22%	2	0	187	0	2244	561	20.00%	 824 	check	0	0.301661015	748
25	2	deal	5	5	92	1	1092	FALSE	_3 _6		60000	14.39%	28.59%	24.22%	2	0	748	0	4016	92	2.24%	 135 	check	0	0.297379255	1576
26	0	deal	5	5	1000	2	1000	FALSE	_7 _6		60000	18.58%	31.38%	29.66%	1	0	0	0	240	160	40.00%	 175 	fold	0	0.313851118	160
27	0	deal	5	3	840	2	840	FALSE	_3 _2		60000	11.99%	26.49%	21.41%	3	0	160	0	480	0	-33.33%		check	0	0.3423388	160
27	1	flop	5	2	840	2	840	TRUE	_3 _2	_A _10 _6	797	1.35%	10.99%	4.37%	5	160	0	480	0	160	25.00%	 23 	fold	0	1.279354095	0
28	0	deal	5	4	760	2	760	FALSE	_4 _10		60000	16.23%	29.01%	27.11%	2	0	80	0	880	240	14.29%	 382 	check	0	0.343313217	320
28	1	flop	5	4	520	2	520	TRUE	_4 _10	_8 _3 _6	241	4.77%	20.06%	10.53%	5	320	0	1280	0	160	11.11%	 171 	fold	0	1.225990057	0
29	0	deal	5	4	520	2	520	FALSE	_10 _9		60000	24.16%	34.03%	37.00%	1	0	0	0	560	320	36.36%	 775 	check	0	0.31875515	320
29	1	flop	5	3	200	2	200	FALSE	_10 _9	_10 _4 _4	691	16.04%	34.71%	26.23%	2	320	0	1280	340	170	9.50%	 264 	check	0	1.279813051	170
29	2	turn	5	3	30	2	30	FALSE	_10 _9	_10 _4 _4 _8	484	16.60%	35.87%	26.27%	2	490	0	1790	60	30	1.60%	 47 	check	0	1.264697075	170
30	0	deal	5	5	1880	2	1880	FALSE	_8 _7		60000	20.04%	31.98%	32.25%	2	0	0	0	800	320	28.57%	 611 	check	0	0.325893879	320
30	1	deal	5	4	1560	2	1560	FALSE	_8 _7		60000	20.04%	31.98%	32.25%	2	0	320	0	2180	320	12.80%	 611 	check	0	0.336057186	640
30	2	flop	5	4	1240	2	1240	FALSE	_8 _7	_J _4 _10	1068	9.25%	28.25%	17.51%	2	640	0	2500	640	320	9.25%	 406 	check	0	1.29734993	320
30	3	turn	5	4	920	2	920	FALSE	_8 _7	_J _4 _10 _4	1085	2.90%	16.58%	7.39%	2	960	0	3460	640	320	7.24%	 348 	check	0	1.30922699	320
30	4	river	5	4	600	2	600	FALSE	_8 _7	_J _4 _10 _4 _9	655	40.53%	48.27%	52.06%	1	1280	0	4420	600	320	5.99%	 inf 	check	0	1.261071682	320
