round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,thd_call,bet_limit,action,amount,cputime
1,0,9,6,deal,False,♣Q ♥8,,60000,0.11994259259260917,0.3066571258276486,0.30513239701659356,1000,0,3000,0,0,1000,0,1030,1000,1,0.49261083743842365,806.410003806158,bet,806,0.32604098320007324
2,0,9,7,deal,False,♦2 ♣7,,60000,0.06556481481481947,0.23653779813641773,0.2054135229076941,4000,0,6000,0,0,40,0,70,40,1,0.36363636363636365,24.405306627556225,fold,0,0.3056776523590088
3,0,9,9,deal,False,♦Q ♥8,,60000,0.11994259259260917,0.3066571258276486,0.30513239701659356,4000,0,6000,0,0,80,0,150,80,1,0.34782608695652173,117.43835006885796,fold,0,0.34784579277038574
4,0,9,9,deal,False,♣5 ♦9,,60000,0.08745185185186077,0.2686245289932019,0.24988708792322778,4000,0,6000,0,0,20,0,50,20,2,0.2857142857142857,24.9774277793508,fold,0,0.32879185676574707
5,0,9,9,deal,False,♥8 ♠4,,60000,0.07953518518519263,0.25761280061436354,0.2364670870048195,4000,0,6000,0,0,20,0,30,20,1,0.4,13.459443318706686,fold,0,0.3354978561401367
6,0,9,4,deal,False,♦A ♣6,,60000,0.12839444444446152,0.315954148962581,0.32409361149542737,3980,0,5980,0,20,62,0,173,82,1,0.17872340425531916,119.11504875843144,check,0,0.34063124656677246
6,1,9,4,flop,True,♦A ♣6,♣8 ♦9 ♦7,156,0.10754985754985756,0.28227691771932817,0.2743725167347751,3918,0,5918,82,0,20,338,0,0,9,0.055865921787709494,32.160420918769475,check,0,1.1932728290557861
6,2,9,4,turn,True,♦A ♣6,♣8 ♦9 ♦7 ♣10,164,0.06537940379403794,0.19506636657463475,0.19731408025478053,3918,0,5918,82,0,20,338,0,0,9,0.055865921787709494,26.51877300473263,check,0,1.1912319660186768
6,3,9,4,turn,False,♦A ♣6,♣8 ♦9 ♦7 ♣10,1203,0.06065853883808996,0.1846505640647344,0.18806120690399716,3918,0,5918,82,0,112,338,168,112,1,0.18122977346278318,145.76119873421024,check,0,1.2588331699371338
6,4,9,4,river,True,♦A ♣6,♣8 ♦9 ♦7 ♣10 ♦Q,233,0.046137339055793994,0.15799879943519285,0.172443467332611,3806,0,5806,194,0,20,786,0,0,9,0.02481389578163772,25.26454062534956,check,0,1.1984670162200928
6,5,9,4,river,False,♦A ♣6,♣8 ♦9 ♦7 ♣10 ♦Q,1560,0.059348290598290596,0.188922295347622,0.2016053275403385,3806,0,5806,194,0,40,786,60,40,1,0.045146726862302484,53.51266266776881,check,0,1.2871370315551758
7,0,9,4,deal,False,♠Q ♠10,,60000,0.1961555555555776,0.37978807545091936,0.4304372332456791,3756,0,5756,0,10,53,0,137,63,1,0.22631578947368422,216.9754600517234,check,0,0.3359339237213135
7,1,9,4,deal,False,♠Q ♠10,,60000,0.1961555555555776,0.37978807545091936,0.4304372332456791,3703,0,5703,0,63,72,0,325,135,1,0.181360201511335,294.75911554196387,check,0,0.3017611503601074
7,2,9,4,flop,True,♠Q ♠10,♣10 ♥J ♦8,137,0.1630170316301703,0.3342245708820556,0.3621575475337713,3631,0,5631,135,0,20,540,0,0,9,0.03571428571428571,46.27329542199632,check,0,1.193782091140747
7,3,9,4,flop,False,♠Q ♠10,♣10 ♥J ♦8,1022,0.17411393781256795,0.3470580609080521,0.3785519570428771,3631,0,5631,135,0,77,540,147,77,1,0.10078534031413612,197.00399505240435,check,0,1.2501280307769775
7,4,9,3,flop,False,♠Q ♠10,♣10 ♥J ♦8,1974,0.17613700326466283,0.3477340889282929,0.38150729844698794,3554,0,5554,135,77,64,540,372,141,1,0.06557377049180328,167.0294135444436,check,0,1.2623701095581055
