round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,thd_call,bet_limit,action,amount,cputime
1,0,9,9,deal,False,♥3 ♠2,,60000,0.06888703703704184,0.2427131499989602,0.23350730177482815,1000,0,3000,0,0,40,0,70,40,1,0.36363636363636365,30.667840494501842,fold,0,0.33289480209350586
2,0,9,9,deal,False,♣10 ♣3,,60000,0.12048148148149278,0.31295262083074565,0.33369951991141444,1000,0,3000,0,0,20,0,30,20,1,0.4,30.09908808444132,fold,0,0.36889100074768066
3,0,9,7,deal,False,♦K ♦J,,60000,0.20620925925928396,0.38560168017528973,0.47323371035941697,980,0,2980,0,20,164,0,438,184,1,0.23920265780730898,1613.7774914097854,bet,1613,0.3298497200012207
4,0,9,5,deal,False,♦2 ♥5,,60000,0.08227592592593212,0.26438519716229036,0.26500771099234516,990,1,1990,0,10,44,0,131,54,1,0.19428571428571428,68.81004660387676,check,0,0.31657910346984863
4,1,9,5,flop,True,♦2 ♥5,♣J ♦J ♠5,184,0.0697463768115942,0.2384965660209403,0.2245970942525926,946,1,1946,54,0,20,270,0,0,9,0.06896551724137931,28.155218756427626,check,0,1.2095763683319092
4,2,9,5,flop,False,♦2 ♥5,♣J ♦J ♠5,1720,0.05119509043927648,0.20418744761336693,0.18517951943371344,946,1,1946,54,0,82,270,153,82,1,0.16237623762376238,106.11647515157024,check,0,1.2850871086120605
4,3,9,5,turn,True,♦2 ♥5,♣J ♦J ♠5 ♦4,177,0.05084745762711865,0.19946783552440375,0.17707316087815947,864,1,1864,136,0,20,680,0,0,9,0.02857142857142857,25.483383213352223,check,0,1.1956779956817627
4,4,9,4,turn,False,♦2 ♥5,♣J ♦J ♠5 ♦4,1488,0.05622759856630825,0.21116544851307126,0.18858662807761267,864,1,1864,136,0,146,680,249,146,1,0.13581395348837208,190.20755526547134,check,0,1.2928340435028076
4,5,9,4,river,True,♦2 ♥5,♣J ♦J ♠5 ♦4 ♠4,190,0.04473684210526316,0.20351822422089796,0.1739157183971641,718,1,1718,282,0,20,1264,0,0,9,0.01557632398753894,25.333459114996224,check,0,1.1927573680877686
4,6,9,3,river,False,♦2 ♥5,♣J ♦J ♠5 ♦4 ♠4,1447,0.03178991015894955,0.16942861848185267,0.14141924475552725,718,1,1718,282,0,718,1264,748,718,1,0.263003663003663,396.7523581321738,fold,0,1.2656147480010986
5,0,9,6,deal,False,♠K ♥Q,,60000,0.18196666666669306,0.3641905919246789,0.4404640926137028,718,1,1718,0,0,45,0,140,45,2,0.24324324324324326,211.46159467268487,check,0,0.32242393493652344
5,1,9,5,flop,False,♠K ♥Q,♥10 ♥J ♥9,911,0.5472923527259421,0.47346659562903465,0.8507431264598757,673,1,1673,45,0,20,270,60,20,3,0.05714285714285714,inf,bet,330,1.245690107345581
6,0,9,6,deal,False,♠4 ♣8,,60000,0.07953518518519263,0.25761280061436354,0.2621714502338963,1313,1,2313,0,0,40,0,90,40,1,0.3076923076923077,49.60596729084035,fold,0,0.3169102668762207
