round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,thd_call,bet_limit,action,amount,cputime
1,0,9,6,deal,False,♠9 ♦8,,60000,0.1221462962963107,0.3118671534912701,0.2973345591995147,990,0,2990,0,10,142,0,316,152,1,0.28820960698689957,246.165533204786,check,0,0.32432007789611816
1,1,9,5,flop,True,♠9 ♦8,♦Q ♥8 ♣Q,177,0.09227871939736348,0.2822817844030455,0.22345983050214224,848,0,2848,152,0,20,780,0,0,9,0.025,28.08055592458416,check,0,1.189317226409912
1,2,9,5,flop,False,♠9 ♦8,♦Q ♥8 ♣Q,1391,0.1234124131320393,0.3080562391202717,0.2724930870755383,848,0,2848,152,0,848,780,938,848,1,0.3304754481683554,1028.8547226501437,fold,0,1.2718122005462646
2,0,9,6,deal,False,♣7 ♣4,,60000,0.1233833333333442,0.3172078540356011,0.30097675345639485,848,0,2848,0,0,136,0,302,136,1,0.3105022831050228,228.35267015885137,fold,0,0.32995128631591797
3,0,9,7,deal,False,♣3 ♥J,,60000,0.08689074074075011,0.26680928367887924,0.24040355217040632,848,0,2848,0,0,20,0,90,20,4,0.18181818181818182,29.260664164719767,check,0,0.3176229000091553
3,1,9,7,flop,False,♣3 ♥J,♦Q ♣A ♥4,2065,0.023123486682808718,0.13750049411177645,0.09386585252567914,828,0,2828,20,0,158,140,406,158,1,0.22443181818181818,63.095846283476206,fold,0,1.331326961517334
4,0,9,8,deal,False,♦2 ♦10,,60000,0.11710000000001113,0.308779427155613,0.29394667363285776,828,0,2828,0,0,40,0,130,40,2,0.23529411764705882,68.53112626865422,bet,68,0.32532596588134766
4,1,9,5,flop,False,♦2 ♦10,♣10 ♠8 ♣3,1251,0.1342925659472422,0.32964245451463914,0.29901995750034616,760,0,2760,68,0,29,408,116,29,4,0.05244122965641953,50.57323349039737,check,0,1.270240068435669
4,2,9,3,turn,False,♦2 ♦10,♣10 ♠8 ♣3 ♣A,1298,0.058808423215202875,0.22484726563867866,0.15281252015968677,731,0,2731,97,0,35,553,70,35,2,0.05319148936170213,42.70252171542737,check,0,1.2750589847564697
4,3,9,3,river,False,♦2 ♦10,♣10 ♠8 ♣3 ♣A ♠2,384,0.3619791666666667,0.4764913425928872,0.5725605728480982,696,0,2696,132,0,45,658,90,45,2,0.05674653215636822,inf,raise,0,1.2010319232940674
