,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,8,8,Deal,0,♣6 ♠5,,40,0.1625,0.36033838263498935,0,0,40,1,40,0,12.0,0.30000000000000004,-27.0,-0.675,raise,0,0.5242819786071777
1,8,8,Deal,0,♣6 ♠5,,110,0.11363636363636363,0.3064391598306031,0,80,98,1,18,-80,-8.909090909090907,-0.09090909090909094,-75.72727272727272,-0.7727272727272727,call,0,0.520827054977417
2,8,8,Deal,0,♣6 ♠5,,155,0.1,0.29182407426835205,0,98,144,1,46,-98,-28.799999999999997,-0.19999999999999996,-115.2,-0.8,call,0,0.5211338996887207
3,8,8,Deal,0,♣6 ♠5,,200,0.08416666666666667,0.2687406329116938,0,144,182,3,38,-144,-59.45333333333333,-0.32666666666666666,-151.36333333333334,-0.8316666666666667,call,0,0.5217559337615967
4,8,8,Flop,0,♣6 ♠5,♥K ♥7 ♥10,25,0.0,0.0,796,0,38,2,38,-182,-220.0,-1.0,-220.0,-1.0,fold,0,0.5226449966430664
