,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,8,7,Deal,0,♠10 ♠5,,70,0.17142857142857143,0.3574284572341944,0,20,77,2,57,-20,15.399999999999991,0.19999999999999996,-50.6,-0.6571428571428571,raise,0,0.523967981338501
1,8,7,Flop,1,♠10 ♠5,♠8 ♠2 ♥5,5,0.2,0.4,626,0,0,8,20,-154,-28.799999999999997,0.40000000000000013,-28.799999999999997,-0.6,raise,0,0.5206189155578613
2,8,6,Flop,0,♠10 ♠5,♠8 ♠2 ♥5,50,0.3,0.458257569495584,626,20,56,1,36,-174,78.60000000000002,0.7999999999999998,11.399999999999977,-0.4,raise,0,0.5258018970489502
3,8,6,Flop,0,♠10 ♠5,♠8 ♠2 ♥5,85,0.36470588235294116,0.48134758930538313,626,112,117,1,5,-266,213.3294117647058,1.1882352941176468,42.64705882352939,-0.2705882352941177,raise,0,0.5192570686340332
4,8,6,Turn,1,♠10 ♠5,♠8 ♠2 ♥5 ♦6,5,0.4,0.48989794855663565,1328,0,0,8,20,-388,143.20000000000005,1.4000000000000004,143.20000000000005,-0.19999999999999996,raise,0,0.532282829284668
5,8,6,Turn,0,♠10 ♠5,♠8 ♠2 ♥5 ♦6,40,0.25,0.4330127018922193,1328,20,51,2,31,-408,-30.5,0.5,-81.5,-0.5,raise,0,0.5218548774719238
6,8,6,Turn,0,♠10 ♠5,♠8 ♠2 ♥5 ♦6,75,0.2,0.4000000000000001,1328,102,125,1,23,-490,-97.39999999999998,0.20000000000000018,-197.39999999999998,-0.6,raise,0,0.5244500637054443
7,8,6,River,1,♠10 ♠5,♠8 ♠2 ♥5 ♦6 ♦10,5,0.6,0.48989794855663565,2078,0,0,8,20,-638,608.8,2.5999999999999996,608.8,0.19999999999999996,raise,0,0.5230269432067871
8,8,6,River,0,♠10 ♠5,♠8 ♠2 ♥5 ♦6 ♦10,40,0.55,0.4974937185533099,2078,20,49,1,29,-658,617.6000000000001,2.3000000000000003,509.8000000000002,0.10000000000000009,raise,0,0.5226821899414062
9,8,6,River,0,♠10 ♠5,♠8 ♠2 ♥5 ♦6 ♦10,75,0.6,0.48989794855663565,2078,98,100,2,2,-736,868.8,2.5999999999999996,628.8,0.19999999999999996,raise,0,0.5242609977722168
