,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,8,8,Deal,0,♣5 ♦5,,10,0.5,0.5,0,0,20,1,20,0,60.0,3.0,0.0,0.0,raise,0,0.5210869312286377
1,8,7,Deal,0,♣5 ♦5,,120,0.16666666666666666,0.36704525909242064,0,40,79,5,39,-40,13.166666666666657,0.16666666666666652,-52.66666666666667,-0.6666666666666667,raise,0,0.525921106338501
2,8,7,Flop,0,♣5 ♦5,♦9 ♦A ♦2,10,0.2,0.4000000000000001,1126,0,50,1,50,-158,87.20000000000005,0.40000000000000013,37.20000000000002,-0.6,raise,0,0.5237550735473633
3,8,7,Flop,0,♣5 ♦5,♦9 ♦A ♦2,85,0.08235294117647059,0.2749016810717158,1126,100,102,1,2,-258,-108.47058823529412,-0.42352941176470593,-150.47058823529412,-0.8352941176470589,call,0,0.524245023727417
4,8,7,Flop,0,♣5 ♦5,♦9 ♦A ♦2,155,0.07096774193548387,0.2567709515113858,1126,102,173,5,71,-260,-165.1483870967742,-0.5032258064516129,-226.53548387096774,-0.8580645161290322,call,0,0.5228919982910156
5,8,7,Turn,0,♣5 ♦5,♦9 ♦A ♦2 ♦7,15,0.06666666666666667,0.24944382578492943,2337,0,20,1,20,-331,-185.86666666666665,-0.5333333333333333,-192.53333333333333,-0.8666666666666667,call,0,0.524432897567749
6,8,7,Turn,0,♣5 ♦5,♦9 ♦A ♦2 ♦7,85,0.07058823529411765,0.25613577714208524,2337,20,59,1,39,-351,-195.88235294117646,-0.5058823529411764,-216.70588235294116,-0.8588235294117648,call,0,0.5235118865966797
7,8,7,Turn,0,♣5 ♦5,♦9 ♦A ♦2 ♦7,155,0.06451612903225806,0.24567010018915833,2337,59,123,3,64,-390,-247.67741935483872,-0.5483870967741935,-287.35483870967744,-0.8709677419354839,call,0,0.5274770259857178
8,8,7,Turn,0,♣5 ♦5,♦9 ♦A ♦2 ♦7,225,0.07555555555555556,0.26428566661899566,2337,123,246,3,123,-454,-270.32000000000005,-0.47111111111111115,-363.25333333333333,-0.8488888888888889,call,0,0.5316858291625977
9,8,7,River,0,♣5 ♦5,♦9 ♦A ♦2 ♦7 ♥6,10,0.1,0.30000000000000004,4056,0,20,1,20,-577,-177.39999999999998,-0.29999999999999993,-187.39999999999998,-0.8,call,0,0.5231869220733643
10,8,7,River,0,♣5 ♦5,♦9 ♦A ♦2 ♦7 ♥6,55,0.05454545454545454,0.22709083630539628,4056,20,50,1,30,-597,-386.6727272727273,-0.6181818181818182,-400.3090909090909,-0.8909090909090909,call,0,0.5290470123291016
11,8,7,River,0,♣5 ♦5,♦9 ♦A ♦2 ♦7 ♥6,85,0.058823529411764705,0.23529411764705882,4056,50,221,1,171,-627,-468.4117647058823,-0.5882352941176471,-533.4117647058823,-0.8823529411764706,call,0,0.526235818862915
