,chips,pot,reld,bet,pos,cards,act,amt
930241b5a8bee6e10a1205a599f70b06,0,0,2,0,,[],,
58673a2ed47b93de2334d9d0763d1bbb,5884,0,2,0,,[♠7 ♥5],win,5884
10d37768c10734ced8918a52ecdd7225,0,0,2,0,SB,[♥3 ♦K],,
f6ab57f4b3ca3739ad29da1cf4f26452,0,0,2,0,BB,[♠9 ♣5],,
ed9287d402d9de370a4622e98cf8330f,6199,0,1,0,,[♣8 ♠K],win,7199
Me,2916,0,0,0,,[Folded],win,4916
