round_id,playerName,chips,reloadCount,cards,hand,position,allIn,folded,rank,message,winMoney
1,87-rising-ape,1000,1,♠10 ♠9,♠10 ♠9 ♥A ♥Q ♠A ♥K ♦3,BB,True,False,21.1664,Pair,0.0
1,87-dawn-ape,4000,0,♣Q ♠K,♣Q ♠K ♥A ♥Q ♠A ♥K ♦3,1,True,False,99.0512,Two Pair,4000.0
1,89,1000,1,♦Q ♣J,♦Q ♣J ♥A ♥Q ♠A ♥K ♦3,D,True,False,98.1024,Two Pair,0.0
1,lefthand_cat,1000,1,♣3 ♥J,♣3 ♥J ♥A ♥Q ♠A ♥K ♦3,SB,True,False,89.1024,Two Pair,0.0
2,87-rising-ape,1940,1,♥A ♦10,♥A ♦10 ♥5 ♥7 ♦K ♠A ♦8,SB,False,False,21.1184,Pair,1820.0
2,87-dawn-ape,3120,0,♣A ♠9,♣A ♠9 ♥5 ♥7 ♦K ♠A ♦8,BB,False,False,21.112,Pair,0.0
2,89,1980,2,♥6 ♣2,♥6 ♣2 ♥5 ♥7 ♦K ♠A ♦8,1,False,True,8.108,High Card,0.0
2,lefthand_cat,960,1,♠2 ♠8,♠2 ♠8 ♥5 ♥7 ♦K ♠A ♦8,D,False,True,15.3088,Pair,0.0
3,87-rising-ape,2360,1,♠A ♠7,♠A ♠7 ♦J ♠6 ♠4 ♦K ♠10,D,False,False,123.2202,Flush,800.0
3,87-dawn-ape,3100,0,♥Q ♣10,♥Q ♣10 ♦J ♠6 ♠4 ♦K ♠10,SB,False,True,17.1792,Pair,0.0
3,89,1960,2,♣9 ♣5,♣9 ♣5 ♦J ♠6 ♠4 ♦K ♠10,BB,False,True,7.0456,High Card,0.0
3,lefthand_cat,580,1,♠5 ♣3,♠5 ♣3 ♦J ♠6 ♠4 ♦K ♠10,1,False,True,7.0396,High Card,0.0
4,87-rising-ape,3075,1,♠K ♠A,♠K ♠A ♥7 ♠Q ♦6 ♣10 ♣J,1,False,False,122.0,Straight,1695.0
4,87-dawn-ape,2120,0,♦Q ♥9,♦Q ♥9 ♥7 ♠Q ♦6 ♣10 ♣J,D,False,False,19.0448,Pair,0.0
4,89,1910,2,♥10 ♣3,♥10 ♣3 ♥7 ♠Q ♦6 ♣10 ♣J,SB,False,True,17.0784,Pair,0.0
4,lefthand_cat,895,1,♦K ♦A,♦K ♦A ♥7 ♠Q ♦6 ♣10 ♣J,BB,True,False,122.0,Straight,895.0
5,87-rising-ape,2815,1,♥6 ♠4,♥6 ♠4 ♥7 ♠A ♦8 ♣A ♣2,BB,False,True,21.0056,Pair,0.0
5,87-dawn-ape,2540,0,♠Q ♥Q,♠Q ♥Q ♥7 ♠A ♦8 ♣A ♣2,1,False,False,98.0032,Two Pair,680.0
5,89,1830,2,♦2 ♦10,♦2 ♦10 ♥7 ♠A ♦8 ♣A ♣2,D,False,True,88.0128,Two Pair,0.0
5,lefthand_cat,815,1,♦5 ♣K,♦5 ♣K ♥7 ♠A ♦8 ♣A ♣2,SB,False,True,21.1072,Pair,0.0
6,87-rising-ape,1915,1,♦Q ♠8,♦Q ♠8 ♥J ♥10 ♥9 ♠J ♣10,SB,False,False,120.0,Straight,0.0
6,87-dawn-ape,4295,0,♦10 ♣A,♦10 ♣A ♥J ♥10 ♥9 ♠J ♣10,BB,False,False,228.0,Full House,2655.0
6,89,1790,2,♦A ♣7,♦A ♣7 ♥J ♥10 ♥9 ♠J ♣10,1,False,True,66.2048,Two Pair,0.0
6,lefthand_cat,1000,2,♣K ♥8,♣K ♥8 ♥J ♥10 ♥9 ♠J ♣10,D,True,False,66.1024,Two Pair,0.0
7,87-rising-ape,1555,1,♠9 ♠Q,♠9 ♠Q ♠A ♥Q ♦K ♠7 ♦4,D,False,False,19.3136,Pair,0.0
7,87-dawn-ape,5055,0,♣7 ♥7,♣7 ♥7 ♠A ♥Q ♦K ♠7 ♦4,SB,False,False,105.3072,Three of a Kind,1120.0
7,89,1750,2,♠3 ♥4,♠3 ♥4 ♠A ♥Q ♦K ♠7 ♦4,BB,False,True,11.3584,Pair,0.0
7,lefthand_cat,640,2,♠2 ♥J,♠2 ♥J ♠A ♥Q ♦K ♠7 ♦4,1,False,False,8.1808,High Card,0.0
8,87-rising-ape,1435,1,♥5 ♦10,♥5 ♦10 ♦A ♣4 ♦4 ♣9 ♥4,1,False,True,102.2176,Three of a Kind,0.0
8,87-dawn-ape,4415,0,♦6 ♦K,♦6 ♦K ♦A ♣4 ♦4 ♣9 ♥4,D,False,False,102.3072,Three of a Kind,0.0
8,89,1670,2,♥7 ♥10,♥7 ♥10 ♦A ♣4 ♦4 ♣9 ♥4,SB,False,True,102.2176,Three of a Kind,0.0
8,lefthand_cat,1480,2,♠9 ♦7,♠9 ♦7 ♦A ♣4 ♦4 ♣9 ♥4,BB,True,False,154.0,Full House,1480.0
9,87-rising-ape,1275,1,♣5 ♣4,♣5 ♣4 ♥Q ♥3 ♥A ♥9 ♣A,BB,False,True,21.058,Pair,0.0
9,87-dawn-ape,2745,0,♣7 ♦Q,♣7 ♦Q ♥Q ♥3 ♥A ♥9 ♣A,1,False,False,98.0064,Two Pair,0.0
9,89,3580,2,♥8 ♥5,♥8 ♥5 ♥Q ♥3 ♥A ♥9 ♣A,D,True,False,123.266,Flush,3580.0
