round_id,playerName,chips,reloadCount,cards,hand,position,allIn,folded,rank,message,winMoney
1,cat9,1000,0,♠6 ♥5,♠6 ♥5 ♣8 ♥2 ♥8 ♥6 ♣9,5,False,True,41.0064,Two Pair,0.0
1,cat4,953,0,♦3 ♦9,♦3 ♦9 ♣8 ♥2 ♥8 ♥6 ♣9,D,False,True,49.0008,Two Pair,0.0
1,tomas2,1000,1,♥10 ♠8,♥10 ♠8 ♣8 ♥2 ♥8 ♥6 ♣9,SB,True,False,106.0192,Three of a Kind,0.0
1,basic_a,953,0,♦2 ♦A,♦2 ♦A ♣8 ♥2 ♥8 ♥6 ♣9,BB,False,True,37.2048,Two Pair,0.0
1,basic_b,1000,0,♦5 ♥3,♦5 ♥3 ♣8 ♥2 ♥8 ♥6 ♣9,1,False,True,15.0076,Pair,0.0
1,basic_c,1000,0,♠3 ♠5,♠3 ♠5 ♣8 ♥2 ♥8 ♥6 ♣9,2,False,True,15.0076,Pair,0.0
1,random_b,765,0,♦4 ♥4,♦4 ♥4 ♣8 ♥2 ♥8 ♥6 ♣9,3,False,True,39.0064,Two Pair,0.0
1,random_a,2329,0,♦10 ♦7,♦10 ♦7 ♣8 ♥2 ♥8 ♥6 ♣9,4,True,False,118.0,Straight,2329.0
2,cat9,1000,0,♠3 ♥J,♠3 ♥J ♠4 ♠9 ♠A ♦4 ♣5,4,False,True,11.2368,Pair,0.0
2,cat4,2495,1,♠J ♥9,♠J ♥9 ♠4 ♠9 ♠A ♦4 ♣5,5,False,False,45.2048,Two Pair,854.0
2,tomas2,905,1,♣9 ♣2,♣9 ♣2 ♠4 ♠9 ♠A ♦4 ♣5,D,False,True,45.2048,Two Pair,0.0
2,basic_a,913,0,♦2 ♦9,♦2 ♦9 ♠4 ♠9 ♠A ♦4 ♣5,SB,False,True,45.2048,Two Pair,0.0
2,basic_b,905,0,♦10 ♠10,♦10 ♠10 ♠4 ♠9 ♠A ♦4 ♣5,BB,False,True,52.2048,Two Pair,0.0
2,basic_c,1000,0,♣6 ♠Q,♣6 ♠Q ♠4 ♠9 ♠A ♦4 ♣5,1,False,True,11.2624,Pair,0.0
