N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,made_hand,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stake,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tightness
6,3,2,0,0,6,0,2,0,6,0,60000.0,fold,0.75,0,0,70,1,,,,,,,,,,,,0,9,0,0,0,0,10,7,17,0,3000,20,0.33344483375549316,False,0,6,20180810125958249,Early,1,10,0,10,7,1,10,7H TD,michael6,,20,20,3000,2986.0,2980,any_called,limp,3,L,0,0,0.16758240740740696,4.7732696897374704e-05,0.37349503896965597,0.3162334329173301,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,3000.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",150,,-0.3980000000000001
6,2,1,0,0,6,0,1,0,6,0,60000.0,fold,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,9,2,11,0,3000,20,0.3350539207458496,False,0,6,20180810125958249,Early,1,9,0,9,2,1,9,9D 2C,michael6,,20,20,3260,2990.0,2900,any_called,limp,2,E,0,0,0.1116354497354576,1.2562814070351759e-05,0.3149174115507425,0.23760241435575463,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,3260.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",150,,-0.4000000000000001
6,1,0,0,0,6,0,0,0,6,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,13,5,18,0,3000,20,0.36517977714538574,False,0,6,20180810125958249,Early,1,13,0,13,5,1,13,KD 5S,michael6,,20,20,3580,2994.0,2770,none,limp,1,E,0,0,0.17108134920634566,0.07285618617172156,0.37658003287492825,0.32246652242206686,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,3580.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",150,,-0.4020000000000001
6,5,4,1,0,6,0,4,1,5,0,60000.0,check,0.75,0,20,100,1,,,,,,,,,,,,0,9,0,0,0,0,8,3,11,0,2980,0,0.34286999702453613,False,20,6,20180810125958249,Early,1,8,0,8,3,1,8,3D 8S,michael6,,20,0,2960,2835.0,2680,any_called,limp,BB,B,0,0,0.10733544973545646,6.107763252758016e-05,0.309539255936212,0.23238930913368616,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,2980.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",150,,-0.4040000000000001
6,1,0,0,1,5,0,0,0,5,1,339,check,0.75,0,0,20,1,AH KS 9D,1,2,14,2,1,14,14,9,1,9,0,9,0,0,0,0,8,3,11,0,2980,20,0.3707997798919678,False,0,6,20180810125958249,Early,1,14,0,14,13,2,9,3D 8S,michael6,none,20,20,2960,2830.0,2680,any_raised,limp,BB,B,20,100,0.017699115044247787,0.0025,0.13185543739602956,0.06173883113452167,-0.08963633469120867,none,0.10733544973545646,"[0, 1, 0, 0]",Flop,4,0,0,10,2960.0,,,,,150,0.14285714285714285,-0.3340000000000001
6,0,0,1,0,5,0,0,1,3,0,359,check,0.75,0,0,0,1,AH KS 9D QS,1,3,14,3,1,14,14,9,2,13,0,9,0,0,0,0,8,3,11,0,2960,0,0.3786501884460449,True,0,6,20180810125958249,Early,2,14,0,14,13,3,13,3D 8S,michael6,none,0,20,2940,2800.0,2660,all_folded,limp,BB,B,40,180,0.004178272980501393,0.05260632350106035,0.04551569537149914,0.026220818877911112,-0.013520842063746395,none,0.017699115044247787,"[0, 1, 0, 0]",Turn,4,0,0,10,2940.0,,,,,150,0.0,-0.34172169332385904
6,2,1,1,1,5,0,2,1,3,1,690,check,0.75,0,0,40,1,AH KS 9D QS,1,3,14,3,1,14,14,9,2,13,0,9,0,0,0,0,8,3,11,0,2960,20,0.3973691463470459,False,0,6,20180810125958249,Early,2,14,0,14,13,3,13,3D 8S,michael6,none,20,20,2920,2780.0,2640,any_raised,limp,BB,B,40,180,0.012318840579710146,0.011833333333333333,0.10056811945076567,0.05001228733755427,-0.005380274464537642,check/call,0.017699115044247787,"[0, 1, 0, 0]",Turn,4,1,0,10,2940.0,,,,,150,0.08333333333333333,-0.34172169332385904
6,0,0,0,0,5,0,0,0,3,0,170,check,0.75,0,0,0,1,AH KS 9D QS AS,2,3,14,4,2,14,14,9,3,14,0,9,0,0,0,0,8,3,11,0,2940,0,0.4035360813140869,True,0,6,20180810125958249,Early,2,14,1,14,13,4,14,3D 8S,michael6,none,0,20,2920,2780.0,2640,none,limp,BB,B,60,240,0.0,0.02826587301587302,0.0,0.0,-0.012318840579710146,none,0.012318840579710146,"[0, 1, 0, 0]",River,4,0,0,10,2920.0,,,,,150,0.0,-0.286607405394952
6,2,1,0,1,5,0,2,0,3,1,553,check,0.75,0,0,40,1,AH KS 9D QS AS,2,3,14,4,2,14,14,9,3,14,0,9,0,0,0,0,8,3,11,0,2940,20,0.4295079708099365,False,0,6,20180810125958249,Early,2,14,1,14,13,4,14,3D 8S,michael6,none,20,20,2900,2760.0,2620,any_raised,limp,BB,B,60,240,0.0,0.01733008658008658,0.0,0.0,-0.012318840579710146,check/call,0.012318840579710146,"[0, 1, 0, 0]",River,4,1,0,10,2920.0,,,,,150,0.06666666666666667,-0.286607405394952
6,3,2,1,1,6,0,2,1,5,1,60000.0,fold,0.75,0,10,150,1,,,,,,,,,,,,0,9,0,0,0,0,13,2,15,0,2910,30,0.3449580669403076,False,10,6,20180810125958249,Early,1,13,0,13,2,1,13,2C KH,michael6,,40,30,3540,2935.0,2580,any_raised,limp,SB,B,0,0,0.15489960317460422,0.07771491872895585,0.3618089497386077,0.301794036768479,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,3580.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",150,,-0.4060000000000001
