N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,made_hand,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stake,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tightness
8,8,7,0,0,8,0,7,0,8,0,60000.0,check,0.75,0,20,160,1,,,,,,,,,,,,0,9,0,0,0,0,11,5,16,0,2980,0,0.348024845123291,False,20,8,20180810121802297,Early,1,11,0,11,5,1,11,5S JD,michael6,,20,0,2980,2980.0,2980,any_called,limp,BB,B,0,0,0.10749907407407254,0.002204096141705812,0.3097467080491568,0.2673283754274375,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,3000.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",54,,-0.516
8,1,0,0,1,8,0,0,0,8,1,346,check,0.75,0,0,20,1,7D AS 4D,1,0,0,1,1,14,14,4,2,7,0,9,0,0,0,0,11,5,16,0,2980,20,0.44799304008483887,False,0,8,20180810121802297,Early,1,5,0,14,11,3,11,5S JD,michael6,none,20,20,2980,2977.1428571428573,2960,any_raised,limp,BB,B,20,160,0.06358381502890173,0.013260432378079437,0.22123202975711992,0.12409831199957164,-0.04391525904517081,none,0.10749907407407254,"[0, 1, 0, 0]",Flop,1,0,0,10,2980.0,,,,,54,0.1,-0.248
8,2,4,2,2,8,0,5,2,6,2,663,check,0.75,0,20,160,1,7D AS 4D,1,0,0,1,1,14,14,4,2,7,0,9,0,0,0,0,11,5,16,0,2960,20,0.4224541187286377,False,0,8,20180810121802297,Early,1,5,0,14,11,3,11,5S JD,michael6,none,40,20,2960,2952.0,2940,any_raised,limp,BB,B,20,160,0.06334841628959276,0.01,0.21971472379644214,0.12375838318110956,-0.04415065778447978,check/call,0.10749907407407254,"[0, 1, 0, 0]",Flop,1,1,0,10,2980.0,,,,,54,0.058823529411764705,-0.248
8,1,0,0,1,8,1,0,0,6,1,310,fold,0.75,0,0,2940,1,7D AS 4D 4H,1,0,0,1,2,4,14,4,2,7,0,9,0,0,0,0,11,5,16,0,2940,2940,0.34175682067871094,False,0,8,20180810121802297,Early,1,5,1,4,14,3,11,5S JD,michael6,none,2940,2940,2940,2352.0,0,any_raised,limp,BB,B,60,400,0.014516129032258065,0.0008333333333333333,0.1090231910717496,0.050038882325898947,-0.04883228725733469,none,0.06334841628959276,"[1, 0, 0, 0]",Turn,1,0,0,10,2940.0,,,,,54,0.4681528662420382,-0.297
7,4,3,2,0,7,0,3,2,5,0,60000.0,bet,0.75,900,10,90,1,,,,,,,,,,,,1,3,0,0,1,0,14,12,26,0,2930,10,0.3622457981109619,False,10,8,20180810121802297,Early,1,14,0,14,12,1,14,AD QH,michael6,,20,10,2960,2930.0,2920,any_called,steal,SB,B,0,0,0.23885952380956624,0.7947404276508595,0.426386739586298,0.4119725400816032,0,none,,"[0, 0, 1, 900.0]",Deal,2,0,0,10,2980.0,"('raise', 140)","('allin', 2930)","('raise', 80)","('fold', 0)",54,,-0.406
7,5,4,0,0,7,0,4,0,7,0,60000.0,fold,0.75,0,0,110,1,,,,,,,,,,,,0,9,0,0,0,0,11,8,19,0,3020,20,0.3553299903869629,False,0,8,20180810121802297,Early,1,11,0,11,8,1,11,JD 8H,michael6,,20,20,6260,3478.3333333333335,2900,any_called,limp,D,L,0,0,0.1566855158729965,8.493282267093179e-05,0.36350400959082896,0.30426814376687306,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,6280.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",54,,-0.406
7,4,3,0,0,7,0,3,0,7,0,60000.0,fold,0.75,0,0,90,1,,,,,,,,,,,,1,7,0,0,0,0,14,2,16,0,3020,20,0.4000430107116699,False,0,8,20180810121802297,Early,1,14,0,14,2,1,14,2H AD,michael6,,20,20,6040,3481.6666666666665,2680,any_called,limp,4,L,0,0,0.15694900793648955,0.09456057398309854,0.3637526863739171,0.3053601039770477,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,6060.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",54,,-0.40800000000000003
7,3,2,0,0,7,0,2,0,7,0,60000.0,fold,0.75,0,0,70,1,,,,,,,,,,,,1,7,0,0,0,0,14,2,16,0,3020,20,0.37703490257263184,False,0,8,20180810121802297,Early,1,14,0,14,2,1,14,2S AD,michael6,,20,20,6230,3485.0,2660,any_called,limp,3,M,0,0,0.15694900793648955,0.25772645040782705,0.3637526863739171,0.3060876093497956,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,6250.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",54,,-0.41000000000000003
7,2,1,0,0,7,0,1,0,7,0,60000.0,bet,0.75,40,0,50,1,,,,,,,,,,,,0,6,0,0,1,0,13,10,23,1,3020,20,0.34456324577331543,False,0,8,20180810121802297,Early,1,13,0,13,10,2,13,TS KS,michael6,,20,20,6350,3488.3333333333335,2640,any_called,steal,2,E,0,0,0.24401031746035756,0.37135690270871535,0.4294988736111575,0.42096385338815445,0,none,,"[0, 0, 1, 40.0]",Deal,6,0,0,10,6370.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",54,,-0.41200000000000003
7,2,4,1,2,7,1,4,1,6,3,60000.0,fold,0.75,0,40,5602,1,,,,,,,,,,,,0,6,0,0,1,0,13,10,23,1,2980,2620,0.2517261505126953,False,0,8,20180810121802297,Early,1,13,0,13,10,2,13,TS KS,michael6,,2660,2620,3710,2497.6,0,any_reraised,limp,2,E,0,0,0.24401031746035756,0.21063699301074254,0.4294988736111575,0.42096385338815445,0,bet/raise/allin,,"[1, 0, 0, 0]",Deal,6,0,1,10,6370.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",54,,-0.41200000000000003
