tableNumber,game_id,round_id,smallBlind,playerName,isHuman,isOnline,isSurvive,chips,reloadCount,folded,allIn,position,cards,board,rank,message,winMoney
150,20180810125958249,6,10,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,3340,0,False,False,1,9H TD,4C 9S AH JC AS,95.0256,Two Pair,220.0
150,20180810125958249,6,10,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2420,0,False,False,2,3S QH,4C 9S AH JC AS,21.0832,Pair,0.0
150,20180810125958249,6,10,71b3f31e76d1a5888a5652aba6474197,False,True,True,2760,0,True,False,3,KH 7C,4C 9S AH JC AS,21.1344,Pair,0.0
150,20180810125958249,6,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2910,0,True,False,D,8H QS,4C 9S AH JC AS,21.0832,Pair,0.0
150,20180810125958249,7,20,8c55ef579f68a40624f9c00488044e9c,False,True,True,1410,0,True,False,D,JH KH,6S 7D JD 3S AC,18.3088,Pair,0.0
150,20180810125958249,7,20,e55c711e6dbac6abb296dd1379310b58,False,True,True,3500,0,True,False,SB,QS 3D,6S 7D JD 3S AC,10.2816,Pair,0.0
150,20180810125958249,7,20,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,3300,0,True,False,BB,KD 9D,6S 7D JD 3S AC,8.136,High Card,0.0
150,20180810125958249,7,20,4e0879c5e51ac597357450b296c5bc3b,False,True,True,4120,0,False,False,1,AH JC,6S 7D JD 3S AC,97.0016,Two Pair,3380.0
150,20180810125958249,7,20,71b3f31e76d1a5888a5652aba6474197,False,True,True,2760,0,True,False,2,9S 4C,6S 7D JD 3S AC,8.0344,High Card,0.0
150,20180810125958249,7,20,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2910,0,True,False,3,8C 5D,6S 7D JD 3S AC,8.0312,High Card,0.0
150,20180810125958249,8,20,8c55ef579f68a40624f9c00488044e9c,False,True,True,1210,0,True,False,3,KC 5H,9H AS 8H 3S QD,8.1632,High Card,0.0
150,20180810125958249,8,20,e55c711e6dbac6abb296dd1379310b58,False,True,True,3500,0,True,False,D,2H 5C,9H AS 8H 3S QD,8.0612,High Card,0.0
150,20180810125958249,8,20,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2980,0,False,False,SB,JD 7D,9H AS 8H 3S QD,8.0864,High Card,0.0
150,20180810125958249,8,20,4e0879c5e51ac597357450b296c5bc3b,False,True,True,4680,0,False,False,BB,4H KH,9H AS 8H 3S QD,8.1632,High Card,880.0
150,20180810125958249,8,20,71b3f31e76d1a5888a5652aba6474197,False,True,True,2720,0,True,False,1,7H 3D,9H AS 8H 3S QD,10.2624,Pair,0.0
150,20180810125958249,8,20,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2910,0,True,False,2,TC KS,9H AS 8H 3S QD,8.1728,High Card,0.0
150,20180810125958249,9,20,8c55ef579f68a40624f9c00488044e9c,False,True,True,2500,0,False,True,2,4D KC,9S KH 5D KD 6D,111.0072,Three of a Kind,2500.0
150,20180810125958249,9,20,e55c711e6dbac6abb296dd1379310b58,False,True,True,3500,0,True,False,3,9D 3S,9S KH 5D KD 6D,84.0008,Two Pair,0.0
