,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,8,8,Deal,0,♣4 ♣Q,,10,0.3166666666666667,0.38333333333333336,0,0,40,1,40,0,61.33333333333334,1.5333333333333337,-14.666666666666664,-0.3666666666666666,raise,0,0.5261049270629883
1,8,8,Deal,0,♣4 ♣Q,,80,0.13958333333333334,0.32429812030496463,0,80,105,3,25,-80,12.25,0.1166666666666667,-75.6875,-0.7208333333333333,raise,0,0.5204827785491943
2,8,8,Deal,0,♣4 ♣Q,,160,0.12994791666666666,0.32148107890338107,0,210,420,1,210,-210,16.625,0.039583333333333304,-310.84375,-0.7401041666666667,raise,0,0.5287201404571533
3,8,8,Flop,0,♣4 ♣Q,♥9 ♦7 ♦3,40,0.0875,0.2712816801776338,4200,0,256,1,256,-840,-549.3,-0.30000000000000004,-683.7,-0.825,call,0,0.5299441814422607
4,8,7,Turn,0,♣4 ♣Q,♥9 ♦7 ♦3 ♦6,35,0.014285714285714285,0.0832993127835043,5128,0,40,1,40,-1096,-1058.7428571428572,-0.9,-1061.6,-0.9714285714285714,call,0,0.5236198902130127
5,8,7,Turn,0,♣4 ♣Q,♥9 ♦7 ♦3 ♦6,90,0.005555555555555556,0.052411006289203366,5128,40,212,1,172,-1136,-1271.2666666666667,-0.9611111111111111,-1277.1555555555556,-0.9888888888888889,fold,0,0.5291738510131836
